"","Abies","Alnus","Amaranthaceae","Apiaceae","Artemisia","Asteroideae","Betula","Boraginaceae","Brassicaceae","Buxus","Cannabaceae","Carpinus","Caryophyllaceae","Centaurea-type","Cichorioideae","Cistus","Convolvulus","Coriaria myrtifolia","Corylus","Crassulaceae","Cyperaceae","Dipsacoideae","Ephedra","Ericaceae","Euphorbia","Fabaceae","Fagus","Geraniaceae","Hedera","Helianthemum","Juglans","Juniperus","Lamiaceae","Ligustrum","Lotus","Lygeum-type","Lythrum","Malvaceae","Myriophyllum","Myrtaceae","Nuphar","Nymphaea","Olea","Phillyrea","Pinus","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum","Populus","Potamogeton","Quercus ilex-type","Quercus robur-type","Ranunculaceae","Rhamnus","Rosaceae","Rubiaceae","Rumex","Salix","Sparganium-type","Tamarix","Thalictrum","Thymelaea","Tilia","Typha latifolia-type","Ulmus","Urticaceae","Vitis","Cal_yrs_BP","min","max"
"S411798","","2","1","31","","101","","","","62","1","","","","1","","","","13","","2","","35","","","1","","","","","","47","1","","","","","","","","","","","","22","1","4","4","","1","","","4","","","","","","","","10","","","10","3","","","","","7425","7581","7276"
"S411799","","5","","28","1","96","","","2","47","","","","","","","","","4","","1","","19","1","","3","","","","","","24","7","","","","","1","","","","","","","17","","1","13","","","","2","1","3","","","","","","","6","","","6","","","","","","7445","7599","7297"
"S411800","","1","2","47","","187","","","2","87","","","","","","","","","22","","7","","50","5","","9","","","","","","44","","","","","","","","","","","","","29","1","5","12","","1","","","7","1","","","","","","","9","","","3","3","","","","","7465","7617","7318"
"S411801","","","","30","4","150","","","","105","","","","","","","","","17","","2","","39","4","","3","","","","","","59","2","","","","","","","","","","","","21","1","3","13","","4","","","2","2","","","1","","","","16","","","4","1","","","","","7484","7636","7340"
"S411802","","1","3","55","4","120","","","1","32","","","","","","","","","12","","7","","44","","","","","","4","","","43","","","","","","","","","","","","","12","","","9","1","","","","4","","","","","","","","5","","","8","","","","","1","7504","7654","7361"
"S411803","","2","1","30","1","131","1","","2","42","1","","","","","","","","25","","","1","24","","","2","","","","","","31","1","","","","","","","","","","2","1","13","1","9","12","","","","1","4","","","","","","","","1","","","7","","","","","","7544","7691","7402"
"S411804","","","5","39","","135","","","","68","","","2","","","","","","14","","","","31","2","","5","","","","","","26","","","","","","","","","","","1","4","20","","","9","","","","","11","3","","","","","","","12","","","11","1","","","","","7614","7755","7474"
"S411805","","2","2","22","3","71","","1","","28","","","","","2","","","","16","","5","","24","","","1","","","","","","27","","","","","","","","","","","","","59","","4","19","1","","","","6","1","","","","","","","10","","","","","","","4","","7683","7817","7543"
"S411806","","","","38","2","91","","","","20","1","","1","","","","","","17","","","","21","2","","","","","","","","34","","","","","","","","1","","","","","16","1","","17","","","","","7","1","","","","","","","19","","","4","","","","","","7753","7884","7617"
"S411807","","","1","24","","83","","","","52","","","","","","","","","41","","","","16","5","","2","","3","","","","30","","","","","","","","","","","","","31","","","8","","1","","","2","","","","","","","","6","","","14","","","","","","7822","7953","7690"
"S411808","","","","23","","68","","1","","23","","","","","2","","","","17","","5","","36","","","1","","","","","","56","","","","","","","","","","","","","34","","5","19","","","","","6","3","","","","","","1","","","","2","","","","","","7892","8025","7762"
"S411809","","3","3","13","","51","2","","","76","","","","","4","","","","25","","2","","12","7","","2","","","","","","25","3","","","","","","","1","","","","","32","2","","14","","","","","5","1","","","","","","1","6","","","4","1","","","","","7961","8100","7835"
"S411810","","3","2","23","1","63","","","","74","","","","","","","","","24","","5","","39","2","","","","","","","","39","","","","","","","","","","","","","27","","1","8","1","","","","1","4","","","","","","","2","","","4","","","","","","8100","8254","7970"
"S411811","","","1","29","","99","","","1","84","1","","","","","","","","26","","6","","19","5","","6","1","","","","","29","4","","","","","","","","","","","","31","","","20","","1","","","8","1","","","","","","","5","","","3","1","","","","","8130","8281","8001"
"S411812","","3","2","22","3","75","","","","55","","","","","","","","","10","","3","","26","2","","","","","","","","48","","","","","","","","","","","","1","41","","3","6","","","","","1","5","","","","","","","13","","","7","","","","","","8229","8392","8087"
"S411813","","","7","47","2","116","1","","","79","","","","","","","","","27","","4","","23","4","","","","","","","","44","","","","","","","","","","","","","28","1","2","6","","","","1","11","1","","","","","","","15","","","4","1","","","","","8279","8446","8131"
"S411814","","2","","20","","61","1","","","64","1","","","","","","","1","16","","5","1","24","5","","","","","","","","50","","","","","","","","","","","","","32","","1","11","","","","","5","1","1","","","","","","7","","","7","","","","","","8329","8507","8177"
"S411815","","1","","37","","83","1","","","83","1","","","","","","","","32","","1","","14","4","","","","","","","","47","1","","","","","","","","","","","","26","1","","16","","","","","2","3","","","","","","1","2","","","5","","","","","","8378","8572","8224"
"S411816","","","","46","","47","","","","58","2","","","","","","","","37","","4","","16","2","","","","","","","","39","2","","","","","","","","","","","","28","1","3","8","","","","1","","2","","","","","","","4","","","3","","","","","","8428","8630","8271"
"S411817","","","","57","","103","","","","81","","1","2","","","","","","31","","6","","13","9","","2","","","","","","46","","","","","","","","","1","","","","35","1","","20","1","","","","1","2","","","","","","","4","","","7","1","","1","","","8478","8688","8318"
"S411818","","1","","46","4","115","","","","96","","","","","","","","","31","","7","","32","4","","1","","","","","","81","","","","","","","","","","","1","","50","3","","14","","","1","","6","3","","","","","","","1","","","2","2","","","3","","8527","8744","8365"
"S411819","","","","24","1","76","","","2","44","","","","","","","","","42","","7","","33","3","","","","","","","","48","1","","","","","","","","","","1","","39","4","","18","","","","","8","3","","","","","","","2","","","6","","","","","","8577","8800","8410"
"S411820","","","","14","5","65","","","","51","","","","","","","","","38","","2","","10","","","3","","","","","","29","","","","","","","","","","","4","","35","","1","36","","","","1","5","2","","1","","","","","2","","","4","1","","","","1","8627","8856","8453"
"S411821","","","","35","2","72","","","1","73","","","","","","","","","24","","6","","24","","","","","","","","","30","1","","","","","","","","","","","","41","","3","24","","","","","7","2","","","","","","","4","","","3","","1","","","","8676","8912","8496"
"S411822","","1","","18","2","99","1","","","42","","","1","","","","","","37","","","","30","3","","1","","","","","","26","","","","","","","","","","","","","63","","","18","","","","","","","","","","","","","5","","","6","1","","","","","8716","8957","8530"
"S411823","","","","30","8","87","","","","54","1","","","","","1","","1","20","","2","","22","","","","","","","","","16","","","","","","","1","","","","","","35","","1","14","","","","","3","","","","","","","","","","","6","","","","","","8875","9138","8662"
"S411824","","1","","15","","70","1","","","62","","","","","","","","","21","","2","","39","","","2","","","","","","14","","","","","","","","","","","","","34","2","","26","","","","","5","5","","","","","","","16","","","3","","","","","","8954","9318","8729"
"S411825","","","","23","","71","3","","1","51","","","","","","","","1","4","","","","11","","","3","","","","","","26","","","","","","","","","","","3","","25","","2","12","","","","","","","","","","","","","4","","","1","","","2","","","9034","9410","8800"
"S411826","","","7","25","","72","","","","47","","","","","","","","","8","","","","4","2","","1","","","","","","35","2","","","","","","","","","","2","","16","2","","14","","","","","3","6","","","","","","","2","","","1","","","3","","","9113","9501","8870"
"S411827","","4","3","27","3","80","","","1","56","","","","","","","","","27","","2","","8","4","","2","","","","","","17","1","","","","","","","","","","1","2","28","","","24","","","","","","1","","","","","","","7","","","1","1","","1","","","9193","9590","8938"
"S411828","","1","2","7","","31","","","","33","","","","","","","","","18","","2","","6","2","","","","","","","","23","","","","","","","","","","","","1","9","","1","20","","","","","3","1","","","","","","","","","","1","","","","","","9272","9679","9007"
"S411829","","","","27","1","65","","","","35","","","","","1","1","","","24","","11","","11","1","","1","","","","","","15","","","","","","","","","","","4","","31","1","","20","","","","","1","1","","","","","","","5","","","","","","","","","9431","9782","9144"
"S411830","","4","","3","","36","","","","21","","","","","2","1","","1","35","","12","","14","2","","3","","","","","","18","","","","","","","","","","","","","65","","1","40","","","","","","","","","","","","1","","","","","","","1","","","9511","9870","9212"
"S411831","","","","23","","78","2","","","27","","","","","","","","","38","","5","","15","","","","","","","","","8","1","","","","","","","","","","2","","42","1","2","31","","","","2","4","1","","","","","","","5","","","2","","","1","","","9590","9958","9281"
"S411832","","","","37","1","72","","","2","22","","","","","","","","","28","","7","","10","","","","","","","","","3","","","","","","","","","","","1","1","32","3","1","18","","","","","5","2","","","","","","","3","","","1","","","","","","9689","10066","9366"
