"","Abies","Alnus","Amaranthaceae","Apiaceae","Artemisia","Asteroideae","Betula","Boraginaceae","Brassicaceae","Buxus","Cannabaceae","Carpinus","Caryophyllaceae","Centaurea-type","Cichorioideae","Cistus","Convolvulus","Coriaria myrtifolia","Corylus","Crassulaceae","Cyperaceae","Dipsacoideae","Ephedra","Ericaceae","Euphorbia","Fabaceae","Fagus","Geraniaceae","Hedera","Helianthemum","Juglans","Juniperus","Lamiaceae","Ligustrum","Lotus","Lygeum-type","Lythrum","Malvaceae","Myriophyllum","Myrtaceae","Nuphar","Nymphaea","Olea","Phillyrea","Pinus","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum","Populus","Potamogeton","Quercus ilex-type","Quercus robur-type","Ranunculaceae","Rhamnus","Rosaceae","Rubiaceae","Rumex","Salix","Sparganium-type","Tamarix","Thalictrum","Thymelaea","Tilia","Typha latifolia-type","Ulmus","Urticaceae","Vitis","Cal_yrs_BP","min","max"
"S411720","","6","3","16","","54","","","","1","","","","","5","","","","7","","4","","11","61","","43","","","3","","","10","","","","","","","","","","","26","2","5","1","21","32","5","1","","","11","2","","","","","","","13","","","","","","","","1","4507","4730","4290"
"S411721","","7","8","45","5","123","2","","1","13","","","1","","","","","","15","","3","","18","52","","16","","","2","","","23","","","","","","","","","","","21","4","6","","11","19","","3","","1","11","4","","","","","","","11","","","","","","","","","4547","4762","4337"
"S411722","","13","2","23","5","61","","","1","3","","","3","","1","2","","","2","","3","","3","67","","30","","1","3","3","","4","","","","","","","","","","","68","9","20","","37","14","1","","","","3","3","","","","","","","10","","","3","","","","","","4587","4794","4384"
"S411723","","3","4","22","","94","1","","1","5","","1","","","3","","","","10","","","","6","93","","30","","","","","","8","1","","","","","","","","","","46","4","15","2","39","17","4","1","","","5","8","1","","","","","","6","9","","","","","","","1","4627","4827","4432"
"S411724","","4","3","85","2","143","","","","35","","","","","","","","","10","","3","","29","22","","5","","","","","","31","","","","","","","","","","","8","","3","","2","12","","3","","2","3","2","","","","","","","6","1","","5","","","","","","4666","4859","4479"
"S411725","","7","9","51","6","158","","","","5","3","","","","","2","","","11","","","","22","15","","1","","","","","","36","3","","","","","","1","","","","20","2","14","3","2","21","1","","","","5","5","","","","","","","6","1","","2","","","","","","4746","4924","4571"
"S411726","","7","","37","","107","","","1","5","2","","2","","","","","","2","","2","","16","9","","3","","","1","","","54","4","","","","","","","","","","2","1","5","2","","20","","","","","4","2","","","","","","","7","","","5","1","","","","","4806","4974","4640"
"S411727","","8","","79","2","71","","","","14","","","","","","","","","7","","1","","27","19","","1","","","","","","34","","","1","5","","","","","","1","4","","8","","","11","","1","","","2","1","","","","","","","14","","","5","","","","","","4865","5024","4709"
"S411728","","4","1","156","","191","","","","1","","","","","","","","","24","","1","","21","27","","1","","","","","","49","4","","","","","","","","","1","12","1","5","4","","11","","2","","","7","","","","","","","","","","","4","","","","","","4925","5074","4776"
"S411729","","3","4","65","2","146","1","","","29","","","","","","","","","10","","","","21","23","","6","","","","","","41","2","","","","","","","","","","2","3","1","4","5","6","1","1","","","10","2","","","1","","","","9","","","","","","","","","4985","5125","4843"
