"","Phylica.arboreae","Empetrum.rubrum","Poaceae","Cyperaceae","Rumex","Umbelliferae","Nertera","Callitriche.critanensis","Asteraceae","Chenopodiaceae","Plantago.lanceoata","Anthemis.typ","Hypolepis.rugolosa","Gymnogramm","Lycopodium.magellanica","Lycopodium.insulare","Polypodiace","Vittaria.vittaroides","Ophioglossum","Hymenophyllum","Polypodium","Sporkapsel","Cal_yrs_BP","min","max"
"1",0.234700739744452,0.000672494956287828,0.119031607262946,0.278412911903161,0.00672494956287828,0.00201748486886348,0,0,0,0,0.0262273032952253,0.00268997982515131,0,0.00134498991257566,0.00134498991257566,0.00268997982515131,0.315400134498991,0.00134498991257566,0,0,0.00739744451916611,0,-53,NA,NA
"2",0.213358070500928,0.00185528756957328,0.116264687693259,0.249226963512678,0.00432900432900433,0,0.00185528756957328,0.00432900432900433,0,0.00123685837971552,0.0235003092145949,0.00309214594928881,0,0.00247371675943105,0,0.00123685837971552,0.370439084724799,0,0.000618429189857761,0,0.00618429189857761,0,-53,NA,NA
"3",0.176470588235294,0,0.0987153482082488,0.37052062204192,0.00473292765382015,0,0.00135226504394861,0.00135226504394861,0,0,0.0209601081812035,0.00135226504394861,0,0.000676132521974307,0,0.00405679513184584,0.315753887762001,0,0,0,0.00405679513184584,0,-53,NA,NA
"4",0.34134007585335,0.000632111251580278,0.0935524652338812,0.160556257901391,0.00821744627054362,0,0.00189633375474083,0.00252844500632111,0.000632111251580278,0,0.0202275600505689,0.00189633375474083,0,0.000632111251580278,0.000632111251580278,0.000632111251580278,0.362199747155499,0.000632111251580278,0,0,0.00379266750948167,0,-53,NA,NA
"5",0.290488431876607,0.0025706940874036,0.0912596401028278,0.239074550128535,0.0070694087403599,0.0006426735218509,0.0012853470437018,0.0006426735218509,0,0,0.0077120822622108,0.0012853470437018,0,0.0019280205655527,0,0,0.351542416452442,0.0006426735218509,0,0,0.0038560411311054,0,-42,NA,NA
"6",0.394444444444444,0.00138888888888889,0.0944444444444444,0.184722222222222,0.00416666666666667,0.00277777777777778,0.00138888888888889,0,0,0,0.00972222222222222,0.00138888888888889,0,0.00138888888888889,0,0.000694444444444444,0.301388888888889,0,0,0,0.00208333333333333,0,-35,NA,NA
"7",0.327485380116959,0.00194931773879142,0.0857699805068226,0.217673814165042,0.00714749837556855,0.000649772579597141,0,0,0,0,0.00714749837556855,0.000649772579597141,0,0.00129954515919428,0.000649772579597141,0.000649772579597141,0.344379467186485,0,0,0.000649772579597141,0.00389863547758285,0,-27,NA,NA
"8",0.452975047984645,0.00191938579654511,0.120921305182342,0.0479846449136276,0.0102367242482406,0.00127959053103007,0.00127959053103007,0.00191938579654511,0.000639795265515035,0,0,0,0,0.00255918106206014,0,0.000639795265515035,0.353166986564299,0,0,0,0.00447856685860525,0,-12,NA,NA
"9",0.461240310077519,0.00129198966408269,0.144702842377261,0.0284237726098191,0.00710594315245478,0,0.00258397932816537,0,0,0,0,0,0,0.00129198966408269,0,0,0.343669250645995,0.000645994832041344,0,0,0.00387596899224806,0.00516795865633075,102,NA,NA
"10",0.560875512995896,0.000683994528043776,0.0957592339261286,0.0246238030095759,0.00205198358413133,0,0.000683994528043776,0,0,0,0,0,0,0.0027359781121751,0,0,0.310533515731874,0.00136798905608755,0,0,0,0.000683994528043776,131,NA,NA
