"","Monoletes","Triletes","Poaceae","Pandanus","Cyperaceae","Apocynaceae","Araliaceae.Type","Barringtonia.asiatica","Bauhinia","Casuarina","Celtis.pacifica","Centella.asiatica","Cocos","Colocasia.esculenta","Coprosma","Cyathula.prostrata","Euphorbiacea","Fabaceae.type","Ficus","Geniostoma","Glochidion","Guettarda.speciosa","Inocarpus","Ixora.mooreensis","Loranthus.sp","Macaranga","Magnifera.indica","Hibiscus","Sida.acuta","Other.Malvaceae.Type","Melastoma.sp","Melia.azedarach","Myrtaceae","Myrsinaceae","Neonauclea","Passifloraceae","Psychotria","Rhamnaceae.type","Rubiaceae.Type.1","Rubiaceae.Type.2","Rubiaceae.Type.3","Rubiaceae.Type.4","Rubiaceae.Other.Types","Rutaceae.Types","Sapindaceae.cf.","Sapotaceae","Sonneratia","Terminalia","Trema.discolor","Urticaeae","Weimannia","Cal_yrs_BP","min","max"
"1",0.152173913004565,0.30434782610913,0.108695652203261,0.108695652203261,0.152173913004565,0,0,0,0,0.0217391304306522,0,0,0,0,0,0,0,0,0.0434782608713043,0,0,0,0,0,0,0,0,0.0652173913019565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434782608713043,0,0,0,451,NA,NA
"2",0.142857142895714,0.296703296691099,0.0219780219793407,0.032967032969011,0.274725274691758,0.0109890109896703,0,0,0,0.0549450549483517,0,0,0.0549450549483517,0,0,0,0,0,0.0439560439586813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065934065928022,0,473,NA,NA
"3",0.200000000002,0.161904761901619,0.038095238100381,0.0952380952409524,0.323809523803238,0,0,0,0,0,0,0,0.0952380952409524,0.038095238100381,0,0,0,0,0.00952380952009524,0,0,0,0,0.00952380952009524,0,0,0,0,0,0,0,0,0,0,0,0,0.0285714285702857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,NA,NA
"4",0.0738255033503671,0.409395973176929,0.0335570469756092,0.221476510061168,0.0268456375865276,0,0,0.00671140939914869,0,0.0134228187882303,0,0,0.0335570469756092,0,0,0,0,0,0.0939597315377461,0,0,0,0,0,0,0,0.0134228187882303,0.0201342281873789,0,0,0,0,0.00671140939914869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00671140939914869,0,0.0402684563747579,0,508,NA,NA
"5",0.183206106883511,0.221374045780076,0,0.343511450369084,0.137404580187634,0,0,0.00763358778931298,0,0,0,0,0.0534351144951908,0,0,0,0,0,0.015267175568626,0,0,0,0,0,0,0,0,0.015267175568626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015267175568626,0.00763358778931298,0,541,NA,NA
"6",0.188679245296226,0.132075471697359,0.028301886789434,0.405660377391887,0.122641509397547,0,0,0,0,0,0,0,0.028301886789434,0,0,0,0,0,0.00943396225981132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0849056603783019,0,575,NA,NA
"7",0.164179104498358,0.216417910397836,0.0447761193995522,0.440298507495597,0.0447761193995522,0,0,0.0149253731298507,0,0.00746268656992537,0,0,0.0298507462697015,0,0,0,0,0,0.0149253731298507,0,0,0,0,0.00746268656992537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00746268656992537,0,0,0,0,0.00746268656992537,0,0,603,NA,NA
"8",0.122641509403679,0.0754716981122641,0.0235849056607075,0.551886792516557,0.0141509434004245,0,0,0,0.00471698113014151,0,0.00471698113014151,0,0,0,0,0,0,0,0.122641509403679,0.00471698113014151,0.0330188679209906,0,0,0,0,0,0.00471698113014151,0.0141509434004245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00471698113014151,0,0.0141509434004245,0.00471698113014151,616,NA,NA
"9",0.11702127659883,0.0638297872293617,0,0.627659574493723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106382978698936,0,0.0744680851092553,0,0,0,0,0,0,0.0106382978698936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638,NA,NA
"10",0.0824742267958763,0.123711340193814,0.0412371133979381,0.443298969077835,0,0.0618556700969072,0,0,0,0,0,0,0,0,0,0,0,0,0.154639175292268,0,0.0618556700969072,0,0,0,0,0,0,0.0309278350484536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657,NA,NA
"11",0.140776699,0.1213592233,0.02912621359,0.5097087379,0.00485436893,0,0,0,0,0,0,0,0.00485436893,0,0,0,0,0,0.1067961165,0,0.00485436893,0,0,0,0,0,0,0,0,0,0,0,0.00485436893,0,0,0,0,0,0,0,0.0145631068,0,0.0145631068,0,0,0,0,0,0,0.04368932039,0,676,NA,NA
"12",0.0829268292724878,0.0731707317121951,0.0536585365916098,0.69268292682078,0.029268292680878,0.00975609756029268,0,0,0,0,0,0,0,0,0,0,0,0,0.0243902439007317,0,0.00487804878014634,0,0.00487804878014634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00975609756029268,0.00975609756029268,0.00487804878014634,0,695,NA,NA
"13",0.3942857143,0.2,0.02285714286,0.2857142857,0.05714285714,0,0,0,0,0,0,0.00571428571,0.01142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01142857143,0,717,NA,NA
