"","Asteraceae.lig.","Asteraceae.tub.","Dodonaea.T.mau.167","Dodonaea.T.mau.128","Erica.T.mau.141","Ericales","Trochetia.T.mau.146","Trochetia.T.mau.174","Poaceae","Laurembergia.tetranda.type","Cyperaceae","Nymphoides.indica.type","Onagraceae","Pandanus.T.mau.131","Pandanus","Acalypha","Allophylus.T.mau.90","Aphloia.theiformis.type","Araliaceae.type","Bakerella.type.T.mau.169","Psiloxylon.mauritiana","Clematis.mauritiana.type","Dracaena.type","Eugenia","Labourdonnaisia.type.T.mau.98","Molinaea.T.mau.136","Myrtaceae.undif.","Nuxia.verticillata","Olea.type.T.mau.153","Pilea.Ficus.undif.","Polyscias.type..Araliaceae.","Rorippa.insularis.type","Sapotaceae","Syzygium","Tambourissa.purpurea.type..T.mau.101b.","Urticaceae.Moraceae.undif.","Weinmannia","Securinega.type..T.mau.8.","Alchornea.type","Artemisia.afra.type..T.mau.142.","Cycadaceae.type","Hydrocotyle.type..T.mau.135.","Podocarpus.type","Apiaceae.type","Solanaceae.type","Camellia.sinensis.type","Cordia.type","Euphorbiaceae.T.mau.112b","Euphorbiaceae.T.mau.172","Euphorbiaceae.T.mau.88.","Fabaceae","Melastomataceae","Plantago","Psidium.cattleianum","Rubiaceae.type.T.mau.121","Rubiaceae.type.T.mau.164","Rubiaceae.type.T.mau.67","Rubiaceae.type.T.mau.70","Arecaceae.type.T.mau.127","Arecaceae.type.T.mau.137","Arecaceae.type.T.mau.139","Arecaceae.tetrade.type.T.mau.2","cf..T.mau.87","not.Thalictrum.type","T.mau.100","T.mau.103","T.mau.115","T.mau.116..Proteaceae..","T.mau.12","T.mau.129b","T.mau.130","T.mau.132b","T.mau.138..Solanaceae..","T.mau.140","T.mau.143..Monimiaceae..","T.mau.143b","T.mau.147","T.mau.148","T.mau.150","T.mau.151","T.mau.151b","T.mau.152","T.mau.154","T.mau.157","T.mau.158..Oenothera..","T.mau.162","T.mau.165","T.mau.166..Solanaceae..","T.mau.168","T.mau.171","T.mau.175","T.mau.175a","T.mau.175b","T.mau.177","T.mau.178","T.mau.179","T.mau.18","T.mau.180","T.mau.181","T.mau.182","T.mau.185","T.mau.188","T.mau.189","T.mau.19","T.mau.190","T.mau.191","T.mau.202","T.mau.20b","T.mau.213","T.mau.28","T.mau.35b","T.mau.37","T.mau.43","T.mau.48","T.mau.51","T.mau.52","T.mau.57","T.mau.58","T.mau.59","T.mau.65","T.mau.75","T.mau.84","T.mau.87","T.mau.99","Cyathea","Lycopodium","Monolete.clavate.","Monolete.echinate.","Monolete.psilate.","Monolete.verrucate.","Pteris","T.mau.124.Trilete.verrucate.","T.mau.125.Trilete..large","T.mau.145.Trilete.echinate.","T.mau.161.Trilete.","T.mau.170","T.mau.184.Trilete.","T.mau.34.Trilete.reticulate.","T.mau.53.Trilete.echinate..","T.mau.54a","T.mau.54b","T.mau.54c.","T.mau.56.Trilete.","T.mau.64.Trilete.foveolate.","T.mau.93.Trilete.","Cal_yrs_BP","min","max"
"12548",0,0.00184842883548983,0,0,0.0277264325323475,0,0,0,0,0,0,0,0,0,0.573012939001848,0.00369685767097967,0,0,0,0,0,0,0.00739371534195933,0.0055452865064695,0,0,0,0.044362292051756,0,0.0499075785582255,0,0.00924214417744917,0,0.0258780036968577,0.0184842883548983,0,0.0129390018484288,0.00184842883548983,0,0.00184842883548983,0.00739371534195933,0.00184842883548983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00184842883548983,0,0,0,0,0.0277264325323475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00184842883548983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0831792975970425,0,0,0,0.0591497227356747,0,0.00184842883548983,0,0.0314232902033272,0,0,0,0,0,0,0,0,0,0,0,0,12326.5,NA,NA
"12606",0,0,0,0,0.010482180293501,0,0,0,0.00419287211740042,0,0.00419287211740042,0,0,0,0.614255765199161,0.00419287211740042,0,0,0,0,0,0.00209643605870021,0.0188679245283019,0,0,0,0.010482180293501,0.00419287211740042,0,0.0524109014675052,0,0.00628930817610063,0,0,0.0209643605870021,0.00628930817610063,0.0125786163522013,0.00419287211740042,0,0.00419287211740042,0.00838574423480084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230607966457023,0,0,0,0,0,0,0,0,0,0,0,0,0.00209643605870021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00209643605870021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00209643605870021,0.0607966457023061,0.00419287211740042,0,0,0.0943396226415094,0.00209643605870021,0.00628930817610063,0,0.0146750524109015,0,0,0,0,0,0,0,0,0,0,0,0,12388,NA,NA
"12687",0,0,0,0.00405679513184584,0.0141987829614604,0,0,0,0,0,0,0,0,0,0.584178498985801,0.00811359026369168,0,0,0,0,0.00202839756592292,0,0.00608519269776876,0,0,0,0,0.0669371196754564,0,0.0689655172413793,0,0.00608519269776876,0,0.0162271805273834,0.0141987829614604,0.00405679513184584,0.00811359026369168,0,0,0.00405679513184584,0.0101419878296146,0.00202839756592292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0202839756592292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00405679513184584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0527383367139959,0.00202839756592292,0,0,0.0628803245436105,0.00202839756592292,0.00202839756592292,0,0.0324543610547667,0.00202839756592292,0,0,0,0,0,0,0,0,0,0,0,12479.5,NA,NA
"12771",0,0,0.0036563071297989,0,0.0182815356489945,0,0,0,0,0,0.0036563071297989,0,0,0,0.568555758683729,0.0036563071297989,0,0,0,0,0,0.00182815356489945,0.00548446069469835,0,0,0,0,0.0530164533820841,0,0.0749542961608775,0,0.00182815356489945,0,0.0146252285191956,0.0164533820840951,0.0036563071297989,0.00731261425959781,0.00182815356489945,0,0.00548446069469835,0.00731261425959781,0.00182815356489945,0,0,0,0,0,0,0,0,0,0.00182815356489945,0,0,0,0,0.00182815356489945,0,0,0,0,0.0164533820840951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036563071297989,0,0,0,0,0,0,0,0,0.0036563071297989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0786106032906764,0,0,0,0.0639853747714808,0.00182815356489945,0.00548446069469835,0,0.0292504570383912,0,0,0,0,0,0,0,0,0,0,0,0,12575,NA,NA
"12853",0,0,0,0,0.0130434782608696,0,0,0,0.00434782608695652,0,0.00217391304347826,0,0,0,0.528260869565217,0.00217391304347826,0,0,0,0,0.00217391304347826,0,0,0.00217391304347826,0,0.00217391304347826,0.0173913043478261,0.058695652173913,0,0.106521739130435,0,0,0,0.0239130434782609,0.0130434782608696,0.00217391304347826,0.0152173913043478,0.00217391304347826,0,0.00217391304347826,0.0195652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152173913043478,0,0,0,0,0,0,0,0,0,0,0,0,0.00217391304347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0782608695652174,0.00652173913043478,0,0.00217391304347826,0.0478260869565217,0,0.00652173913043478,0.00217391304347826,0.0217391304347826,0,0,0,0,0,0,0,0,0,0,0,0,12667.5,NA,NA
"13102",0,0,0,0,0.0174081237911025,0,0,0,0,0,0.00193423597678917,0,0.00193423597678917,0,0.597678916827853,0.00580270793036751,0,0,0,0,0,0,0.0154738878143133,0,0,0.00193423597678917,0,0.034816247582205,0,0.0425531914893617,0,0.00773694390715667,0,0.00193423597678917,0.00773694390715667,0.00580270793036751,0.0193423597678917,0.00193423597678917,0,0,0.0154738878143133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00386847195357834,0,0.0270793036750484,0,0,0,0,0,0,0,0,0,0,0,0,0.00193423597678917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108317214700193,0.00193423597678917,0.00386847195357834,0,0.0599613152804642,0.00386847195357834,0,0,0.00580270793036751,0.00193423597678917,0,0,0,0,0,0,0,0.00193423597678917,0,0,0,12934,NA,NA
"13361",0,0.00212314225053079,0.00424628450106157,0,0.0191082802547771,0,0,0,0.00212314225053079,0,0,0,0,0,0.420382165605096,0.00424628450106157,0,0.00212314225053079,0,0,0,0,0.0127388535031847,0.00212314225053079,0,0.00212314225053079,0.00849256900212314,0.0764331210191083,0,0.0721868365180467,0,0.00424628450106157,0,0.00424628450106157,0.0212314225053079,0.00849256900212314,0.0233545647558386,0.00636942675159236,0,0,0.0276008492569002,0.00212314225053079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00636942675159236,0,0.059447983014862,0,0,0,0,0,0,0,0,0,0,0,0.00212314225053079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00212314225053079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00212314225053079,0,0,0.121019108280255,0.00424628450106157,0.00424628450106157,0,0.0467091295116773,0.00212314225053079,0.00212314225053079,0,0.0169851380042463,0.00212314225053079,0,0,0,0,0,0,0,0.00212314225053079,0,0,0,13208.5,NA,NA
"13621",0,0.00174825174825175,0,0,0.0157342657342657,0,0.00174825174825175,0,0.00174825174825175,0,0.00174825174825175,0,0,0,0.475524475524476,0.00174825174825175,0,0,0,0,0,0,0.0192307692307692,0.0034965034965035,0,0,0,0.0332167832167832,0,0.0437062937062937,0,0.00524475524475524,0.0034965034965035,0.00524475524475524,0.0157342657342657,0.0034965034965035,0.00524475524475524,0.00174825174825175,0.00174825174825175,0.00174825174825175,0.0227272727272727,0.00174825174825175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0314685314685315,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00699300699300699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183566433566434,0.00174825174825175,0.0034965034965035,0,0.0664335664335664,0.00524475524475524,0.0034965034965035,0,0.0262237762237762,0.0034965034965035,0,0,0,0,0,0,0,0,0,0,0,13478.5,NA,NA
"13875",0,0.00210970464135021,0,0,0.0147679324894515,0,0,0,0,0,0,0,0,0,0.478902953586498,0,0,0,0,0,0,0,0.00843881856540084,0.00210970464135021,0,0,0.00843881856540084,0.0485232067510548,0,0.0632911392405063,0,0.00632911392405063,0.00421940928270042,0.00421940928270042,0.0210970464135021,0.00632911392405063,0.0210970464135021,0.00421940928270042,0.00210970464135021,0,0.0210970464135021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040084388185654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00210970464135021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00210970464135021,0,0,0,0,0,0,0,0,0,0,0,0.00421940928270042,0,0,0.132911392405063,0,0,0,0.0738396624472574,0,0.00210970464135021,0,0.0232067510548523,0.00210970464135021,0,0,0,0,0,0,0,0,0,0,0,13757.5,NA,NA
"14130",0,0.00192307692307692,0,0,0.0211538461538462,0,0,0,0,0,0.00384615384615385,0,0,0.00576923076923077,0.551923076923077,0.00384615384615385,0,0,0,0,0,0.00192307692307692,0.00961538461538462,0,0,0,0.00384615384615385,0.0134615384615385,0,0.025,0,0,0.00576923076923077,0.00192307692307692,0.0211538461538462,0.00192307692307692,0.0115384615384615,0.00384615384615385,0,0.00769230769230769,0.0153846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0346153846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00192307692307692,0.00576923076923077,0.00192307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138461538461538,0,0,0.0153846153846154,0.0576923076923077,0.00576923076923077,0,0,0.025,0,0,0,0,0,0,0,0,0.00192307692307692,0,0,0,14429,NA,NA
