,Cal_yrs_BP,max,min,Adiantum,Alnus glutinosa-type,Alnus viridis,Amaranthaceae-type,Ambrosia,Ammi,Anagallis tenella-type,Angelica lignescens,Anthoceros laevis,Anthoceros punctatus,Aphanes,Apiaceae,Arnium,Artemisia,Asplenium-type,Assulina muscorum,Azorina vidalii,Bellis-type,Betula,Botrychium,Botryococcus,Brassicaceae,Calluna vulgaris,Cardamine-type,Carpinus betulus,Carya,Castanea sativa,Centaurium,Cerastium-type,Cercophora-type,Chaerophyllum azoricum,Charcoal,Cheilanthes-type,Chrysanthemum-type,Cichorioideae,Cladium mariscus,Convolvulus,Corylus,Crassulaceae,Cryptomeria japonica,Culcita macrocarpa,Cyperaceae,Daucus carota subsp. azoricus,Diphasiastrum madeirense,Diporotheca,Dryopteris filix-mas-type,Ephedra fragilis-type,Erica azorica,Eucalyptus,Euphorbia,Euphrasia,Fabaceae,Fagus,Frangula azorica,Gelasinospora,Glomus,Habrotrocha angusticollis,Hedera azorica,Humulus lupulus,Huperzia dentata,Huperzia selago-type,Huperzia suberecta,Hydrangea,Hymenophyllum,Hypericum foliosum-type,Ilex perado ssp. azorica,Illecebrum verticillatum,Isoëtes azorica,Juncaceae,Juniperus,Juniperus brevifolia,Liliaceae-type,Lotus,Lycopodiella inundata,Lycopodium clavatum-type,Lycopodium spike,Lycopodium tablets,Lycopodium tablets,Lysimachia azorica,Lythrum portula,Mentha-type,Morella faya,Myosotis arvensis-type,Myrsine africana,Myrtus-type,Neurospora,Olea,Ophioglossum azoricum,Ophioglossum lusitanicum,Ornithopus,Osmunda regalis,Ostrya-type,Pediastrum,Pediastrum angulosum,Persicaria maculosa-type,Picconia azorica,Picea,Pinus subg. Pinus,Pistacia,Plantago coronopus,Plantago lanceolata-type,Plantago uniflora,Poaceae,Poaceae (Cerealia),Podospora-type,Polypodiales (monolete),Polypodiales (monolete,Polypodium azoricum,Potamogeton-type,Potentilla-type,Pseudopediastrum boryanum var. boryanum sensu lato,Pseudopediastrum integrum,Pseudoschizaea,Pteridium aquilinum,Pteris incompleta,Quercus,Quercus ilex-type,Quercus suber-type,Ranunculus cortusifolius-type,Rhynchospora-type,Riccia,Rubiaceae,Rubus,Rumex acetosella,Rumex obtusifolius-type,Sagina,Salix,Sambucus nigra/S. racemosa,Sample quantity,Scabiosa,Schoenoplectus lacustris-type,Scrophularia-type,Secale,Selaginella kraussiana,Silene dioica-type,Silene vulgaris-type,Solanum nigrum-type,Spergula-type,Sphagnum,Spirogyra-type,Sporormiella,Tolpis-type,Trichomanes speciosum,Trifolium repens-type,Triticum,Umbilicus,Urtica-type,Ustulina deusta,Vaccinium cylindraceum,Veronica,Viburnum treleasei,Vicia dennesiana,Vicia hirsuta,Viola,Xanthium strumarium,Zea mays
11,156,,,,0.1,,1,,10,0.1,60,1,2,0.1,,,,,,,0.1,,,5,,0.1,2,,,,4,,,,5,,,2,,,,,,4,20,1,,,,,6,,7,1,,,,,,,,,1,,2,,,8,2,,19,,,1,,1,,,122,18583,1,4,,1,7,,116,,,,,0.1,0.1,,,,,,3,,,,9,1,1,304,1,1,3,228,3,0.1,27,,,,4,8,1,,,1,,,,,1,1,1,,,1,0.1,,,1,34,,,,44,473,,,28,5,,,,,,0.1,,2,,,,,1
12,173,,,,,,1,,,,3,2,1,3,,,,,,,,1,,1,,,1,,,1,,,14,,9,,,1,,,,,,20,52,,,,,,4,,5,,,,,,,,,,,,,,,1,,,26,,,1,,1,,,322,18583,1,1,,,2,,144,,,,,,,,,,,,2,,,,8,,3,254,,14,4,163,,5,18,,,,7,15,,,,,7,,,,1,,5,,,1,1,,,,42,,,,74,134,,,3,5,,,,,,1,,,,,,,
13,190,,,,,,1,,1,,4,4,4,3,,1,,,,,0.1,,,3,0.1,,2,,,,,,2,,12,,,3,,,,,,108,489,,,,,,1,,5,,,,1,,1,,,,,1,,,,3,6,,0.1,,,,,3,,,236,18583,1,3,,,2,,1008,,3,,,0.1,0.1,,,,,,24,,,,5,,3,200,0.1,9,28,407,4,176,11,,,,5,43,,,,,,2,,,0.1,,12,,,1,0.1,,,,47,,,,4,28,,1,4,10,,,,,,,,5,,,,,
14,208,,,,,,0.1,,1,0.1,8,5,2,1,,,,,,,1,,,,,,1,,,,0.1,0.1,1,,32,,,4,,,,,,76,248,,,,,,2,,9,,,,,,,,,,,1,,,,1,3,,20,,,0.1,,1,,,156,18583,1,,,,0.1,,590,,14,,0.1,,0.1,,,,,1,18,,,,8,,1,66,4,1,36,168,3,72,11,,,,1,29,1,,,0.1,,1,,,,,7,,,1,1,,0.1,,14,,,,10,1,,0.1,0.1,8,,,,,1,0.1,,1,,,,,0.1
15,225,,,,,,0.1,,,0.1,5,6,6,0.1,1,,,,,,1,,1,,,1,1,,,,,1,1,,26,,0.1,0.1,,,,,,140,156,,,0.1,,,0.1,,8,,,,1,1,,,,,,,,,,1,8,,20,,,6,,,,,90,18583,1,,,0.1,1,2,748,,14,,1,,,,,,,,12,,,,3,,,48,0.1,18,4,534,2,48,9,,,,1,48,,,,,,0.1,,,,1,7,,,1,,,,,22,,,,0.1,3,,3,3,12,,,,,0.1,,,3,,,,,
16,242,,,,,,,,0.1,,4,0.1,2,3,,,,,,,0.1,,,1,,,2,,,,,0.1,1,,12,,0.1,0.1,,,,,,146,3,,,,,,1,,14,,,,0.1,,1,,,,,1,,,,1,3,,2,,,2,,0.1,,,100,18583,1,,,,0.1,,984,,7,,,0.1,,,,,,,7,,,,,,,9,,1,26,276,6,,1,,,,,29,,,,1,,,,,,,0.1,,,1,,,,,29,,2,,3,,,2,1,5,,,,,3,1,,1,,0.1,,,
17,259,,,,,,,,,,3,5,7,3,,,,,,,5,,,2,,,4,,,,,1,2,,15,,,2,,1,,,,92,320,,,2,,,0.1,,12,,,,0.1,,,,,,,,,,,2,3,,22,,,10,,,,,82,18583,1,1,,1,0.1,,1060,,44,,,0.1,,,,,,1,14,,,,1,,,30,,4,30,382,5,70,11,,,,1,43,,,,2,,2,,,,,6,,,1,,,0.1,,33,,,,8,1,,4,3,5,,,,,0.1,2,,3,,0.1,,,
18,276,,,,2,,,,1,0.1,6,5,8,4,,,,,,,1,0.1,,6,,0.1,3,,,,,0.1,2,,29,,,0.1,,,,,,152,206,,,1,,,2,,9,,,,2,,1,,,,,,,,1,5,2,,24,,0.1,13,,,,,60,18583,1,2,,,1,,1144,,24,,2,0.1,,,,,,,28,,,,0.1,,0.1,43,1,9,36,274,2,52,7,,,,2,44,,,,,,3,,,,,2,,,1,,,0.1,,29,,1,,8,,,7,5,10,,,,,1,2,,4,,,,,
19,293,,,,,,1,,,0.1,6,4,4,1,,,,,,,2,,,6,,,3,,,,1,0.1,3,,20,,,,,,,,,89,39,,,1,,,1,,10,,,,1,,,,,,,,,,,6,1,,20,,,3,,1,,,68,18583,1,0.1,0.1,,0.1,1,948,,30,,0.1,,,,,,,0.1,20,,,,1,,,30,,3,3,356,8,35,6,,,,1,30,,,,1,,0.1,,,,1,3,,,1,,,,,15,0.1,0.1,,,,,11,3,18,,,,,1,0.1,,4,,0.1,,,
20,309,,,,1,,,,0.1,1,7,2,3,4,,0.1,,,,,3,2,,50,1,,1,,,,1,0.1,4,,108,,1,1,,,,,,78,20,,,,,,2,,13,,,,0.1,,,,,,1,0.1,,,1,12,1,,94,,,24,,0.1,,,136,18583,1,0.1,,,1,,1000,,32,,1,,,,,,,0.1,24,,,,0.1,,,80,2,3,12,502,1,11,7,,,,2,30,,,,,,,1,,2,,2,,,1,,,,0.1,27,,1,,16,,,2,1,12,,,,,,0.1,,,,0.1,,,
