 ,min,max,Cal_yrs_BP,Abies,Acer,Achillea-type,Alisma-type,Allium-type,Alnus glutinosa-type,Alnus viridis-type,Amaranthaceae-type,Ambrosia,Anogramma leptophylla,Anthoceros laevis,Anthoceros punctatus,Apiaceae undiff.,Apium,Arbutus,Arctium,Armeria-type,Artemisia,Asparagus,Asphodelus albus-type,Asphodelus fistulosus,Asplenium-type,Aster-type,Avena-type,Betula,Boraginaceae,Botrychium,Botryococcus,Brassicaceae,Bryonia,Bupleurum,Buxus,Callitriche,Campanulaceae,Cannabis-type,Carduus,Carlina,Carpinus betulus,Carthamus,Caryophyllaceae undiff.,Castanea sativa,Centaurea cyanus,Centaurea nigra-type,Ceratonia siliqua,Cercophora-type,Chamaerops humilis,Cichorioideae,Cistus albidus-type,Cistus monspeliensis-type,Coniochaeta,Consolida-type,Convolvulus,Cornus sanguinea,Corrigiola litoralis,Corylus,Crocus,Cyperaceae,Daucus,Delitschia,Dinoflagellata,Echium,Elaeagnus,Ephedra,Erica arborea-type,Eryngium,Euphorbia,Euphrasia,Fabaceae undiff.,Fagopyrum,Fagus,Falcaria,Ficus carica,Filago-type,Filipendula,Fraxinus angustifolia subsp. oxycarpa-type,Fraxinus ornus,Galeopsis-type,Galium-type,Genista-type,Gentiana,Geranium,Geum-type,Gratiola officinalis,Hedera,Helianthemum,Hordeum-type,Hypericum perforatum-type,Illecebrum verticillatum,Isoetes,Juniperus-type,Lamiaceae undiff.,Lamium album-type,Lathyrus-type,Lavandula,Liliaceae undiff.,Linaria-type,Linum austriacum-type,Linum usitatissimum-type,Loranthus europaeus,Lotus-type,Ludwigia palustris,Lycopodium,Lycopodium spike,Lycopodium tablets,Lythrum salicaria-type,Mentha-type,Mercurialis,Minuartia,Morus,Myriophyllum,Myrtus communis,Nerium oleander,Neurospora,Nuphar,Oenanthe,Olea europaea,Onobrychis-type,Onosma,Ophioglossum,Orlaya,Ostrya-type,Papaver rhoeas-type,Paronychia-type,Pediastrum,Phillyrea,Pimpinella major-type,Pinus,Pistacia,Pisum sativum,Plantago coronopus,Plantago lanceolata-type,Plantago maritima-type,Plantago media,Poaceae,Poaceae (Cerealia) undiff.,Podospora-type,Polygonum aviculare-type,Polypodium,Populus,Potamogeton-type,Primula,Prunella-type,Prunus-type,Pseudoschizaea,Pteridium aquilinum,Pteridophyta (monolete) undiff.,Pteridophyta (trilete) undiff.,Pteris cretica,Quercus ilex-type,Quercus pubescens-type,Quercus suber-type,Radiola linoides,Ranunculus aquatilis-type,Ranunculus arvensis,Ranunculus-type,Reseda-type,Rhamnus,Rhynchospora alba,Riccia,Rosaceae undiff.,Rubus,Rumex acetosa-type,Rumex acetosella-type,Rumex obtusifolius-type,Ruppia,Salix,Sambucus,Sample quantity,Sanguisorba minor-type,Saxifraga,Scabiosa,Scrophulariaceae,Secale cereale,Sedum-type,Selaginella denticulata,Silene dioica-type,Sordaria-type,Sparganium-type,Spergula-type,Sporormiella-type,Stachys-type,Styrax,Tamarix,Taxus baccata,Teucrium,Thalictrum,Theligonum cynocrambe,Thelypteris palustris,Thymelaea,Tilia,Trifolium,Triticum-type,Ulmus,Urtica dioica-type,Urtica pilulifera-type,Utricularia,Valeriana,Valerianella,Verbascum,Veronica-type,Vitis
,,,3968,,,1,,,65,,79,,,2,,,3,,,,22,,,,,5,,,,3,,6,,2,,,,,2,,,,,1,,,,,2,25,1,15,1,,,,,2,,14,,,7,,,,104,,,,,,1,,,,,2,,2,,,,,,,,1,1,,,35,12,,,,,,,,,,5,,,342,62545,,1,,,,,15,,,,,6,,,,1,,,,,,,1,31,1,,4,1,,40,,,,,,4,,,1,,,5,,,15,10,2,,,,,,,,,,,,28,2,,,,1,1,,,,,,1,,,,,2,1,,,,2,,,,,,,2,,,,,,,,,1
,,,4636,,,2,,,60,,34,,,2,,,3,,,,13,,1,,,9,,2,,,,6,,1,,,,,2,,,1,1,,,,,,1,20,,16,,,,5,,,,8,,,9,,,,124,5,,,,,1,,,,,3,,2,1,,,,,,,,,1,,78,11,1,,,,,,,,,6,,,272,62545,,,,,,2,13,,1,,,12,,,,,2,,,,1,,7,76,,,5,,,33,,,,,,5,,,3,,2,1,,,13,20,2,,,,2,,,,,1,1,,13,2,,1,1,1,,,,,1,,1,,,,,7,2,,,,1,,,,,1,1,2,,2,,,,,,,1
,,,5429,,,1,,,12,,47,,,2,,,1,,,,25,,,1,,11,,,,2,,11,,2,,,,,2,,,1,,,,,,,3,31,1,20,,,,4,,4,1,,,,51,,,2,180,3,,,,,2,,,3,,3,,,,,,,,,,,,2,,,15,,,,,,,,,,6,,,838,62545,,,,,,,1,,,1,,1,,,,,,,,,1,,4,42,,,3,,,20,,,,,1,1,1,,2,,,,,,20,30,1,,,,2,,,,,2,2,,11,2,,,,1,,,,,,,1,,,,,1,1,,,,1,,,,,,,,,,,,,,,,2
,,,6506,,,,2,,,,78,,,,,3,,,1,,12,,,,,,,1,,,,11,,,,,,,,,,,,,,,,,3,8,,3,,,,3,,3,,7,,2,9,,,,77,3,,,,,1,,,1,,7,,2,,,,,,,,,1,,,26,7,,,,,,,,,,9,,,156,62545,,,,,,,,,,,4,33,,,,,,,,,2,,2,84,,,3,3,,45,,,,,,1,,,9,,5,2,,,37,27,28,,,,2,,,,,9,,,5,2,3,3,,1,,,,4,,,,,1,,,3,7,,2,,2,1,,,,,,,1,2,,,,,,,
,,,7113,,,,1,,5,1,39,,5,15,3,,,,,,2,,3,,,6,,1,,,,4,,,,,,,,,,,2,,,,,,2,10,,22,,,,,2,2,,11,,,6,,,,247,1,,,,,,2,,3,,3,,2,,,,,,,,,,1,,41,12,,,1,,,,,,,1,,,129,41697,,,,,,,,,1,,,1,,,,1,1,,,,1,,3,81,,,4,,,38,,,,,5,2,,,,,1,,,,2,3,,,,,,,,3,2,,,,4,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,10,,,,,,,,,
,,,7206,1,,,1,1,1,,18,1,1,12,1,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,22,,,,,1,2,,7,,,2,,,,391,1,,,,,,,,3,,1,,2,,,,,,,,,,,,9,4,,,,,,,,,,1,,,170,41697,,,,,,,,,,,,,,,,,,,,,,,4,33,,,1,,,16,,,1,,,,,,,,,1,,,1,2,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,5,,3,,,,1,,,,1,,,,1,,,,1,,,
,,,7620,,,3,,,3,,6,,1,20,1,,,,,,,,2,,,6,,,,,,1,,,,,,,,,,,,,,,,,,4,,51,,,,,,2,,4,,,,,,,406,,,,4,,,,,,,,2,,1,,,,,,,,,,,12,,,,,,,,,,,,,,1077,62545,,,,,,,,,,,1,,,,,,,,,,,,5,7,,,,,,4,,,,,,,,,,1,,,2,,,2,,,,,,,,,3,,,,,,3,,,1,,,,,,,5,,,,,31,,,1,,,,,1,,,,,,,,,,,,,
,,,1379,,,2,,2,4,,85,,,,,,,,1,,78,,,,,3,,,,,,9,,,,,,,,,,,,,,,,,,2,3,,,,,,,1,,24,,,1,,,,11,,,,,,,,,,,4,,4,,,,,,,,,4,2,,1,44,,,,1,,,,,,4,,,218,41697,,,,,,,15,,,,,53,,,,,,,,,1,,2,81,,,7,,1,50,,,,1,,1,,,5,,,,,1,16,4,1,,1,,2,,,,,,,,8,,1,2,,1,,,,,2,,1,,,,,2,1,,,,4,1,,,,,,7,,,,,,,,,1
,,,2588,,,4,,1,15,,33,,,1,,,,,,,14,,,,,4,,1,,1,,7,,,1,,,,2,,,,,2,,,,,,23,4,5,,,,,,2,,6,,,11,,,1,36,,,,,,,,,,,5,,13,,,,,,,,2,,3,,15,36,1,,,,,,,,,10,,,250,41697,,1,,,,,12,,,,,70,,,,,1,,,,10,,4,70,,1,5,,,23,,,,1,,,,,,,,1,,,48,7,,,3,,3,,,,,,,,29,,2,,,1,,,,1,1,,2,,1,4,,1,3,,,,6,4,1,,,,,1,,,,,,,,,3
,,,3221,,,4,,1,33,2,39,,,1,,,,2,2,,10,,2,,,5,,,,1,,5,,2,,,,,,,,,,,,,,,,25,,7,,,,1,,1,,5,,,8,,,,76,,,,,,1,,,3,,4,,,,,,,,,,1,1,,,60,16,,,,2,,,,,,5,,,318,62545,,,1,,,,10,,,,,53,,,,,1,,,,6,,3,35,,,,1,4,49,,,,,,1,,,1,,2,1,,,22,18,4,,1,,,,,,,,1,,48,4,1,,,1,,2,,,,2,3,,,,,7,,,2,,5,3,,,,,,2,,,,,,,,,1
,,,3580,,,1,1,,81,,42,1,,10,,,1,,1,,15,,,2,,7,,,,,,8,,,,,,,1,,,1,1,,1,,,,2,29,2,15,4,,,1,,1,,11,,,10,,,,101,,,,,,2,,,1,,11,,,1,,,,,,,,1,,,35,4,2,,,1,,,,,,14,,,699,62545,2,1,,,,,4,,,,,14,,,,,,,,,,,2,24,,,7,,,34,,,,,,1,,,,,4,1,,,12,17,2,,,,1,,,,,,,,38,2,,,,1,,,,,1,,2,,,,,10,1,,2,,3,,,,,,,1,1,1,,,,,,,1
,,,4126,,,2,,,24,,47,,,4,1,,2,1,1,,31,,,1,,11,,2,,2,,4,,2,1,,,,1,,,,,,,,,,1,43,,7,,,,,,2,,14,,,4,,,,177,,,,,,,,,,,6,,1,,,,,,,,1,,2,,24,17,,1,,2,,,,,,1,,,298,62545,,,,,,,13,,1,,1,7,,1,,,2,,,,2,,2,24,,,2,1,,23,,,,2,,3,,,,,1,3,,2,8,10,1,,,,,,,,,,,,20,1,,,,1,,,,,,,,,1,,,6,1,,1,,1,1,,,,,,1,,,,,,,,,
