 ,min,max,Cal_yrs_BP,Abies,Acer,Achillea-type,Alisma-type,Allium-type,Alnus glutinosa-type,Alnus viridis-type,Amaranthaceae-type,Ambrosia,Anogramma leptophylla,Anthoceros laevis,Anthoceros punctatus,Apiaceae undiff.,Apium,Arbutus,Arctium,Armeria-type,Artemisia,Asparagus,Asphodelus albus-type,Asphodelus fistulosus,Asplenium-type,Aster-type,Avena-type,Betula,Boraginaceae,Botrychium,Botryococcus,Brassicaceae,Bryonia,Bupleurum,Buxus,Callitriche,Campanulaceae,Cannabis-type,Carduus,Carlina,Carpinus betulus,Carthamus,Caryophyllaceae undiff.,Castanea sativa,Centaurea cyanus,Centaurea nigra-type,Ceratonia siliqua,Cercophora-type,Chamaerops humilis,Cichorioideae,Cistus albidus-type,Cistus monspeliensis-type,Coniochaeta,Consolida-type,Convolvulus,Cornus sanguinea,Corrigiola litoralis,Corylus,Crocus,Cyperaceae,Daucus,Delitschia,Dinoflagellata,Echium,Elaeagnus,Ephedra,Erica arborea-type,Eryngium,Euphorbia,Euphrasia,Fabaceae undiff.,Fagopyrum,Fagus,Falcaria,Ficus carica,Filago-type,Filipendula,Fraxinus angustifolia subsp. oxycarpa-type,Fraxinus ornus,Galeopsis-type,Galium-type,Genista-type,Gentiana,Geranium,Geum-type,Gratiola officinalis,Hedera,Helianthemum,Hordeum-type,Hypericum perforatum-type,Illecebrum verticillatum,Isoetes,Juniperus-type,Lamiaceae undiff.,Lamium album-type,Lathyrus-type,Lavandula,Liliaceae undiff.,Linaria-type,Linum austriacum-type,Linum usitatissimum-type,Loranthus europaeus,Lotus-type,Ludwigia palustris,Lycopodium,Lycopodium spike,Lycopodium tablets,Lythrum salicaria-type,Mentha-type,Mercurialis,Minuartia,Morus,Myriophyllum,Myrtus communis,Nerium oleander,Neurospora,Nuphar,Oenanthe,Olea europaea,Onobrychis-type,Onosma,Ophioglossum,Orlaya,Ostrya-type,Papaver rhoeas-type,Paronychia-type,Pediastrum,Phillyrea,Pimpinella major-type,Pinus,Pistacia,Pisum sativum,Plantago coronopus,Plantago lanceolata-type,Plantago maritima-type,Plantago media,Poaceae,Poaceae (Cerealia) undiff.,Podospora-type,Polygonum aviculare-type,Polypodium,Populus,Potamogeton-type,Primula,Prunella-type,Prunus-type,Pseudoschizaea,Pteridium aquilinum,Pteridophyta (monolete) undiff.,Pteridophyta (trilete) undiff.,Pteris cretica,Quercus ilex-type,Quercus pubescens-type,Quercus suber-type,Radiola linoides,Ranunculus aquatilis-type,Ranunculus arvensis,Ranunculus-type,Reseda-type,Rhamnus,Rhynchospora alba,Riccia,Rosaceae undiff.,Rubus,Rumex acetosa-type,Rumex acetosella-type,Rumex obtusifolius-type,Ruppia,Salix,Sambucus,Sample quantity,Sanguisorba minor-type,Saxifraga,Scabiosa,Scrophulariaceae,Secale cereale,Sedum-type,Selaginella denticulata,Silene dioica-type,Sordaria-type,Sparganium-type,Spergula-type,Sporormiella-type,Stachys-type,Styrax,Tamarix,Taxus baccata,Teucrium,Thalictrum,Theligonum cynocrambe,Thelypteris palustris,Thymelaea,Tilia,Trifolium,Triticum-type,Ulmus,Urtica dioica-type,Urtica pilulifera-type,Utricularia,Valeriana,Valerianella,Verbascum,Veronica-type,Vitis
,,,3182,,,2,,,30,,29,,,5,,,2,1,,,24,,1,,,9,,,,,,16,,2,,,,,3,,,,,,,,,,1,55,1,12,1,,,4,,1,,9,,,27,,,,95,1,,,,,1,,,1,,11,,1,,,,,,,,2,1,1,,35,11,,,,1,,,,,,9,,,357,62545,,,,,,,9,,1,,,29,,,,,,,,,6,,1,23,,,2,,,45,,,,,,,,,,,1,2,,1,15,21,,,,,,,,,,,3,,41,,1,,,1,,,,,,,,,1,,,14,,,2,,2,4,,,,,,1,,,,,,,,,1
,,,3257,,,1,,,33,,43,,,3,,,,1,,,25,,,,,4,,1,,,,7,,,,,,,1,,,,2,1,,,,,,9,2,11,,,,,,2,,12,,,14,,,,78,,,,,,1,,,1,,6,,1,2,1,,1,,,,1,,,,63,6,1,,,,,1,,,,5,,,415,62545,1,2,,,,,2,,,,,63,1,,,,4,,,,4,,7,45,,1,3,,,37,,,,1,1,,,,1,,1,,,,22,26,5,,,,1,,,,,2,,,33,7,,1,,1,,,,,1,1,,,,,,4,2,,1,,2,,,,,,,1,,,,,,,,,1
,,,3470,,,1,,,90,,41,,,3,,,1,,,,11,,2,1,,3,,1,,1,,15,,,,,,,2,,,,,,,,,,2,46,1,9,,,,3,,3,,16,,,4,,,,70,,,,,,2,,,2,,2,,1,,1,,1,,,,,,,,13,19,1,,,1,,,,,,5,,,396,62545,,1,,,,,8,,1,,,25,,,,,1,1,,,4,,2,29,,,6,1,1,53,,,,,,1,,,,,4,1,,,3,5,,,,,,,,,,,1,,23,3,,,,1,,,,,,,,,,,,3,1,,,,2,2,,,,,,3,,2,,,,,,,1
,,,3622,,,5,,1,48,3,28,,,7,,,1,,2,,24,1,,,1,8,,,,,,10,,,,,,,2,,,,1,1,,,,,2,93,2,19,,,,,,2,,16,,,1,,,1,153,,,,,,,,,4,,1,,3,,,,,,,,1,,,,19,8,,,,,,,,,,9,,2,579,62545,,,1,,,,4,,,,,9,,,,1,,,,,1,,1,12,,,1,,,26,,,,,1,,,,,,2,,,,3,5,,,,,3,,,,,,,,27,,,,,1,,,,,,1,1,,2,,,8,2,,,,2,2,,,,,,,,,,,,,,,1
,,,4073,,,3,,,78,,59,,,2,,,3,,,,8,,,,,6,,,,,,7,,,1,,,,1,,,1,,,,,,,2,20,1,7,,,,,,,,12,,,22,,,2,112,,,,,,1,2,,4,,,,2,,,,,,,,,,1,,31,15,3,,,1,,,,,,5,,,535,62545,,,,,2,,8,,,,,11,,,,,3,,,,3,,5,58,,,9,,,27,,,,1,,,,,2,,2,2,,,9,11,8,,,,,,,,,,2,,17,9,,,,1,,,,,,,2,,,,,5,1,,,,,,,,,,,,1,1,1,,,,,,2
,,,4318,,,1,,1,55,1,45,,,5,,,1,,,,24,,1,,,4,,1,,2,,8,,3,1,,,,1,,,,1,,,,,,,26,,19,,,,,,2,,12,,,52,,,,165,,,,,,,,,1,,1,,3,1,,,,,,,,,,,58,18,1,,,,,,,,,2,,,440,62545,,,,,,,14,,,,,12,,,,,,,,,3,,2,31,,,4,,,38,,,,,,2,,,,,4,5,,2,9,8,5,,1,,,,,,,,,,9,,,,,1,,,,,,,2,1,2,,,14,1,,,,1,2,,,,,,2,,,,,,,,,2
,,,4800,,,2,1,,48,,21,3,,5,,,2,,,,15,,2,,,5,,1,,,,10,,,,,,,4,,,,,,,,,,1,28,3,16,,,,3,,3,,11,,,13,,,,108,,,,,,2,,,1,,3,,,,,,,,,,,,,,63,18,,,,1,,,,,,4,,,794,62545,,,,,,,10,,,,1,2,,,,,2,,,,5,,5,89,,1,3,,,50,,,,,1,1,,,2,,,3,,1,5,16,3,,,,2,,,,,,2,,15,2,,,,1,,1,1,,,2,2,,,,,3,,,,,3,1,,,,,,,1,1,,,,,,1,
,,,5339,,,12,,,36,,27,,,6,,6,,,,,8,,2,,,,,,,,,12,,,,,,,,2,,1,1,,,,,,,82,1,20,,,,1,,,1,2,,,215,,,1,80,,,,2,,1,1,,7,,1,,3,1,1,,,1,,,,,,,143,5,6,,,1,,,,,,2,,,804,62545,,1,,,,,,,1,1,,2,,,,,2,,,1,3,,4,31,,,3,1,,50,2,,,,,,,,,,4,3,5,,12,31,3,,,,,,,,,,1,3,25,,1,1,,1,,,,,1,,1,,,,,7,,,1,,,,,,,,,1,,1,,,,1,,,
,,,5789,,,2,,,7,,50,,,3,,,1,,,,21,,2,,,3,,1,,,,4,,1,1,,,,,,,1,,,,,,,2,12,,13,1,,,2,,2,,16,,1,50,,,,223,1,,,,,4,,,1,,,,3,1,,,,,,,3,,1,,68,14,1,,,,,,,,,6,,,531,62545,,,,,,,2,,,1,,2,,,,,,,,,,,4,40,,,2,,,33,,,,,3,11,,,2,,2,1,,,6,45,2,,,,1,,,,,3,6,,4,1,,10,,1,,1,,,,,,,1,1,,6,,,,,1,1,,,,,,1,,1,,,,,,,
,,,6145,,,3,,1,4,,32,,,11,,,1,,,,31,,1,,,8,,,,2,,2,,,2,,,,3,,,1,1,,,,,,,54,2,21,,,,,,4,,12,,,26,,,,169,2,,,,,,,,3,,3,,,,,,,,,,1,,,,78,31,,,,,1,,,,,4,,,457,62545,,,,,,,,,1,2,1,2,,,,,,,,,1,,2,48,,,3,,,28,,,,,,1,,,6,,1,,,,7,16,,,,,4,,,,,,1,,6,,,2,,1,,1,,,,,1,,3,,,11,3,,,,3,1,,,,,,,,,,,,,,,1
,,,6835,,,5,1,,5,,52,,,2,,5,,,,,4,,,,,1,,,,,1,4,,,,,,,,,,,,,,,,,,11,,4,,,,1,3,2,,17,,,46,,,,78,,,,1,,,,,5,,10,,2,,,,,1,,,,,,,22,10,,,1,,,,,,,2,,,862,41697,,,,,,,1,,,,,50,,,2,,,,,1,2,,5,54,,,,1,,27,,,,,,,,,4,,,4,,,49,32,81,,,,5,,,,,,1,,3,,,1,,1,,,,,,,,,,1,,4,1,,,,,,,,,,,,,,,1,,,,,1
,,,7092,,,,2,1,4,,55,,1,10,,,,,,,3,,1,,,12,,,,1,,1,,,,,,,,,,1,1,,,,,,,27,3,10,,,,,,1,,12,,,6,,,,195,2,,,,,,1,,16,,2,,1,1,,,,,,,,,,,46,2,,,,,,,,1,,12,,,250,41697,,1,1,,,,,,,,,1,,,,3,6,,,,2,,10,58,,1,7,,,59,,,,,6,1,,,,,,4,,,4,4,1,,,,5,,,,,,,,9,,,,,1,,,,,,,,,,4,,1,,,,,,,,,,,,6,1,1,,,,,,,
,,,7164,,,,,,,,20,,5,20,,,,,,,1,,1,,,1,,,,1,,1,,,2,,,,,,,,1,,,,,,,1,1,20,,,,,,1,,9,,,2,,,,373,,,,,,1,,,1,,1,,1,,,,,,,,,,,,,1,,,2,,2,,,,,,,,185,41697,,,,,,,,,,,,,,,,,,,,,,,2,45,,,,,,17,,,,,,,,,,,,,,,2,8,,,,,1,,,,,,,,1,,1,,,1,,,,,,,,,,,,4,,,,1,1,,,,,,,,1,3,,,,,,,
,,,7185,,1,2,,,1,,30,1,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,3,1,25,,,,,,3,,17,,,3,,,,359,,,,,,1,,,2,,,,,,1,,,,,,,,,,10,,,,,,,,,,,3,,,243,62545,,,,,,,,,,,,,,,,,,,,,,,6,47,,,,,,17,,,,,,1,,,,,1,,,3,,4,1,,,,,,,,,,,,2,,1,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,
,,,7269,,,,,,1,,10,1,5,8,,,,,,,1,,4,,,1,,,,1,,1,,,,,,,,,,,,,,,,,1,,2,41,,,,,,,,11,,,1,,,,387,,,,,,1,,,1,,1,,1,,,,,,,,,,,,10,2,,,,,,,,,,,,,340,41697,,,1,,1,,,,,,,,,,,,,,,,,,3,29,,,1,,,11,,,,,2,1,,,,,,2,,,1,1,,,,,,,,,,,1,,2,,,,,1,,,,,,,,,,3,,18,,,,,,,,,,,,,,,,,,,,,1
,,,7397,,,12,,,,,4,,,5,,1,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,1,,20,,,,,,,,2,,,,,,,448,,,,,,,,,1,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,1248,62545,,,,,,,,,,,,,,,,,,,,,2,,1,6,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,
,,,-58,,,,2,,2,,76,,,,,,,,2,,11,,,,,3,,,,,1,14,,,,,,,1,,,,,,,,,,,4,,2,,,,,,1,,2,,,4,,1,,15,,,,,,1,,,,,3,,,,1,,,,,1,,,,,11,52,2,,,,1,,,,,10,,,230,41697,,,,,1,,1,,,,,7,,,,,,,,,1,,21,27,,1,10,1,,215,,,,,1,1,,,1,,,,,,6,2,3,,,,,,,,,,,,2,,22,,,1,,2,,,,,,,,4,,,,,,,3,4,,,,,,,,3,,,,,,,
,,,1843,,,4,3,,59,,17,1,1,9,,1,,,,,14,,,,,7,,,,,,26,,,1,,,,6,2,,,6,,,3,,,1,41,14,37,,,,,14,,,17,,,,,,1,55,,,,,,,,,5,,5,,6,1,,,,,,,,,1,,46,13,,,,,1,,,,,4,,,627,41697,,1,,,,,10,2,,,,14,,,2,,,,,,2,,7,9,,,1,2,1,45,1,,,,,1,,,,,1,7,,,25,10,4,,,,,1,1,1,1,,2,1,15,1,2,4,,1,,1,,1,,,4,1,,34,,4,,,3,,3,1,,,,,,,,3,,,,,,,10
,,,2879,,,11,,,18,,22,,1,,,2,,1,,,3,1,,,,1,,,,,,10,,,,,,,1,,2,,,,,1,,,1,14,1,5,,,,,2,1,,2,,,6,2,,,46,,2,,,,,,,,,9,,1,,,,,2,,,,1,,,17,13,,,1,2,,,,,,3,,,291,41697,,2,,,,,9,,,,1,101,,,,,,,4,,9,,6,59,,,3,1,,39,4,,3,2,,,,,,,,2,,,46,12,16,,,,,1,,,,,,1,14,,14,3,,1,,,,,,,1,,,,1,3,2,,,,,,,,,,1,,,,1,,,,,,1
,,,3290,,,6,,1,36,,39,,,,,,7,,,,12,,2,,,1,,,,,,5,,,,,,,,,,,,,,,,,1,19,,10,,,,,,4,,9,,,10,,,,81,,,,,,1,,,3,,4,1,,,2,,,,,,1,,2,,57,17,,,,2,,,,,,6,,,338,62545,,,,,,,8,,,,,60,,1,,,,,,,7,,4,45,,1,2,1,,29,,,,,2,2,,,5,,2,2,,,21,10,,,,,4,,,,,,,,35,1,,,,1,,2,,1,2,4,,,,,,1,3,,4,,2,1,,,,,,1,,5,,,,,,,3
,,,3667,,,1,,,104,5,41,,,6,,,1,,,,17,,,,,12,,,,,,6,,1,,,,,1,,,,1,,,,,,3,45,3,10,,,,,,2,,24,,,13,,,,84,2,,,,,,,,4,,5,2,2,1,,,,,,,,1,,,48,19,1,,,1,,,,,,5,,,408,62545,,,1,,,,6,,,,,25,,,,,,,,,4,,,10,,1,3,,,44,,,,,1,1,,,1,,1,1,,,4,9,,,,,,,,,,,1,,35,,,,,1,,1,,,,,1,,,,,3,2,,,,,1,,,,,,2,,,,,,,,,
,,,4180,,,2,2,,60,,59,,,,,,6,,,,17,,1,,,4,,,,,,10,,,,,,,3,,,,,,,,,,4,28,,16,2,,,1,,5,1,13,,,13,,,,125,2,4,,,,3,,,3,,,,4,,,,1,,,,1,,,,22,5,,1,,,,,,,,5,,,414,62545,,1,,,,,12,,2,,,3,,,,,,,,,,,3,42,,,6,,,31,,,,,1,7,,,1,,3,5,,1,14,7,1,,,,,,,,,,,,24,5,,1,,1,,,,,,,,,1,,,,,,,,3,2,2,,,,,1,1,,,,,,,,1
,,,5065,,,4,,,44,,24,,,6,,,,,3,,19,1,1,1,,7,,,,1,,11,,,1,,,,6,,,,,,,,,,,113,1,17,,,,3,,,,14,,,2,,,,135,1,,,,,2,,,3,,1,,3,,,,,,,,,1,,,67,4,1,1,,1,,,,,,7,,1,601,62545,,,,,,2,,,,,,13,,,,,,,,,,,5,25,,,3,1,,27,,,,,,1,,,,,2,2,,,5,13,1,,1,,2,,,,,,,,14,1,,1,,1,,,,,,,1,1,,1,,5,1,,,,2,1,,,,,,1,1,1,,,,,,,
,,,6234,,,1,,,,,46,,,9,,,,,2,,22,,1,,,8,,,,,,1,,,,,,,2,,,,,,,,,,1,37,,8,,,,2,,,,14,,,35,,,,209,2,,,,,,,,4,,,,,,,,,,,,,,1,,44,25,,,,,,,,,,2,,,490,62545,2,,1,,,,,,,2,,2,,,,1,,,,,1,,3,64,,,1,2,,25,,,,,,,,,1,,,,,,18,4,2,,,,1,,,,,,,,5,,,6,2,1,,,,,,,,,1,,,5,1,,,,,,,,,,,,,,,,,,,,
,,,7082,,,,,,5,,89,,,11,2,,,1,,,10,,,,,9,,,,,,5,,,,,,,1,,,,2,,,,,,,32,,9,,,,,,1,,8,,,17,,,,164,5,,,,,,,,1,,2,,2,,1,,,,,,,,1,,51,15,,,,,,,,,,,,,298,62545,,,,,,,,,,1,,2,,,,,,,,,1,,2,64,,,,,,58,,,,,1,1,,,,,2,3,,4,3,9,2,,,,3,,,,,,,,3,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,12,,1,,,,,,,
,,,7195,,,1,,,1,,26,1,5,19,2,1,,,3,,1,,2,,,2,,,,2,,,,,,,,,1,,,,,,,,,,,1,3,41,,,,,2,,,11,,,8,,,,351,,,,,1,1,,,1,,,,,,,,,,,,,,,,11,5,,,6,,,,,,,2,,,409,41697,,,,,,,,,1,,,,,,,,,,,,,,8,47,,,,,,18,,,,,,,,,,,,,1,,5,4,,,,,,,,,3,,,,1,,,,,1,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,
,,,7279,,,,,,1,,3,,13,17,2,,,1,,,,,4,,,2,,,,,,2,,,,,,,,,,,,,,,,,,1,,31,,,,,,1,,10,,,1,,,,411,,,,,,,,,2,,1,,1,,,,,,,,,,,,5,5,1,,,,,,,,,,,,289,41697,,,,,,,,,1,,,,,,,,1,,,,1,,5,15,,,1,,,19,,,,1,1,,,,,,,1,,,1,1,,,,,,,,,2,,,,1,,,,,1,,,,,,,,,1,,,32,,,,,,,,3,,,,,,,,,,,,,
,,,1453,,,2,,,4,,21,,,,,3,,1,,,85,2,,,,2,,,,,1,3,,,,,,,,,,,,,1,,,,2,2,3,4,,,,,,,,35,,,,1,,1,10,,,,,,,,,,,11,,,,,,,,,,,,,3,2,63,,,,,,,,,,1,,,266,41697,,,,,,,20,,,,1,66,,,1,,,,,,5,,,96,,1,2,1,,32,5,,,1,,,,,1,,,,,,26,6,5,,,,,,,,,,,1,3,,23,3,,1,,,,,,,,,1,1,,2,,,4,,,,,,,,1,,,,,,,,,,6
,,,2168,,,5,,,41,,23,,,5,,1,1,2,4,1,31,,,,,10,,1,,,,30,,,1,,,,1,,,,,,,,,,,33,10,45,,,2,4,,2,,82,,1,1,,,1,59,,,,1,,,,,6,,6,,2,,1,,1,,1,,4,1,2,,29,16,2,,,11,,,,,,4,,,638,62545,,4,,,1,1,12,,,,,9,,,,1,4,,,,1,,5,6,,,5,,,74,,2,,,2,,,,,,4,2,,2,17,12,4,,4,,1,,,,,1,3,,12,1,,1,,1,,,,1,,1,6,,,233,,3,9,,16,,7,1,,,,,3,,,2,,,,,,1,2
,,,2980,,,1,,,35,,31,,,3,,,5,,,1,17,,,1,,8,,2,,1,,6,,1,,,,,1,,,,1,,,,,,,35,2,2,,,,1,,,,5,,,5,,,,68,1,,,,,,,,2,,4,,4,,2,,,,,,,,1,,21,7,,1,,,,,,,,10,,,192,41697,,2,,,,,1,,,,1,80,,,,,1,,,,4,,2,45,,1,3,,1,41,,,,,,,,,1,,1,1,1,1,25,9,3,,2,,3,,,,,,,,31,2,,,,1,,,,,1,1,,,,,,2,,,,,4,3,,,,,,4,1,,,,,,,,4
,,,3380,,,1,,,26,,76,1,,1,,,1,1,1,,19,2,1,1,,13,,,,2,,4,,,,,,,1,,,,,,,,,,,30,4,15,,,,,,3,,7,,,1,,,1,119,,,,,,2,,,,,10,1,3,,1,,,,,,,,,,34,9,,,,1,,,,,,3,,,417,62545,,,,,,,2,,,,,26,,,,,1,,,,1,,2,32,,,4,,,42,,,,1,,,,,2,,,,,1,24,7,1,,,,5,,,,,,,,20,1,,,,1,,,,,1,,,,,,,4,1,,,,2,1,,,,,,,,,,,,,,,7
,,,3916,,,,,,66,6,67,,,3,,,1,2,2,,22,1,1,,,6,,1,,1,,5,,,1,,,,,,,,,,,1,,,,73,1,6,1,,,1,,,,29,,,4,,,,126,3,,,,,1,,,3,,3,,1,2,,,,,,,,,,,38,8,1,,,1,,,,,,4,,,380,62545,,,,,,,8,,1,,,2,,,,,1,,,,2,,3,25,,,2,,,32,,,,,,10,,,,,2,1,,,11,16,5,,,,2,,,,,1,,,17,,,,,1,,1,,,,,,,2,1,,10,1,,,,1,2,,,,,,,1,4,,,,,,,1
,,,4717,,,5,3,,49,,32,,,3,,,1,1,1,,12,,1,,,3,,2,,,,3,,,,2,,,,,,,,,,,,,,14,,17,1,,,,,5,,12,,,14,,,,113,3,,,,,3,,,,,3,,2,,,,,,,,1,,1,,38,10,,,,2,,,,,,5,,,865,62545,1,,,,,,2,,,1,,14,,,,2,3,,,,3,,15,65,,,,,,53,,,,,3,,,1,,,3,1,,2,19,20,5,,1,,6,,,,,1,,,14,5,,,,1,,,,,4,,1,2,,,,2,,,1,,,1,,,,,,1,,3,,1,,,,,2
,,,5967,,,4,,,2,,23,,,8,,4,,,,,38,,,,,12,,,1,,,1,,,,,,,,1,,,,,,,,,,62,,26,,,,,,3,,16,,,347,1,,,107,1,,,,,,,,3,,,2,,3,,,,,,,,,,,109,8,3,,,,,,,,,2,,,569,62545,1,2,,,,,,,,2,,2,,,,,2,,,,,,4,41,,,1,3,,53,,,,,,,,,,,1,2,,,7,51,7,2,,,,,,,,,,,5,,2,8,,1,,,,,,1,,,,,,27,1,,2,,,1,,,,,,,2,1,,,,,,,
,,,6884,,,,,,2,,33,,,8,1,,,1,,,6,,,,1,4,,,,,,5,,,,,,,,,,,,,,,,,2,16,,5,,,,,,2,,8,,,76,,,,168,3,,,,,2,1,,2,,5,,4,,,,,,,,,,,,28,24,1,,,,,,,,,6,,2,4232,62545,,,,,,,,,,2,2,54,,,,,1,,,,2,,2,69,,,2,1,1,21,,,,,,,,,1,,2,4,,2,24,17,7,,,3,,,,,,1,,,16,,,,,1,,,,,,,,,1,,,2,2,,,,,1,,,,,,,1,1,,,,,,1,
,,,7144,,,,,,,,41,,3,20,2,,,,,,1,,1,,,1,,,,,,2,,,,,,,,,,,,,,,,,,9,,31,,,,,3,4,,9,,,1,,,,321,,,,1,,4,1,,3,,,1,1,,,,,,,,,1,,,19,2,,,2,,,,,,,3,,,228,41697,,1,,,,,,,,,,1,,,,,2,,,,,,2,36,,,,,,25,,,,,1,2,,,,,2,,,,2,5,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,4,,,,,1,,,,,1,,5,2,,,,,,1,,
,,,7247,,,1,,,,,11,1,,7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,3,1,41,,,,1,,1,,7,,,1,,,,397,,,,,,1,,,1,,,,,,,,,,,,,,,,6,3,,,,,,,,,,3,,,177,41697,,,,,,,,,,,,,,,,,1,,,,,,2,22,,,2,,,10,,,,,1,,,,,,1,1,,,3,,1,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,6,,,,,,,,,,,,,,,1,,,,1,,
,,,397,,,,3,,,,64,,,2,,,,,,,34,1,1,,,4,,,,1,,10,,,,,1,,6,,,,,,,,,,3,31,1,6,,,,1,,,,26,,,8,,,,19,2,,,,,,,,7,,,,3,3,3,,,,,,1,,,,25,34,1,,,,,,,,,9,,,282,41697,,1,,,,2,1,,,,,6,,,,,,,,,,,3,69,,4,20,2,,93,,,,2,1,,,,3,,2,2,,,16,6,,,,,4,,,,,,,,9,,24,1,,1,,3,,,1,,,,,3,,,2,,,,11,,,,,,1,5,,2,,,,,,,1
,,,2046,,,3,,1,30,,19,,,6,,,1,,,,51,,3,,,21,,,,2,,5,,3,,,,,,,,,,,,,,,,54,5,55,,,,,,,,4,,,,,,,93,1,,,,,1,,,1,,2,,,,,,,,,1,1,,1,,35,10,2,,,,,,,,,2,,,308,41697,,2,,,,,4,,,,,13,,,,,,,,,,,1,12,,,5,1,,67,,,,,1,,,,,,1,,,1,12,1,,,,,1,,,,,,1,,17,,,1,,1,,,,,1,,4,,,16,,9,,,3,,1,1,,,,,,1,,,,,,,,,1
,,,2948,,,8,1,,19,,29,,3,,,1,,1,,,8,,,,,3,1,,,,,7,,2,,,,,1,,,,,,,,,,,13,4,5,,,,,2,1,,11,1,,11,1,,,44,,,,,,,,,,,12,,2,,,,,,,,,,,1,8,4,,,,2,1,1,,,,2,,,262,41697,,1,,1,,,9,,,,1,63,,,,,2,,3,,5,,7,74,,1,1,1,,38,7,,,,1,,,,,,2,1,,,69,19,9,,,,1,,,,,,,1,15,,11,,,1,,,,,,,,1,,,1,,,,,,,,1,,,,,1,,,,,,,,,3
,,,3409,,,1,,1,85,,51,,,,,,2,,,,10,,,,,4,,1,,,,23,,,,,,,3,,,,1,,,,,,,24,1,13,1,,,2,,,,12,,,11,,,,103,,,,,,,,,1,,11,,3,,3,,,,,,,,,,49,11,3,,,2,,,,,,6,,,544,62545,1,3,,,,,5,,,,,24,,1,,,,,,,3,,5,35,,3,8,,,44,,,3,,,,,,3,,4,1,,,16,11,2,,,,1,,,,,2,,,37,4,,2,,1,,,,,2,1,2,1,,,,1,4,,2,,2,6,,,,,1,1,,,,,,,,,4
,,,3864,,,5,,,66,,50,,,3,,,,,,,20,,1,1,,9,,1,,2,,13,,,,,,,,,,,,,,,,,2,58,,9,,,,1,,5,1,16,,,7,,,,116,,,,,,1,,,3,,5,,2,,,,,,,,,,1,,42,13,,,,2,,,,,,5,,,369,62545,,,,,,,5,,,,1,6,,,,,1,,,,2,,2,14,,,5,,,26,,,,1,3,2,,,,,2,,,,3,14,10,,,,,,,,,,,,28,,,,,1,,,1,,,1,2,,3,,,7,,,,,1,,,,,,,,,,,,,,,,1
,,,4487,,,2,,2,82,,73,,,4,,,2,1,,,14,,1,,,2,,,,1,,6,,,1,,,,1,,,,,,,,,,1,11,1,7,,,,3,,1,,8,,,40,,,1,105,,,,,,1,,,,,8,,2,,,,,,,,1,,1,,31,8,2,,,2,,,,,,3,,,425,62545,,,,,,,26,,,,,14,,,,,1,,,,4,,8,88,,,6,2,,26,,,,1,,1,,,2,,1,2,,,8,15,2,,,,,,,,,,,,8,,,,,1,,,,,1,,4,,,1,,2,,,,,2,,,,,,,1,,,,,,,,,2
,,,5610,1,,,,,13,,52,,,2,,,1,,,,11,,,,,6,,1,,,,9,,,,,,,1,,,,,,,,,,2,8,1,8,1,,1,4,,,,12,,,29,,,1,155,,,,,,,,,5,,3,,5,,,,,,,,1,,,,57,20,,,,1,,,,,,7,,,461,62545,,,,,1,,,,,,,5,,,,,,,,,1,,6,55,,,5,1,,69,,,,,,1,,,1,,7,,,,16,57,9,,,,,,,,,5,5,,6,,,8,,1,,,,,,,1,,1,,,1,1,,1,,,1,,,,,,1,,,,,,,,,1
,,,6598,,,,,1,2,,56,,,,,1,,2,,,8,,1,,,4,,,,,,5,,,,,,,,,,,,,,,,,,9,,7,,,,2,,2,,8,,,46,,,,104,,,,,,,,,,,,,1,,,,,,,,,,,,23,20,,,,,1,,,,,7,,,563,62545,,,,,,,,,,,,26,,,,,2,,,,5,,5,92,,,,,,17,,,,,,2,,,7,,,,,1,30,70,7,,,,2,,,,,2,1,,6,1,,,,1,,,,,,,1,,,,,2,4,,1,,1,,,,,,1,,,,,,,,,,6
,,,7133,,,,,,,,20,1,2,26,2,,1,,1,,,,1,,,2,,,,2,,,,,,,,,,,,,3,,,,,,,12,2,26,,,,1,1,4,,13,,,5,,,,340,3,1,1,,,,,,1,,,,1,,,2,,,,,,1,,,21,1,,,,,,,,,,,,,163,41697,,,,,,,,,,,,,,,,,,,,,1,,4,35,,,1,,,34,,,,,1,1,,,,,,1,,,6,5,,,,,2,,,,,,,,6,,,,,1,,,,,,,,,,1,,4,,,,,1,1,,,,1,,2,,,,,,,,,
