,Cal_yrs_BP,min,max,Acaena magellanica,Acaena tenera,Alnus,Alopecurus magellanicus,Amaranthaceae,Apiaceae,Artemisia,Asteroideae,Austroblechnum penna-marina,Berberis-type,Botryococcus sp.,Brassicaceae,Callitriche antarctica,Caryophyllaceae,Colobanthus,Cystopteris fragilis,Deschampsia antarctica,Ephedra,Ericaceae,Eucalyptus spike,Eucalyptus spike,Festuca-type,Fungi,Fungi incertae sedis,Galium antarcticum,Grammitis poeppigiana,Hymenophyllum falklandicum,Indeterminable,Indeterminable undiff.,Juncus scheuchzerioides,Lycopodium magellanicum,Lycopodium spike,Lycopodium tablets,Lycopodium tablets,Montia fontana,Nothofagus dombeyi-type,Ophioglossum crotalophoroides,Pediastrum spp.,Phleum alpinum,Plantago,Podocarpus,Polypodium,Polystichum mohrioides,Potentilla,Ranunculus biternatus,Rostkovia magellanica,Saxifraga,Spirogyra sp.,Tilia,Unknown (monolete,Unknown (monolete,Unknown (trilete),Unknown (type 128,Unknown (type 6,Unknown (type 6a),Unknown (type 7,Unknown (type A),Unknown (type B),Unknown (type C),Unknown (type D,Unknown (type E),Unknown (type X),Valeriana-type,Zygnemataceae,cf. Carex meridensis,cf. Helianthemum
26,4591,,,53,34,,19,,,,1,,,1,,4,,1,,9,2,,,,89,1,3,9,,,24,,3,2,1503,18584,4,1,,,1105,,,,6,,,,,,,,,1,,4,12,,11,,,,,,5,,,,
27,9438,,,177,44,,14,,,,,2,,,,11,,4,,13,,,,,154,4,,,,1,35,,11,4,499,18584,1,1,,,1,6,,,,,,5,,,,,2,4,,,2,,,,,,20,,11,,,,
28,9,,,32,40,1,35,,,1,2,1,,,1,8,,3,,53,,2,182.1,4603,219,2,1,,,,50,5,1,,,,,,2,,542,12,,,9,,,,,,3,1,,,2,,,,,1,,,8,,8,3,,,
29,1683,,,76,37,,38,,,,1,,,,,15,1,2,,39,,,,,100,2,,6,,2,31,1,3,7,1837,18584,4,,1,,1409,13,,,8,,,,,,1,,5,1,,,9,,12,,,,,,12,,,,
30,2649,,,124,71,,38,,,,1,,,,,20,,2,1,36,,,182.1,602,344,5,,1,24,,135,,,,,,,,,,436,5,,,5,,,1,,,1,,,,8,,1,,,,,,12,2,7,1,,,
31,3928,,,123,42,,98,2,,1,,,,,,6,,,,35,2,,182.1,1457,198,2,1,3,,1,54,2,,,,,,,3,,2478,13,,,5,,,,,,1,,1,13,1,1,1,,1,3,1,,3,,8,,,,
32,6097,,,61,56,,101,,,,,,,1,,36,,2,,49,,,,,411,,3,9,,1,66,1,2,1,1372,18584,4,2,2,,72,22,,,8,,,1,,,,,,8,,10,5,,5,,,,20,2,15,,,1,
33,1302,,,28,29,,26,,,,,1,,,,3,,5,,3,,,,,63,,8,,,,13,,1,4,1108,18584,4,,,,1733,2,,,4,,,,,,,,,3,,1,3,,3,,,,7,,9,,,,
34,2392,,,135,148,,100,,,,1,4,,,,24,,,,36,,,182.1,1620,179,2,,16,,4,79,1,4,5,,,,2,1,,1999,33,,,23,1,,1,,,28,,,2,1,6,1,,,1,,,11,,36,,,1,1
35,3426,,,43,21,,26,,,,1,,,2,,6,,1,,4,,,,,65,,3,1,,1,19,,,3,1117,18584,4,,,,1128,7,,,3,,,,,,,,,3,,48,9,,1,,,,1,,2,,,,
36,6752,,,39,25,,88,,,,,,,,,28,,3,,20,1,,,,226,2,3,2,,2,43,,6,3,590,18584,2,,,,14,3,,,8,,,1,,,,,,,,,,,,,,,7,,,,,,
37,518,,,89,52,,63,,,,,,,,,8,,1,,25,,,182.1,1908,210,1,1,3,,,78,1,3,2,,,,,1,,1718,17,2,1,5,,,1,,,,,,,1,,3,1,,,,,6,,2,1,,,
38,2239,,,94,66,,89,,,,2,1,,,,41,,3,,33,,1,182.1,1695,169,4,4,17,,5,61,,8,2,,,,,7,,475,43,,,9,,,2,,,10,,3,,1,,1,,,,,,,,47,,1,2,
39,2860,,,22,4,,20,,,,,,,1,,1,,,,13,,,,,52,,,,,,2,,4,1,463,18584,4,,,,192,5,,,2,,,,1,,,,6,,,71,4,,2,,,,6,,,,,,
40,5400,,,71,38,,39,,,,2,1,,,,22,,1,,43,,,,,202,2,,4,2,2,90,,1,5,2270,18584,4,,,,781,14,,,8,,,,,,,,,,1,,,,,,,,5,2,,,,,
41,9757,,,48,25,,50,2,,,1,6,,,,4,,1,,41,,1,,,122,,,322,,,125,,3,29,342,18584,4,,2,,15,99,,,33,,,1,,,,,1,,2,,,,,,,,19,,78,,,55,
42,997,,,33,12,,27,,,,,,,,,1,,,,5,1,,,,35,,2,1,,1,13,1,5,8,699,18584,4,,1,,5321,7,,,5,,,,1,,,,10,2,1,,,,,,,,,,1,,,,
43,2572,,,144,156,,158,,,,1,5,,,,27,,3,,69,,,182.1,1782,304,1,1,12,6,3,80,,3,2,,,,2,5,,2793,67,,1,29,3,,,1,,2,,,,,,1,,,,,,2,1,23,,,,
44,3655,,,69,80,,31,,1,2,,,,,,11,,2,,36,,,182.1,889,160,,1,3,,,57,1,,1,,,,,2,,1918,10,,,5,,,,1,,2,,1,13,,28,6,,3,,1,,1,,4,2,,1,
45,6359,,,115,45,,72,,,,1,,,,,44,4,7,,78,,,182.1,847,494,2,,10,3,,96,1,1,,,,,,5,,91,11,,,8,,,1,,,,,1,8,,5,1,,1,,2,1,18,,9,,,,
