"","Phylica.arboreae","Empetrum.robrum","Cyperaceae","Graminae","Umbelliferae","Acena","Nertera","Callitriche","Ranunculaceae","Asteraceae","Chenopodiaceae","Rumex.frutecsens","Indet..Pollen.typ.Y.","Indet.Tricolpate","Plantago.maritima.Type","Nothofagus","Polypodiaceae","Hymenophyllum","Hypolepis.rugulosa","Lycopodium.insulare","Vittaria.vittaroides","Histiopteris","Cal_yrs_BP","min","max"
"68",0.0308219178082192,0,0.461472602739726,0.0582191780821918,0.0736301369863014,0.00342465753424658,0,0.227739726027397,0,0,0,0,0,0,0,0,0.141267123287671,0,0,0.00342465753424658,0,0,7407,NA,NA
"69",0.00394866732477789,0,0.979269496544916,0.00197433366238894,0.00197433366238894,0,0,0,0,0,0,0,0,0,0,0,0.0128331688055281,0,0,0,0,0,7443,NA,NA
"70",0.00749063670411985,0,0.641385767790262,0.0224719101123595,0.123595505617978,0.000936329588014981,0.00187265917602996,0.123595505617978,0,0.0140449438202247,0,0,0,0,0.000936329588014981,0,0.0636704119850187,0,0,0,0,0,7502,NA,NA
"71",0.0338835794960904,0,0.54735013032146,0.0234578627280626,0.0382276281494353,0,0,0.224152910512598,0,0.00173761946133797,0.00173761946133797,0,0,0,0,0,0.129452649869679,0,0,0,0,0,7586,NA,NA
"72",0.00578034682080925,0,0.497109826589595,0.0115606936416185,0.286127167630058,0.00481695568400771,0,0.15606936416185,0,0,0,0,0,0,0,0,0.0385356454720617,0,0,0,0,0,7604,NA,NA
"73",0.00906618313689937,0.000906618313689937,0.379873073436083,0.0380779691749773,0.213961922030825,0.00362647325475975,0.00181323662737987,0.202175883952856,0,0.0534904805077063,0,0,0,0,0,0,0.0961015412511333,0,0,0.000906618313689937,0,0,7707,NA,NA
"74",0.011472275334608,0,0.549713193116635,0.0315487571701721,0.0487571701720841,0.000956022944550669,0.000956022944550669,0.21414913957935,0,0.0984703632887189,0,0.000956022944550669,0,0,0,0,0.0420650095602295,0,0,0.000956022944550669,0,0,7762,NA,NA
"75",0.0340909090909091,0,0.456980519480519,0.0527597402597403,0.0202922077922078,0.00405844155844156,0.00324675324675325,0.217532467532468,0,0.0227272727272727,0,0,0,0,0,0,0.186688311688312,0,0,0.000811688311688312,0.000811688311688312,0,7808,NA,NA
"76",0.0151515151515152,0,0.787878787878788,0.0227272727272727,0.0151515151515152,0.000946969696969697,0,0.0956439393939394,0,0.00852272727272727,0.000946969696969697,0,0,0,0,0,0.0520833333333333,0,0.000946969696969697,0,0,0,7839,NA,NA
"77",0.0337784760408484,0,0.424980361351139,0.0526315789473684,0.0675569520816968,0.00392772977219167,0,0.191673212882954,0,0.00706991358994501,0.00314218381775334,0.000785545954438335,0,0,0,0,0.212882953652789,0,0.00157109190887667,0,0,0,7872,NA,NA
"78",0.124271844660194,0,0.216828478964401,0.193527508090615,0.00517799352750809,0.0155339805825243,0.00129449838187702,0.0822006472491909,0,0.00129449838187702,0.00388349514563107,0.00323624595469256,0,0,0,0,0.350809061488673,0,0.000647249190938511,0.000647249190938511,0.000647249190938511,0,7936.5,NA,NA
"79",0.000997008973080758,0,0.992023928215354,0.00299102691924227,0.000997008973080758,0,0,0,0,0,0,0,0,0,0,0,0.00299102691924227,0,0,0,0,0,7972.5,NA,NA
"80",0.126599326599327,0,0.311111111111111,0.112457912457912,0.0208754208754209,0.0336700336700337,0.00134680134680135,0.0525252525252525,0,0.00808080808080808,0.00202020202020202,0.00202020202020202,0,0.00134680134680135,0,0,0.325925925925926,0.000673400673400673,0,0,0.00134680134680135,0,7997,NA,NA
"81",0.0688259109311741,0,0.511740890688259,0.0995951417004049,0.0412955465587045,0.00890688259109312,0,0.0607287449392713,0,0.0097165991902834,0.00404858299595142,0.00242914979757085,0,0,0,0,0.191902834008097,0,0,0,0.000809716599190283,0,8051,NA,NA
"82",0.0479338842975207,0,0.61404958677686,0.0528925619834711,0.0256198347107438,0.00247933884297521,0,0.0710743801652892,0,0.00826446280991736,0.000826446280991736,0.00165289256198347,0,0,0,0,0.173553719008264,0,0,0,0.00165289256198347,0,8069,NA,NA
"83",0.111262798634812,0,0.333105802047782,0.144709897610921,0.0116040955631399,0.0313993174061433,0.00136518771331058,0.0334470989761092,0,0.00341296928327645,0.00819112627986348,0.00136518771331058,0,0.00136518771331058,0,0,0.316723549488055,0.00068259385665529,0,0.00068259385665529,0.00068259385665529,0,8082,NA,NA
"84",0.155785391079509,0,0.160956690368455,0.19327731092437,0.0187459599224305,0.0607627666451196,0.00129282482223659,0.0213316095669037,0,0.0129282482223659,0.0103425985778927,0.0103425985778927,0,0,0,0,0.351001939237233,0,0,0.00129282482223659,0.00193923723335488,0,8101,NA,NA
"85",0.0624551328068916,0.00287150035893755,0.206748025843503,0.120603015075377,0.00861450107681263,0.0193826274228284,0.00287150035893755,0.282124910265614,0,0.00430725053840632,0.0050251256281407,0,0,0,0,0,0.282124910265614,0,0,0.000717875089734386,0.00215362526920316,0,8147,NA,NA
"86",0.00493583415597236,0.000987166831194472,0.870681145113524,0.00888450148075025,0.0750246791707799,0.000987166831194472,0,0.016781836130306,0,0.00888450148075025,0,0,0,0,0,0,0.0128331688055281,0,0,0,0,0,8208,NA,NA
"87",0.0029940119760479,0,0.981037924151697,0.00898203592814371,0,0.00199600798403194,0,0.00199600798403194,0,0.000998003992015968,0,0,0,0,0,0,0.00199600798403194,0,0,0,0,0,8264,NA,NA
"88",0.0121722846441948,0,0.794943820224719,0.0159176029962547,0.0121722846441948,0.00374531835205992,0,0.0936329588014981,0,0.00468164794007491,0,0,0,0,0,0,0.0617977528089888,0,0,0.000936329588014981,0,0,8390,NA,NA
"89",0.021133525456292,0,0.789625360230548,0.0144092219020173,0.0115273775216138,0.000960614793467819,0,0.121998078770413,0,0,0,0,0,0,0,0,0.0384245917387128,0,0,0,0.000960614793467819,0.000960614793467819,8407.5,NA,NA
"90",0.00696517412935323,0,0.921393034825871,0.00398009950248756,0,0.000995024875621891,0,0.0616915422885572,0,0,0,0,0,0,0,0,0.00497512437810945,0,0,0,0,0,8511,NA,NA
"91",0.00892857142857143,0,0.849206349206349,0.00297619047619048,0.000992063492063492,0.000992063492063492,0,0.12797619047619,0,0,0,0,0,0,0,0,0.00892857142857143,0,0,0,0,0,8827,NA,NA
