 ,Cal_yrs_BP,max,min,Olea capensis,Afrocarpus mannii,Celtis,Symphonia globulifera,Lannea,Prunus africana,Polyscias,Pseudospondias-type,Scytopetalum klaineanum,Hernandiaceae,Ilex,Bombacaceae-type,Staudtia-type,Trichilia,Capapa,Pycnanthus angolensis,Myrtaceae,Discoclaoxylon occidentale,Uapaca,Homalium henriquesii,Blighia,Sapindaceae,Sterculia,Funtumia,Hypericaceae,Trema orientalis,Pauridiantha floribunda,Psydrax subcordatum,Allophylus,Cola,Sapotaceae,Psychotria sp.,Craterispermum cerinanthum,Rauvolfia,Tabernaemontana,Nuxia-type,Oxyanthus speciosus,Pavetta monticola,Macaranga monandra,Campylospermum,Thecacoris,Gaertnera-type,Thymeliaceae,Rutaceae,Cestrum laevigatum,Primulaceae,Erythococca,Baphia nitida,Alchornea cordifolia,Psychotria cf. nubicola,Psychotria cf. peduncularis,Heteradelphia paulowilhelmia,Rubus,Malvaceae,Pentas-type,Ficus,Hymenodyction,Sabicea,Clematis,Clerodendrum,Cissus,Salacia,Schefflera,Vigna-type,Anthocleista,Convolvulus,Piperaceae,Asteraceae tub.,Melastomataceae,Lamiaceae,Amaranthaceae,Apiaceae,Impatiens,Begoniaceae,Brassicaceae,Caryophillaceae,Commelinaceae,Commelina-2,Lobelia,Orobanchaceae,Poaceae,Plantago-type,Crassulaceae,Utricularia,Cyperaceae,Persicaria,Elaeis guineensis,Zea mays,Apocynaceae,Euphorbiaceae,Rhamnaceae,Verbenaceae,Acanthaceae-2 cf. avicenia,Acanthaceae-3,Boraginaceae,Euphorbia,Phyllanthaceae,Solanum-type,Solanaceae-type,Solanaceae/Vitaceae,Rosaceae-type,Unid. Monocolp scabrate,Unid. Cf. Alismataceae,Unid. Tricolporate microechinate,Unid. inaperturate pilate,Monocolpate psilate,Martretia-type,Mallotus- ype,Fabaceae cf. Erythrophleum,Moraceae/Urticaceae,Unid. Tricolporate psilate,Unid. Reticulate,Indeterminable
,11837,,,54,11,12,8,3,2,,,1,,1,,,1,,,,2,,9,,,,,,9,2,2,,,,10,25,,,,,1,1,,,,,1,,,2,,,8,17,,,,,2,,20,23,,,,,,,,8,22,1,5,2,,,2,1,,3,,,,5,1,,,11,,,,,1,,,,,,,5,,,,,,,,,,,,,12,1,16,22
,12072,,,25,14,17,59,2,,2,,,,2,1,,1,,,,,,1,,,,1,1,3,7,,,,,14,34,,,,,2,1,,,,,2,,,,,,12,1,,,1,,1,,35,4,,,,,16,1,,4,16,1,1,1,,,1,2,,12,,,1,4,2,,,5,,,,,1,,,,,,,5,,,,,,,,,,,,,11,6,17,13
,12301,,,21,13,11,15,5,2,4,,,,,,,,,,,6,,11,,,,,,3,6,5,1,1,,33,21,,,,,2,2,1,,3,1,1,,,,,,9,16,1,,,,4,1,11,9,,,,,3,,,4,22,1,6,1,,1,,,,4,,1,,9,,,,11,,,,,4,,,,,,,8,1,1,,,1,,,,,2,,,6,8,9,18
,12527,,,4,5,11,14,3,1,4,,,,1,,,,,2,,1,3,4,,,,,1,2,3,8,,,,51,4,,,,,4,2,1,,,2,6,,,,1,,14,2,1,,,,,10,19,17,,,,1,2,,,,9,6,2,2,,1,2,,,7,,2,,9,,,,11,2,,,5,2,,,,,,1,5,,1,,,,,,,,,,,3,7,14,14
,12785,,,32,10,17,45,,3,1,,2,,,,,1,,,1,,12,4,,2,,,,6,7,,,,2,7,34,,,,,,3,1,,,1,2,,,,,,10,1,,,,,,,40,7,,,,,2,1,,1,8,3,5,6,,,1,,,4,,,3,3,,,,4,,,,,4,,,,,,1,4,,,2,,,,,,1,,,,6,6,18,11
,13074,,,50,11,16,11,,3,2,1,,,,,,,,,,4,4,2,,2,,,,10,9,1,,,,8,36,,,3,,1,,,,,2,,,,,,,2,4,1,,,,8,,13,7,,,,,1,1,,11,23,3,12,2,,,1,,,5,,,,4,,,,3,,,,,3,,,,,,,1,,1,,,,,,,,,,,10,7,17,28
,13367,,,55,32,22,1,2,,,,,1,2,,,2,,1,,,10,4,,,,,3,4,11,,1,,,2,11,,,1,,1,,1,,1,,,,,1,,2,1,1,,,,,2,,12,4,,,,1,14,,,,11,1,3,1,1,,2,,,3,,,,5,1,,,7,,2,,,6,,,,,,,2,,,,5,,,,,1,,,,4,40,8,18
,13495,,,5,24,6,1,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,1,16,,,,,,,,,,,,,,1,,,29,14,,,1,,1,,4,1,,,,,,,,1,34,,2,1,,,,,,2,,,,9,,,,2,,,,,2,,,,,,,2,,,,,,,,,,,,,1,1,6,15
,13604,,,46,15,26,,,1,2,,,2,,,,,,,,6,,1,,1,,1,,15,10,9,,,,12,15,,,,1,6,1,,,,,,,,3,,1,14,4,,,,,3,1,2,17,,,,,1,,,3,15,,4,1,1,,2,,,7,,7,,12,,,,7,1,,,,9,2,,,,1,,7,3,,,,2,,,,,,,,6,23,14,10
,13713,,,43,54,35,,3,,,,,,2,,,1,,,1,3,13,9,,,,,5,8,6,2,1,,,4,5,,,1,,1,2,2,,,1,1,,,1,,4,6,1,,,1,,4,1,2,3,,,,,6,,,,11,,2,,1,,2,,,2,,1,,22,,,,11,,2,,,3,1,,,,,,8,1,,,6,,,,,3,,,,11,17,8,16
,13824,,,30,33,25,2,,,,,,,,,,,,,,,,2,,2,,,1,1,5,1,,,,4,25,,,2,,,5,,,,,,,,,,1,10,9,1,,,,1,,5,4,,,,,1,,,12,37,1,,1,,,2,,,2,,,,4,,,1,9,,,,,1,,,,,,,2,2,,,,3,,,,,,,,16,23,13,30
