"","Achillea-type","Alnus","Amaranthaceae","Angelica sylvestris","Apiaceae undiff.","Armeria maritima (type A)","Armeria maritima (type B)","Betula nana","Betula pubescens","Brassicaceae","Calluna","Caltha palustris","Caryophyllaceae undiff.","Cichorium intybus-type","Cirsium","Cyperaceae","Empetrum","Fagus","Filipendula","Geranium","Juniperus","Ligusticum scoticum","Mentha-type","Menyanthes","Micranthes stellaris-type","Myriophyllum alterniflorum","Myriophyllum spicatum","Nymphaea","Oxyria digyna","Pinus","Plantago maritima","Poaceae","Potamogeton","Potentilla","Primula","Ranunculus acris","Ranunculus flammula","Ranunculus undiff.","Rhinanthus-type","Rosaceae undiff.","Rubiaceae","Rumex acetosa","Salix","Saxifraga granulata","Silene flos-cuculi","Silene vulgaris-type","Sorbus aucuparia","Thalictrum","Vaccinium","Viola","Cal_yrs_BP","min","max"
"S476499","","","","1","","","","52","37","","1","1","","1","","137","17","","","","1","","","","1","6","","","","1","","21","","","","","","","","","","","11","","","","","14","3","1","382","--","--"
"S476512","","","","2","","","","23","106","","2","1","","","","98","8","","","1","6","","","1","","138","2","","","1","","30","1","","","","","","","","","1","10","","","","","11","","","1166","--","--"
"S476500","","","","1","","","","27","36","","","1","1","","","140","16","","","","","","","","","13","","","1","","","44","","","","3","","","1","","","4","4","","","1","","17","2","1","415","--","--"
"S476514","","","","1","","","","22","129","","1","","","1","","81","5","","","","9","","","","1","30","","","","1","","26","4","","","","","","","","","","6","","","","","16","1","","1447","--","--"
"S476501","","","","","","","","39","38","","","","","2","","143","25","","1","","","","","","2","2","","","","","","12","","","","2","","","","","1","2","7","","","","","15","1","","283","--","--"
"S476516","","","1","","","","","21","135","2","","","","1","","89","5","","","","4","","","","1","107","","","","","","25","7","","1","1","","1","","","","","3","","","","1","6","2","1","1821","--","--"
"S476502","","","","1","","","","31","43","","","3","","1","","138","19","","","","1","","","","1","4","","","","","1","23","","1","","2","","","1","","4","","12","","","","","17","1","","349","--","--"
"S476517","","1","","1","","","","30","125","","1","","","","","69","5","","","","6","","","","","23","","","1","","","35","1","1","","","","1","","","1","2","10","","","","","9","2","","2194","--","--"
"S476504","","","","","","","","31","58","","5","2","","","","143","13","","","","1","","","","","17","","","","","","16","1","","","3","","","","","","1","5","","","","","20","2","","491","--","--"
"S476513","","","","2","","","","24","108","","2","","","","","93","4","","","","9","","","1","1","21","","","","0.5","","34","1","1","","1","","","","","1","2","7","","","","","10","1","","1353","--","--"
