"","Alnus","Amaranthaceae","Apiaceae","Artemisia","Asteroideae","Asystasia","Betula","Brassicaceae","Campanulaceae","Cannabaceae.Ostrya.type","Caryophyllaceae","Cichorioideae","Commelina.benghalensis","Convolvulaceae..type.1.","Convolvulaceae..type.2.","Cyperaceae","Dicliptera","Dipsaceae.type","Dodonaea.viscosa","Dracaena","Euphorbia.tuckeyana","Fabaceae","Faidherbia","Ficus..type.1.","Ficus..type.2.","Frankenia.type","Hedera","Hibiscus","Ilex","Indeterminable","Juniperus","Lamiaceae","Lavandula..type.1.","Lavandula..type.2.","Lotus","Morella.Corylus.type","Myrtaceae.type","Phaseolus.type","Pinus","Plantago","Poaceae","Poaceae..Cerealia.","Polygalaceae","Portulacaceae..type.1.","Portulacaceae..type.2.","Primulaceae","Quercus","Ranunculaceae","Rubiaceae","Scrophulariaceae.type","Urticaceae","Zea.mays","Cal_yrs_BP","min","max"
"24",0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,5,22,0,0,0,0,0,0,0,0,0,39,0,4317,NA,NA
"25",0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,1,0,0,0,6,20,0,0,0,0,0,0,0,0,0,33,0,4583,NA,NA
"26",1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,2,1,12,0,0,0,0,0,0,0,0,0,37,0,5160,NA,NA
"27",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,1,0,0,0,0,29,0,5990,NA,NA
"28",1,2,0,0,8,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,3,2,11,0,0,0,0,0,0,0,0,0,38,0,6717,NA,NA
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7371,NA,NA
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7666,NA,NA
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7872,NA,NA
"32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8048,NA,NA
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8149,NA,NA
"34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8234,NA,NA
"35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8324,NA,NA
"36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8445,NA,NA
"37",0,4,0,0,5,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,3,16,0,0,0,0,2,0,1,0,0,15,0,8574,NA,NA
"38",0,6,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,8,16,0,0,0,0,0,1,0,0,0,19,0,8705,NA,NA
"39",1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,21,0,0,0,0,0,0,0,0,0,40,0,8832,NA,NA
"40",0,1,0,0,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,21,0,0,0,0,0,0,0,0,0,22,0,8962,NA,NA
"41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9100,NA,NA
"42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9245,NA,NA
"43",1,7,0,0,14,0,0,2,0,1,0,0,0,0,0,6,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,18,36,0,0,0,0,0,0,0,0,0,46,0,9389,NA,NA
"44",0,31,1,0,18,0,0,1,0,0,0,2,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,2,0,0,1,3,56,0,0,0,0,0,0,0,0,0,8,0,9536,NA,NA
"45",0,5,0,0,17,0,1,4,1,1,0,1,0,0,0,11,0,1,1,0,0,0,0,1,0,1,0,0,0,7,0,1,0,0,0,2,0,0,5,2,20,0,0,0,0,0,0,1,0,0,19,0,9692,NA,NA
