"","Abies","Acer","Alnus","Amaranthaceae","Apiaceae","Artemisia","Asphodelus","Asteroideae","Betula","Brassicaceae","Buxus","Cannabaceae","Carpinus","Caryophyllaceae","Cichorioideae","Cistus","Convolvulus","Corylus","Cyperaceae","Ephedra","Epilobium","Ericaceae","Euphorbia","Fabaceae","Fagus","Fraxinus","Geraniaceae","Hedera","Helianthemum","Juglans","Juniperus","Lamiaceae","Ligustrum","Lygeum-type","Malva","Monocotyledoneae","Myriophyllum","Nymphaea","Olea","Persicaria amphibia","Phillyrea","Pinus","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum","Poterium sanguisorba","Quercus ilex-type","Quercus robur-type","Ranunculaceae","Rhamnus","Rosaceae","Rubiaceae","Rumex","Salix","Scabiosa","Sparganium-type","Thalictrum","Thymelaea","Tilia","Typha latifolia-type","Ulmus","Vitis","Cal_yrs_BP","min","max"
"S411948","","","10","5","2","11","","3","3","","63","","","","","","","14","","13","","8","","","1","","","","","","47","","","","","","","","10","","","42","","","7","","","","13","26","","","","","","","","7","","","","1","","","6050","6193","5923"
"S411949","2","","19","5","4","9","2","6","4","","63","","","2","","1","","35","3","15","","9","","","6","1","","","","","60","4","","","","","","","10","","3","47","2","4","13","2","","","24","43","","","","","1","","","7","","","1","3","1","1","6088","6229","5962"
"S411950","1","","10","7","6","5","2","18","6","","129","1","","","","2","","33","1","13","","13","","","5","","","1","","","68","5","","","","","","","5","","4","40","","3","16","1","1","","34","44","","","","","1","","","6","","","1","1","1","","6125","6264","6001"
"S411951","2","","13","13","10","13","1","14","6","1","146","","","","","","","29","4","16","","8","","","","","","","","","196","6","","","","1","","","10","","1","57","","","14","","1","","30","51","","","","","","","","14","","","1","1","2","","6163","6300","6040"
"S411952","1","","11","7","14","2","1","19","4","1","6","","","","2","","","6","1","4","","6","","1","2","","","","","","5","1","1","","","","","","394","","2","17","","56","11","23","1","","31","19","","","","","","","","10","","","1","1","2","6","6200","6335","6079"
"S411953","","","21","17","12","3","1","25","1","2","42","","","","1","","","15","4","3","","7","","1","4","","","2","","","37","2","","","","","","","32","","2","42","1","5","48","1","2","","25","40","","","","","","","","25","","","","1","2","1","6238","6371","6118"
"S411954","","","7","2","25","2","","17","1","","","1","","","1","","","4","1","1","","2","","2","","","","","","","3","","","","","","","","160","","1","2","","30","11","3","2","","12","6","","","","","2","","","5","","","1","1","","3","6275","6406","6157"
"S411955","","","17","3","9","14","","19","6","1","114","3","","1","","","","27","1","8","","10","","1","1","","","","","","26","3","1","","","","","","5","","1","54","2","2","27","","","","42","41","","","","","1","","","24","","","1","3","","","6313","6442","6196"
"S411956","","","13","4","6","6","5","40","5","","45","","","1","1","3","","22","2","14","","14","","2","","","","","","","27","4","","","","","","","2","","","56","1","1","7","","","","18","15","1","","","","2","","","3","","","","2","","","6350","6479","6236"
"S411957","1","","12","4","9","6","","16","6","","156","","","1","","","","23","","6","","8","","1","","","","","2","","63","7","","","","","","","10","","","45","","2","9","","","","30","44","","","","","3","","","9","","","","3","3","","6388","6515","6275"
"S411958","","","19","2","10","8","1","13","3","","179","","","2","11","","","39","","16","","14","","","2","","","","","","45","3","","","","","1","","10","","","16","","4","8","11","","","20","23","","2","","","3","","","15","","","1","1","2","","6425","6550","6313"
"S411959","","","11","5","5","9","","4","11","","105","","","","","","","34","","9","","6","","2","3","","","","","","24","2","","","","","","","4","","","19","","2","9","3","","","38","37","","","","","1","","","19","","2","","7","2","","6463","6586","6352"
"S411960","1","","16","5","7","","","8","","1","101","","","","","","","33","1","10","","6","","2","","","","","","","74","3","","","","1","","","2","","1","30","3","3","18","1","","","21","6","","","","","","1","","6","","2","1","3","1","1","6500","6622","6391"
"S411961","","","10","6","8","2","","6","4","","94","","","","","1","","23","3","9","2","2","","","1","","","","","","53","6","","","","","","","5","","","25","","2","7","2","","","29","15","","","","","","","","16","","","","","1","2","6538","6657","6429"
"S411962","","","4","4","20","7","1","15","5","","241","","","","","","","7","1","12","1","3","","2","","","1","","","","43","9","","","","","","","13","","","15","","","5","","","","14","3","","","","","","","","13","","2","","1","","","6575","6693","6468"
"S411963","","","10","1","11","7","1","19","1","","119","","","","","","","19","1","11","","22","","1","3","","","","","","48","5","","","","","","","9","","","31","","1","5","","","","30","17","","","","","1","","","9","","1","1","1","","","6613","6729","6507"
"S411964","","1","11","1","7","6","1","4","5","","135","","","","","","","33","","12","","8","","4","","","","","","","61","8","1","","","","","","4","","1","30","","3","4","1","","","31","37","","1","","1","","","","13","","","1","1","","","6650","6765","6545"
"S411965","","","5","1","7","1","","3","","","186","","","","","","","9","","6","","1","","1","","","","","","","30","3","","","","","","","2","","","9","","","8","","","","11","6","","","","","","","","52","","1","1","2","","1","6688","6801","6584"
"S411966","","","2","28","7","2","","5","1","","175","","","","","2","","14","3","2","","2","","","","","","","","","20","3","","","","","","","2","","","13","","","10","","","","9","6","","","","","","","","41","","","","2","","","6725","6837","6623"
"S411967","1","","6","2","20","7","","10","3","","197","","","","","","","23","2","7","","2","","2","","","","","","","5","3","","","","","","","1","","","18","1","1","12","","","","14","4","","","","","","","","74","","2","","","","","6800","6909","6700"
"S411968","","","3","2","11","3","","26","1","1","171","","","2","","","","27","2","5","","","","2","","","","","","","20","5","","","","1","","","","","","22","","1","6","2","","","22","4","","","1","","","","","40","","4","","","1","","6888","6993","6789"
"S411969","","","5","3","31","9","","20","3","","172","","","1","","","","47","2","3","","3","","1","","","","","","","22","2","","","","","","","","","","18","","","9","","1","","13","2","","","","","","1","","30","","2","2","","","","6975","7077","6879"
"S411970","","","2","2","13","3","","18","1","","319","","","1","","","","24","","7","","2","","4","","","","","","","14","","","","1","","","","","","","13","1","","5","1","","","10","8","1","","","","","","","21","","1","1","","1","","7063","7161","6968"
"S411971","","","1","4","13","2","","11","","","210","","","1","","","","20","","6","","1","","2","","","","","","","20","","","","","","","","","","","17","","","4","3","","","10","2","","","","","","","","13","","1","","","1","","7151","7246","7058"
"S411972","","","","2","30","5","","9","2","","146","","","","1","","","25","","8","","1","","3","","","","","","","15","","","","","1","","","1","","1","10","","","8","1","","","18","9","","","","","","","","45","","2","1","","","","7238","7331","7146"
"S411973","","","1","2","35","4","","21","1","","188","","","","","","","50","","11","","7","","4","","","","","1","","14","2","","","","","","","1","","","9","1","1","9","3","1","","16","18","1","","","","","","","42","","","1","1","5","","7326","7417","7235"
"S411974","","","2","1","18","1","1","24","2","","221","","","1","","","","41","","5","","6","","1","","","","","","","20","4","","","","","","","","","1","13","","2","11","1","","","12","13","2","","","","","","","34","","2","1","","1","","7413","7503","7323"
"S411975","","","6","2","34","2","","28","1","1","256","","","","","","","52","","11","","9","","7","","1","","","","","22","6","","","","","","","2","","2","21","","3","14","2","","","28","15","2","","","","","","","55","","2","","","3","","7501","7590","7411"
"S411976","","","1","1","17","1","","12","","","173","","","","","1","","28","","6","","6","","1","","","","","","","20","4","","","","","","","1","","","13","","1","4","1","","","14","8","","","","","","","","32","","","1","","1","","7551","7639","7461"
"S411977","","","8","4","35","12","","21","1","","294","","","","","","","43","3","9","","13","","","","","","","","","19","1","","","","","","","2","","1","23","1","1","17","3","2","","21","9","","1","","","","1","","43","","3","2","","2","","7626","7714","7537"
"S411978","","","2","1","24","2","","12","2","","270","","","","","","","51","1","6","","2","","","","","","","","","19","4","","","","","","","1","","","41","","8","13","1","","","26","20","","2","","","","","","39","","1","1","2","2","","7701","7789","7613"
"S411979","","","4","5","41","5","1","11","2","","250","","","","","","","77","","14","1","4","","4","","","","","","","15","6","","","","","","","1","","","16","","8","23","2","","","25","17","","","","","","","","27","","3","","1","2","","7776","7864","7689"
"S411980","","","3","1","21","3","","6","","","243","","","","","","","30","","3","","2","","","","","","","","","15","1","","1","","","","","","","1","9","","5","8","","1","","18","6","","","","","","","","18","","","3","","","","7851","7938","7764"
"S411981","","1","3","7","34","6","1","24","1","1","284","","","3","","1","","47","","12","","3","","4","","","","","","","20","2","","","","","","","1","","1","13","","3","15","","","","26","17","","","","1","","","","17","","1","3","","8","","7926","8014","7839"
"S411982","","","5","1","8","8","","17","","1","186","","","","","","","28","","4","","1","","2","","","","","","","18","","","2","","","","","2","","","9","","2","10","2","","","19","24","","1","","","","","","8","","1","1","","2","","8001","8089","7913"
"S411983","","","5","2","1","","","9","","","164","","","","","","","40","1","6","","","","1","","","","","","","18","1","","","","","","","","","","13","","","10","","1","","15","7","1","","","","","","","19","","","","1","","","8076","8166","7988"
"S411984","","","3","","9","2","1","15","","","402","","","","","","","42","1","10","1","1","","4","","","","","","","28","","","","","","","","","","1","26","","","15","3","","","17","14","","","","","","","","13","","3","1","","3","","8151","8243","8062"
"S411985","","","2","3","34","4","1","27","1","","228","","","","","","","44","","10","","3","","1","","","","","","","20","4","","","","1","","","2","","","21","","4","14","1","1","","35","20","","","","","1","","","15","","","","","5","","8226","8319","8134"
"S411986","","","2","2","16","2","","12","1","","171","","","","","1","","24","1","","","3","","1","","","1","","","","17","4","","1","","","","1","3","","2","15","1","1","7","1","","","9","9","1","","","","","","","13","","1","","","2","","8301","8397","8208"
"S411987","","1","1","5","28","3","","25","3","","220","","","","","","","33","4","7","","8","","","","","","","","","25","4","","","1","","","","","","","17","","1","12","","","","13","4","","","","","","","","21","","","1","","1","","8376","8474","8280"
"S411988","","","6","2","1","8","1","2","","","437","","","","","","","22","2","3","","6","","","","","","","","","17","1","","","","","","","2","","1","16","","2","10","2","","","23","10","","","","","1","","","14","","","","","","","8501","8603","8400"
"S411989","","","","","11","2","","16","","","236","","","","","","","17","","5","","2","","1","","","","","","","4","1","","","","","","","","","","21","","3","7","","","","4","1","","","","1","","","","8","","","2","","","","8510","8610","8413"
"S411990","","","1","3","7","","","21","","","91","","","","1","","","14","","3","","","","1","","","","","","","12","2","","","","","","","2","","1","21","1","3","","","","","5","5","","","","","","","","9","","","2","","","","8528","8624","8435"
"S411991","","","","2","11","2","","18","","","101","","","","3","","","18","","4","","5","","","","","","","","","17","","","","","","","","","","1","30","","4","1","1","","1","4","6","","","","","","","","14","","1","1","","1","","8546","8641","8455"
"S411992","","","","1","12","5","","26","","","142","","","","4","","","15","1","3","","6","","1","","","","","","","8","","","","","","1","","1","","","29","","1","1","","","","5","7","","","","","","","","25","","1","2","","2","","8564","8659","8471"
"S411993","","","2","2","5","1","","29","","","118","","","","","","","16","","2","","1","","","","","","","","","10","1","","","","","","","","","","24","","2","4","","","","7","14","","","","","","","","27","","5","","","","","8582","8680","8485"
"S411994","","","2","2","9","2","","31","2","","104","","","","2","","","15","1","5","","1","","","","","","","","","29","","","","","","","","","","","23","","4","","","","","4","10","","","","","","","","10","","1","3","","","","8600","8705","8500"
"S411995","","","1","1","10","3","","32","1","","106","","","","2","","","22","4","9","","3","","","","","","1","","","27","1","","","","","2","","","","1","38","","7","1","","","","10","10","","","","","","","","13","","1","","","1","","8618","8728","8511"
"S411996","","","1","1","15","3","","20","","","99","","","","2","","","19","1","7","","5","","","","","","","","","15","","","","","","1","","","","1","33","1","2","","","","","2","6","","","","","","","","19","","","1","","","","8636","8754","8523"
"S411997","","","","2","9","1","","21","","","89","","1","","3","","","14","2","9","","","","","","","","","","","27","1","","","","","1","","1","","","22","","4","4","1","","","7","11","","","","","","","","15","","","","","","","8653","8781","8534"
