,Cal_yrs_BP,max,min,Achillea,Alnus glutinosa-type,Amaranthaceae,Ammi-type,Anagallis,Angelica lignescens,Anthoceros laevis,Anthoceros punctatus,Apiaceae,Apium,Arceuthobium azoricum,Artemisia,Asteroideae,Bellis-type,Botrychium lunaria,Brassicaceae,Calluna vulgaris,Campanulaceae,Castanea sativa,Centaurium,Cercophora-type,Chaerophyllum azoricum,Charcoal,Cheilanthes-type,Chrysanthemum-type,Cryptomeria japonica,Culcita macrocarpa,Cyperaceae,Daphne laureola,Daucus carota subsp. azoricus,Desmidiales,Diphasiastrum madeirense,Dryopteris dilatata-type,Dryopteris filix-mas-type,Ericaceae,Euphorbia,Euphrasia,Frangula azorica,Galium-type,Gnaphalium-type,Hedera azorica,Huperzia dentata,Huperzia suberecta,Hydrangea macrophylla,Hydrocotyle vulgaris,Hymenophyllum tunbrigense-type,Hypericum foliosum-type,Ilex perado ssp. azorica,Illecebrum verticillatum,Indeterminable,Indeterminable (unknown),Isoëtes azorica,Juniperus,Juniperus brevifolia,Lactuca-type,Ligustrum,Lycopodiella inundata,Lycopodium spike,Lycopodium tablets,Lycopodium tablets,Lysimachia azorica,Lythrum portula,Mentha-type,Morella faya,Myrsine africana,Ophioglossum azoricum,Ophioglossum lusitanicum,Osmunda regalis,Pediastrum,Pericallis-type,Persicaria,Picconia azorica,Pinus subg. Pinus,Plantago coronopus,Plantago major,Plantago uniflora,Poaceae,Podospora-type,Polypodiales (monolete),Polypodiales (trilete),Polypodium azoricum,Potamogeton-type,Potentilla-type,Prunus lusitanica subsp. azorica,Pteridium aquilinum,Pteris incompleta,Ranunculus cortusifolius-type,Rumex acetosella-type,Rumex obtusifolius-type,Sagina,Sample quantity,Scabiosa,Selaginella kraussiana,Silene-type,Spergula-type,Sphagnum,Sporormiella,Tolpis-type,Trichomanes speciosum,Urtica,Ustulina deusta,Vaccinium cylindraceum,Veronica,Vitis,Xanthium
67,2690.96,,,,,,,15,65,,,4,,3,,,11,2,,4,,,,,,0,1,,,77,156,,,22,1,,,23,19,,,,,1,,2,,,,10,49,1,18,,,22,161,9,,1,1733,10679,8,,1,,16,18,,,3,,,,16,,,,2,7,,1919,,1,47,4,,,,23,,,,1,,39,,,,,51,3,,1,2,3,,
68,2770.48,,,,,1,,4,65,,,1,,2,,,1,,,1,,,,,,0,,,,38,144,,,5,,,,14,8,,1,,,,,2,,,,2,31,,9,,,20,340,1,,,949,10679,8,,,,17,13,,2,1,,,,9,,,,,6,,658,,1,191,1,,1,,48,,,,1,,25,,,,,35,4,,5,,,,
69,2850,,,,,,,4,65,,,,,3,,,3,,,,,,,,,0,,,,41,136,,,8,,,3,18,13,,,,,1,,5,,,,1,44,,12,,,19,289,4,,,680,10679,8,2,,,26,5,,3,3,,1,,15,,,,,,,701,,,56,6,,,1,62,,,,1,,16,,,,,27,1,,6,,,,
70,2949.4,,,,,,,1,51,,,16,,6,,2,3,,,,,,,,,0,5,1,,45,80,,,4,2,,3,12,9,,,,,,,15,,,,,48,,3,3,,53,226,17,,2,748,10679,8,1,,,22,8,,2,5,1,,,6,,,,,1,,1018,,,58,5,,1,1,69,1,,,1,2,27,,,,,49,7,,2,1,,,
71,3048.8,,,,1,,,3,54,,,,,2,,1,2,,,1,,,,,,0,,,,36,232,,,8,,,,18,7,,,,,,,6,,,1,,46,,8,,,15,280,4,,,952,10679,8,2,1,,38,13,,5,1,,,,13,,,,,7,,473,,,342,3,,,2,50,,,,1,,8,,,,,26,4,,2,1,,,
72,3148.2,,,,,,,4,61,,,,,3,,,2,,,,,,,1,,0,,,,56,274,,,15,2,1,,26,8,,,,,1,,4,,,,2,44,1,9,,,19,251,7,,,870,10679,8,1,,,36,8,,6,4,,1,,15,,,,,6,,631,,,227,7,,,1,66,,,,1,,26,,,,,37,3,,3,6,,,
73,3247.6,,,,,,,8,64,,,,,3,,,11,,,,,,,,,0,,,,61,202,,,6,,,1,19,15,,,,,,,10,,,,2,55,,8,1,,7,232,7,,,684,10679,8,1,1,,27,7,,3,2,,1,,12,,,,,3,,806,,,165,9,,1,2,49,,,,1,,31,,,,,58,3,,8,,,,
74,3347,,,,,2,,5,39,,,,,3,,,6,,,,,,,,,0,,,,55,76,,,1,1,,,13,11,,,,,,,4,,,,3,46,,2,,,57,260,4,,,645,10679,8,1,,2,36,12,,1,3,,,,11,,,,,5,,575,,,199,2,,,2,50,,,,1,,22,,,,,32,11,,5,3,,,
75,3446.4,,,,,,,3,75,,,8,2,5,,,7,,2,1,,,,,3,0,,,,48,122,,,11,,,,15,8,,,,,,2,3,,,,4,42,,7,1,,28,339,9,,1,629,10679,8,,1,,32,8,,1,4,,,,13,,,,,4,,820,,,249,1,,,,54,,,,1,1,24,,,,,36,7,,,,1,,
76,3545.8,,,,,,,3,59,,,1,,3,,,3,,,,,,,,,0,,,,62,179,1,,7,3,,,16,11,,,,,1,,2,,,,10,70,2,6,,,16,289,3,,,515,10679,8,,,,39,14,,1,3,,,,11,,,,1,9,,765,,,174,1,,1,,53,,2,,1,,26,1,,,,27,10,,5,1,2,,
77,3645.2,,,,,,,4,46,,,1,,7,,,3,,,,1,,1,,,0,2,,,72,124,,,5,,,,20,12,,1,,,,,4,,,,6,71,3,4,,,16,274,3,,,309,10679,8,1,1,,30,8,,,,,2,,12,,,,1,5,,903,,,79,2,,,,62,,,,1,,24,,,,,46,3,,1,3,1,,
78,3784.359,,,,,,,1,90,,,21,1,1,,,8,,,3,,,,1,,1,3,,,20,41,,,1,,,,9,19,,,,,,1,25,,,,1,58,,9,,,7,104,11,,,525,10679,8,,1,,9,4,,,2,,,,5,,,,,16,,828,,,40,2,,,1,169,,,,1,,59,,,,,133,9,,3,,,,
79,3863.879,,,,,,,1,50,,,1,,,,,2,,,1,,,,,,0,,,,91,185,,,7,,,,17,7,,,1,,,,3,,,,9,60,2,14,,,12,279,2,,,589,10679,8,1,,,19,7,,1,1,,,,15,,,,2,7,,530,,,235,2,,,,42,,,,1,,24,,,,,32,2,,3,3,,,
80,3943.4,,,,,,,4,62,,,7,2,1,,,8,,,4,,,,1,,0,,,,19,39,,,22,1,,,17,13,,,,,,,5,,,,7,93,,10,1,,5,198,8,,,722,10679,8,2,,1,13,4,,,3,,,,17,,,,,2,,1006,,,76,3,,,,69,,2,,1,1,29,,,,,55,6,,6,,1,,
81,4142.2,,,,,,,15,69,,,8,,,,,6,,,2,,,,,2,0,,,,14,322,,1,21,2,,,16,18,,,,,1,,3,,,,8,95,,7,,,3,304,2,,,737,10679,8,3,,,28,5,,,1,,,,30,,,,,3,,1726,,2,423,3,,1,1,75,,23,,1,,38,,,,,40,7,,1,,,,
82,4261.48,,,,,,,22,128,,,10,,2,,,9,,,2,,,,,2,0,,,,4,69,,1,4,,,,27,7,,,,,,,5,,,,10,52,,3,,,5,130,5,,,1785,10679,8,3,,,7,4,,,,,,,2,,,,2,6,,1092,,,5,4,,1,,48,1,4,,1,,64,1,,,,67,,,6,1,,,
83,4341,,,,,,,22,70,,,10,1,1,,,10,,,1,,,,1,,10,15,,,2,102,,,,,,,9,10,,,,,1,,,,,,23,68,,13,,,20,291,12,,,597,10679,8,2,,,10,,,,1,,,,2,,,,3,3,,1200,,,22,2,,,1,20,,1,,1,,35,,,,,38,7,,,2,,,
84,4460.28,,,,,,,26,59,,,,,,,,31,,,9,,,,,,1,,,,2,95,,,1,,,,19,11,1,,,,,,2,,,,22,156,,8,1,,,12,7,,,468,10679,8,9,,1,33,2,,,2,,1,7,12,,,,3,7,,3088,,4,3,2,,,,35,1,414,,1,,151,,,,,25,2,,,,1,,
85,4599.44,,,,,,,34,136,,,22,,,,,8,,1,1,,,,,,1,,,,5,276,,3,,2,,3,28,17,,1,,,,,5,,,,24,76,,24,,,,25,39,,,2000,10679,8,,,,8,,,,,,1,,4,1,,,8,30,,1541,,5,1,2,1,2,2,45,,2,,1,,69,,,,,95,2,,,1,1,,
86,4738.6,,,,,,,15,77,1,,,,2,,,15,,,,,,,,,0,,,,,162,,,1,2,,,66,6,,,,,1,,,,,,38,29,,48,4,,,36,25,,,3920,10679,8,,3,,5,1,,2,,,,,7,,,,10,18,,1638,,3,3,4,,6,,25,,3,,1,,33,,,,,94,,,,,,,
87,4937.4,,,,,,,4,59,,,23,,9,,4,13,,,6,,,,,,0,1,,,7,13,,,,2,,,372,10,,1,,,,,1,,,,49,39,,10,2,,1,88,34,,,908,10679,8,2,1,,15,,,,1,,,,4,,,,,4,,1354,,,6,1,,,,20,,,,1,,29,,,,,29,4,,,,1,,
88,5114.43,,,,,,,13,19,,,24,,,,,21,,,,,,,,,3,26,,,,9,,,,1,,,2,41,,,,,,,,,,,12,38,,4,,,,5,88,,,1781,10679,8,,,,12,,,,,,,,3,,,,,5,,3849,,,11,,,,3,25,,,,1,,122,,,,,56,4,,,,1,,
89,5195.907,,,,,,,6,85,,,,,3,,,5,,,,,,,,,0,,,,52,95,,,1,,,,13,4,,,,,,,2,,,,1,56,,10,,,,297,7,,,411,10679,8,,,,29,11,,4,7,,,,7,,,,1,7,,797,,,102,2,,,,63,,,,1,,33,,,,,34,7,,7,3,1,,
90,5269.977,,,,,,,10,119,,,10,,,,,6,,1,3,,,,,,0,,,,17,85,,,7,,,,11,18,,,,2,,,2,,,,3,48,2,12,1,,,85,15,,4,701,10679,8,1,2,,18,7,,,1,,3,,8,,,,,44,,1059,,,189,8,,,5,210,,,,1,,32,,,,,99,2,,3,,,,
91,5381.082,,,,,,,28,41,,,15,,1,,,9,,,1,,,,,,2,,,,10,15,,,,3,,,10,7,,,,1,,,1,,,,25,110,,12,4,,,12,22,,,1897,10679,8,,,,2,,,,,,,,,,,,,4,,1158,,1,3,,,,,28,,,,1,,114,,,,,84,,,,,,,
92,5492.187,,,,,,,14,111,,,11,,,,,25,,,,,,,,,0,,,,,,,,,,,,8,3,,,,,,,,,,,199,62,,16,,,,1,33,,,1503,10679,8,,,,1,1,,,,,2,,2,,,,,4,,903,,,1,,,,,7,,1,,1,,108,,,,,25,,,,,,,
93,5554.446,,,1,,,,16,51,,,,,,,,26,,,,,,,,,0,,,,,2,,,,,,,4,30,,,,,,,,,,,100,49,,6,,,,2,152,,,681,10679,8,,,,7,1,,,,,,,,,,,,28,,2299,,1,1,,,,1,32,,,,1,,199,,,,,24,1,,,,,,
94,5639.805,,,,,,,3,213,,,,,,,,6,,,,,,,,,1,,,,,6,,,,1,,,9,12,,,,,,,1,,,,4,15,,19,,,,,27,,,303,10679,8,,,,9,,,2,,,,,2,,,,,57,,292,,,1,18,,,2,225,,,,1,,33,,,,,212,,,,,,,
95,5895.879,,,,,,,186,102,,,,,,,,7,,,,,,,,,0,,,,2,40,,,1,,,,17,6,,,2,,,,,,,,50,69,,9,,,,6,3,,,191,10679,8,9,,2,12,1,,,1,,,,2,,,,,29,,3300,,,2,,,9,1,58,,108,,1,,43,,,,,58,3,,2,,,,
96,5938.558,,,,,,,1,194,,,18,,,,,11,5,,6,,,,,,0,,,,,4,,1,1,,,,8,8,,,,,,,,,,,16,99,,14,,,,2,29,,,405,10679,8,,,,5,2,,,,,,,3,,,,,12,,656,,3,,,,,,88,,2,,1,,83,,,,,106,1,,,,,,
