"","Apiaceae","Artemisia","Betula.nana","Betula.undiff.","Botrychium","Caltha","Carex.type","Cichorioideae","Empetrum","Equisetum","Ericaceae.undiff.","Filipendula","Galium","Gymnocarpium.dryopteris","Isoetes.lacustris","Juniperus","Leptosporangiatae","Lycopodium.annotinum","Menyanthes.trifoliata","Poaceae.undiff.","Potamogeton","Ranunculus","Rumex.type","Salix","Silene.type","Spergula.arvensis","Thalictrum","Alnus","Brassicaceae","Isoetes.echinospora","Lamiaceae","Plantago.maritima","Rhinanthus","Amaranthaceae","Armeria","Koenigia.islandica","Parnassia","Potentilla","Stuckenia","Dryas.octopetala","Huperzia.selago","Valeriana","Asteroideae.undiff.","Pinus","Polypodium.vulgare","Sorbus","cf..Diapensia.lapponica","Ranunculus.sect..Batrachium.type","Corylus","Saxifraga","Rosaceae.undiff.","Plantago.lanceolata","Sedum","Picea","Ulmus","Succisa","Cystopteris.fragilis","Hippuris.vulgaris","Rumex.Oxyria.digyna.undiff.","Scrophularia","Cal_yrs_BP","min","max"
"160493",0.00873362445414847,0,0.0240174672489083,0.0655021834061135,0.00436681222707424,0,0.200873362445415,0.00655021834061135,0.00109170305676856,0.0316593886462882,0.00764192139737991,0.00218340611353712,0.0283842794759825,0.117903930131004,0.0131004366812227,0,0.176855895196507,0.0109170305676856,0,0.203056768558952,0.00436681222707424,0.0152838427947598,0.00545851528384279,0.0349344978165939,0.00218340611353712,0,0.0131004366812227,0,0.00436681222707424,0,0.00109170305676856,0.00218340611353712,0.00109170305676856,0.00109170305676856,0.00109170305676856,0.00109170305676856,0.00109170305676856,0.00764192139737991,0.00109170305676856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617,NA,NA
"160494",0.00590551181102362,0,0.00295275590551181,0.0580708661417323,0.00295275590551181,0,0.123031496062992,0.00196850393700787,0,0.0137795275590551,0.00295275590551181,0.00984251968503937,0.0374015748031496,0.144685039370079,0.0118110236220472,0.00196850393700787,0.284448818897638,0.00984251968503937,0,0.230314960629921,0.00295275590551181,0.0147637795275591,0.00393700787401575,0.0108267716535433,0.000984251968503937,0,0.0167322834645669,0,0.00196850393700787,0,0.000984251968503937,0,0,0,0,0,0,0.000984251968503937,0,0.000984251968503937,0.000984251968503937,0.00196850393700787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971,NA,NA
"160495",0.0102249488752556,0,0.0316973415132924,0.0930470347648262,0.00511247443762781,0,0.258691206543967,0.00408997955010225,0,0.032719836400818,0.00306748466257669,0.0132924335378323,0.00613496932515337,0.0429447852760736,0.239263803680982,0.00511247443762781,0.0930470347648262,0.00920245398773006,0,0.0828220858895705,0.00102249488752556,0.00715746421267894,0.00920245398773006,0.0265848670756646,0,0.00102249488752556,0.0081799591002045,0,0,0.00613496932515337,0,0,0,0,0.00102249488752556,0,0,0.00306748466257669,0,0,0,0.00102249488752556,0.00102249488752556,0.00204498977505112,0.00102249488752556,0.00102249488752556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1223,NA,NA
"160496",0.00170068027210884,0,0.0204081632653061,0.171768707482993,0,0,0.200680272108844,0,0.00170068027210884,0.0289115646258503,0.00340136054421769,0.0119047619047619,0.00340136054421769,0.0374149659863946,0.20578231292517,0.0187074829931973,0.166666666666667,0.00340136054421769,0.00170068027210884,0.0493197278911565,0,0.00510204081632653,0.00510204081632653,0.0306122448979592,0,0,0.00170068027210884,0,0.00510204081632653,0.0136054421768707,0,0,0,0,0,0,0,0.00170068027210884,0,0,0,0,0.00340136054421769,0,0,0.00340136054421769,0.00170068027210884,0.00170068027210884,0,0,0,0,0,0,0,0,0,0,0,0,1676.5,NA,NA
"160497",0.00982615268329554,0,0.0196523053665911,0.152683295540438,0.00151171579743008,0,0.131519274376417,0.00226757369614512,0.000755857898715042,0.0415721844293273,0.00302343159486017,0.0090702947845805,0.0128495842781557,0.0521541950113379,0.201814058956916,0.0113378684807256,0.239606953892668,0.00453514739229025,0,0.0476190476190476,0.00226757369614512,0.00377928949357521,0.00755857898715042,0.018896447467876,0.000755857898715042,0,0.00226757369614512,0.000755857898715042,0.00226757369614512,0.0113378684807256,0.000755857898715042,0,0,0,0.00151171579743008,0,0,0.000755857898715042,0,0,0,0,0,0.000755857898715042,0,0.00151171579743008,0,0.000755857898715042,0.000755857898715042,0.00151171579743008,0,0,0,0,0,0,0,0,0,0,2110,NA,NA
"160498",0.0125,0,0.0303571428571429,0.0910714285714286,0,0,0.178571428571429,0,0,0.0714285714285714,0.00535714285714286,0.0107142857142857,0.00357142857142857,0.0678571428571429,0.158928571428571,0.0178571428571429,0.192857142857143,0.00178571428571429,0,0.0714285714285714,0,0.00535714285714286,0.0142857142857143,0.025,0,0,0.00535714285714286,0.00357142857142857,0,0.0125,0,0.00357142857142857,0,0,0,0,0,0.00357142857142857,0,0,0,0,0,0.00535714285714286,0.00178571428571429,0.00178571428571429,0,0,0,0.00178571428571429,0.00178571428571429,0,0,0,0,0,0,0,0,0,2577,NA,NA
"160499",0.00367647058823529,0,0.0220588235294118,0.0735294117647059,0,0,0.268382352941176,0,0,0.0514705882352941,0,0.00367647058823529,0.0147058823529412,0.0220588235294118,0.161764705882353,0.0441176470588235,0.1875,0.00367647058823529,0,0.0882352941176471,0,0.0110294117647059,0.00735294117647059,0.0220588235294118,0,0,0.00367647058823529,0,0,0.00735294117647059,0,0,0,0,0,0,0,0.00367647058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2785,NA,NA
"160500",0.0112704918032787,0.00102459016393443,0.0122950819672131,0.0737704918032787,0.00409836065573771,0,0.20594262295082,0.00102459016393443,0,0.0430327868852459,0.00409836065573771,0.0122950819672131,0.00717213114754098,0.021516393442623,0.23155737704918,0.0665983606557377,0.162909836065574,0,0,0.0706967213114754,0.00512295081967213,0.00307377049180328,0.00819672131147541,0.021516393442623,0.00102459016393443,0,0.00614754098360656,0.00102459016393443,0.00102459016393443,0.0174180327868852,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00204918032786885,0,0,0,0.00102459016393443,0.00102459016393443,0,0.00102459016393443,0.00102459016393443,0,0,0,0,0,0,0,0,2947,NA,NA
"160501",0.00642398286937901,0,0.0214132762312634,0.0728051391862955,0.00642398286937901,0,0.21627408993576,0.00642398286937901,0.00214132762312634,0.0385438972162741,0,0.0107066381156317,0.00428265524625268,0.00642398286937901,0.250535331905782,0.0364025695931477,0.15203426124197,0.00214132762312634,0.00214132762312634,0.0942184154175589,0.00642398286937901,0.00428265524625268,0.00856531049250535,0.0278372591006424,0,0,0.00214132762312634,0,0.00428265524625268,0.012847965738758,0,0,0,0,0,0,0,0.00214132762312634,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00214132762312634,0,0,0,0,0,0,0,0,3158,NA,NA
"160502",0.00748362956033676,0,0.0187090739008419,0.101964452759588,0,0,0.150608044901777,0.000935453695042095,0.00187090739008419,0.0233863423760524,0.000935453695042095,0.0261927034611787,0.00374181478016838,0.0187090739008419,0.304022450888681,0.0327408793264733,0.141253507951356,0.00280636108512629,0.000935453695042095,0.0720299345182413,0.00841908325537886,0.00654817586529467,0.00467726847521048,0.028999064546305,0,0,0.00841908325537886,0,0.00187090739008419,0.0233863423760524,0,0.00187090739008419,0,0,0,0,0,0.00187090739008419,0,0,0,0,0,0.00187090739008419,0,0.000935453695042095,0,0.00187090739008419,0,0,0,0,0.000935453695042095,0,0,0,0,0,0,0,3401,NA,NA
