 ,Cal_yrs_BP,min,max,Acacia (type I),Acalypha,Acanthaceae,Achyranthes-type,Alchornea,Alisma plantago-aquatica,Allophylus-type,Amaranthaceae,Anacardiaceae,Anogeissus-type,Anthocerotaceae,Anthospermum,Anthostema,Antiaris,Antidesma,Apocynaceae,Apodytes dimidiata,Araliaceae,Asteroideae,Avicennia,Balanophora,Barringtonia,Begonia,Brassicaceae,Bridelia,Byttneria,Capparaceae,Celtis,Ceriops-type,Chouxia,Combretaceae,Croton-type,Cucurbitaceae,Cussonia-type,Cyperaceae,Dialium-type,Dobera glabra-type,Dombeya,Elaeis,Eugenia-type,Euphorbia-type,Euphorbiaceae,Faboideae,Ficus,Filicium,Heliotropium-type steudneri,Hymenostegia-type,Hypericum,Kohautia-type,Lamiaceae (type 6),Langsdorffia,Lannea-type,Loranthaceae,Lotus arabicus-type,Lycopodiaceae,Macaranga,Maesa-type,Meliaceae,Monocotyledoneae,Monotes,Moraceae,Mussaenda-type,Olea,Pappea-type capensis,Pausinystalia-type,Philippia comorensis-type,Phoenix,Phyllanthus maderaspatensis-type,Phyllanthus-type,Poaceae,Podocarpus,Polypodiaceae,Proteaceae,Pteris,Pycnanthus,Rhizophora,Rhus-type,Ricinus,Rubiaceae,Rutaceae,Salvadora persica-type,Sapindaceae,Sapotaceae,Sauvagesia-type,Schefflera-type,Securinega virosa,Sida-type,Solanaceae,Sterculia-type,Sterculioideae,Symphonia,Teclea-type,Thecacoris,Treculia,Trema,Tristellateia,Triumfetta-type,Uapaca,Unknown,Unknown (monolete),Unknown (monolete,Unknown (spores),Unknown (trilete),Urticaceae,Vangueria-type,Zanthoxylum-type,Ziziphus,mimosoid clade
,11849.19,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,6,,,,,,,,,,,,,,,,3,,,,,,,8,,4,,,,,1,,,,1,,74,,,3,,,,,,,,,,,,,,,,,,,,9,2,,4,127,1,,,,
,11996.5,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,15,,,,,,,,,,1,,,,,,,,,,,,,,,1,143,31,,86,,,,,
,7184,,,,,1,,3,,,,1,,,,,,,,,,,,,,,,,,,1,1,,4,,,,,,,,,,,,,,,,,,,1,,,,,,3,,,1,,,,2,,,,,,,3,16,,,1,,2,,,2,,,,,,,,,,,,5,,,,,,1,2,25,1,818,4,,3,,2,,
,11883.19,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,2,1,,,2,,4,,,,,,,,,,,,,,,208,,,,,,,,1,3,68,3,,,,,,
,924.4,,,,,1,,14,,,,,,1,1,,,,,,,,,1,,1,,,,,3,1,,2,,,2,1,,,,,,,4,,1,,,,1,,,1,,1,,1,,,,3,,3,,1,,,1,3,,1,10,2,,,8,1,3,,,,,,,1,,,,,,,1,33,,,,2,,3,2,,27,44,6,,5,,3,,
,11860.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,17,,,,,,,,,,,,,,,734,,,,,,,,5,4,53,,,,,,,
,12030.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,184,37,,38,,,,,
,8352,,,,,,,5,,,1,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,4,,,,,,,3,11,,,7,,2,,,,,1,,2,,,,,,4,,14,,1,,,,1,2,10,13,758,5,,1,,,,
,11894.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,78,,595,,,,,
,2562.8,,,,,,,5,,,2,,,,,,,,,,1,,,,,,,,,,,,,5,,,,1,,,,,,,2,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,4,6,,,6,,4,,,2,,,,,,,,,,,3,5,,,,,,,,10,1,28,4,,6,,,,
,11871.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,365,,,,,,,,3,,45,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,
