 ,Cal_yrs_BP,max,min,Acrostichum,Adiantum,Alnus incana-type,Amaranthaceae,Ambrosia,Anacardiaceae undiff.,Apiaceae,Arecaceae-type undiff.,Artemisia,Asteroideae undiff.,Avicennia,Betula,Brassicaceae,Caryophyllaceae,Celtis,Citrus,Cladium,Coccoloba,Conocarpus,Cupressaceae,Cyperaceae undiff.,Dinoflagellata,Dodonaea,Dryopteris-type,Ericaceae,Eucalyptus spike,Eucalyptus suspension,Eucalyptus suspension,Eugenia-type,Euphorbiaceae,Fabaceae,Fagus,Forestiera,Fraxinus,Galium,Huperzia lucidula-type,Indeterminable,Laguncularia,Lamiaceae,Lemnoideae,Liliaceae,Ludwigia,Moraceae,Myrica,Myriophyllum,Oleaceae undiff.,Osmunda,Ostrya/Carpinus,Persicaria maculosa-type,Pinus,Plantago,Poaceae,Potamogetonaceae,Pteridium-type,Quercus,Rhizophora,Rhus/Toxicodendron,Rhynchospora,Rosaceae,Ruppia maritima,Rutaceae undiff.,Sabal,Sagittaria,Salix,Sample quantity,Sapindaceae undiff.,Sisyrinchium-type,Sparganium-type,Sphagnum,Taxus,Thalictrum,Trema,Typha latifolia,Ulmus,Unknown,Unknown (trilete),Urticaceae,Verbenaceae
,3411,,,,,,,,,,,,,,,,,,,,1,2,490,1,,2,5,,575,115000,1,,,,,,,,,5,,,,,,1,,,,,,,1,,2,,,,,3,,,,,4,,,1,,,,,,,,,,,,,
,3507,,,,,,,,,,,2,,,1,,,6,,,,9,504,,,,1,,1203,115000,1,,5,,,,,,,1,,,,,,,,,,,,,,,2,,,3,,1,,,,,14,,,1,,,,,,,,,,12,,,
,3625,,,,,,,,,,,2,,,,,,11,,,,4,536,1,,,,,1050,115000,1,,2,,,,,,,1,,,,,,,,,,,,,2,,,,,1,,2,,,,,24,,,1,1,,,,,,,,,5,,,
,3732,,,,,,,,,,,2,,,,,,5,,,,5,413,,,,,,613,115000,1,,,,,,,,,4,,,,,,1,,,,,,,1,,,,,2,,,,,,,8,,,1,,,,,,,,,,6,,,
,3839,,,,,,,,,,,1,,,,,,1,,,,3,416,,,,,,792,115000,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,5,,,1,,2,,,,,,,,,,,
,3946,,,,,,,,,,,1,,,,,,6,,,,13,288,,,,,,404,115000,1,,3,,,,,,,6,,,,,,1,,,,,,,2,,,,,,,,,,,,14,,,1,,1,,,,,,,,1,,,
,4053,,,,,,,,,,,1,,,,,,,,,,,239,,,,,,574,115000,1,,1,,,,,,,1,,,,,,,,,,,,,3,,,,,,,1,,,,,3,,,1,,,,,,,,,,1,,,
,4160,,,,,,,,,,,,,,,,,4,,,,5,191,,,2,,,574,115000,1,,3,,,,,,,11,,,,,,,,,,,,,,,1,1,,1,1,,,,,,6,,,1,,,,,,,,,,1,,,
,4258,,,,,1,,,,,,3,,,,,,3,,,,2,707,,1,,,,614,115000,1,,3,,,,,,,3,,,,,,,,,,,,,1,,,,,1,,,,1,,,5,,,1,,,,,,,,,,,,,
,4328,,,,,,,,,,,1,2,,,,,8,,,,7,807,,,2,,,410,115000,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,10,,,1,1,,,,,,1,,,6,,,
,4398,,,,,,,,,,,2,,,,,,7,,,,4,210,1,,,,,501,115000,1,,3,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,9,,,1,,,,,,,,,,3,,,
,4468,,,,,,,,,,,1,,,,,,13,,,,2,770,,,1,,,927,115000,1,,4,,,,1,,,4,,,,,,,,,,,,,1,,,,,,,1,1,,,,14,,,1,,,,,,,,,,5,,,
,4538,,,,,,,,,,,1,,,1,,1,19,,,,3,649,,,7,,,835,115000,1,,6,,,,,,,13,1,,,,,1,,,,,1,,2,,1,,,3,,,,,,1,22,,,1,,,,,,,1,,,5,,,
,4608,,,,1,,,,,,,2,,,1,,,13,,,,,314,,,4,,,779,115000,1,,4,,,,,,,2,,,,,,3,1,,,,,,,,,,,2,,,,,,,11,,,1,,,,,,,,,,3,,,
,4678,,,1,1,,,,,,,3,,1,,,,16,,,,,448,,,1,,,866,115000,1,,3,,,,,,,,,,,,,,4,,,,,,2,,,,,1,,,,,,,19,,,1,,,,,,,,,,7,,,
,4748,,,,3,,,,,,,,,,,,,3,,,,,472,,,,2,,,115000,1,,1,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,3,,,
,4810,,,2,2,,,,,,,2,,,1,,,9,,2,,,937,,,,,,546,115000,1,,7,,,,,,,8,,,,,,,2,,,,,,1,,,,,2,,,,,,1,11,,,1,,,,,,,,,,,,,
,4888,,,,,1,,,,,,1,,,,,,35,,,,,770,,,1,,,928,115000,1,,1,,,,,,,3,,,,,,,,,,,,,,,,,1,3,,,,,,,11,,,1,1,,,,,,1,,,2,,,
,4967,,,,1,,,,,,,3,,,,,,19,,,,,484,,,4,,,886,115000,1,,3,,,,,,,13,,,,,,,2,,,,,,1,,,,,2,,1,,,,,13,,,1,,,,,,,,,,6,,,
,5075,,,,2,,,,,,,1,,,,,,10,,,,,427,,,,,,465,115000,1,,4,,,,,,,10,,,,,,,5,,,,,,1,,1,,,,,,,,,,7,,,1,,,,,,,,,,2,,,
,5183,,,4,2,,,1,,,,1,,,,,,13,,,,,369,1,,1,,,802,115000,1,1,3,,,,,,,1,,,,,,1,3,,,1,,,,,,,,,,,,,,,11,,,1,,,,,,,1,,,2,,,
