"","Pandanus.tectorius","Arecaceae","Cocos.nucifera","Liliaceae","Urticaceae.Moraceae","Cyperaceae","Trilete.Psilate","Monolete.Psilate","Achrostichum.aureum","Aspleniaceae","Blechnaceae","Dicranopteris","Dryopteris","Hypolepis","Davallia.Histiopteris","Polypodiaceae","Macaranga.comp.","Acalypha","Premna","Trema","Glochidion.societales","Homalium","Erythrina.variegata","Fabaceae","Polygonaceae","Sophora.tomentosa","cf..Sapindus","cf..Brassicaceae","cf..Scaevola","cf.Coprosma","cf.Meryta","cf..Pouteria","Hernandia","Euphorbiaceae","Solanaceae","Myrtaceae","Tournefortia.argentea","Timonius","Triumfetta.procumbens","Colocasia.esculenta","Aleurites.moluccana","Asteraceae.tubuliflorae","Asteraceae.Liguliflorae","Chenopodiaceae.pos..algae","Poaceae..40.microns","Poaceae..40.microns.1","cf..Canna.indica","cf..Calophyllum","Labiatae","Pteris","Cyclosorus.interruptus","Sphaerostephanos","Comellina.diffusa","cf..Morinda.citrifolia","cf..Hedyotis","cf..Psychotria","cf..Apocynaceae","Casuarina","Barringtonia","Ludwigia.peploides","Hibiscus.tiliaceus","Malvaceae","Angiopteris","Bryophytes..liverwort.","Nothofagus.brassospora","Pinus..exotic.","Cal_yrs_BP","min","max"
"1",0.016835016839064,0.0134680134651906,0,0,0,0.272727272738292,0.0404040404056729,0.323232323245383,0,0,0,0.124579124550488,0,0,0.00673400673764582,0.0134680134651906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033670033637724,0,0,0,0,0,0.00673400673764582,0.0033670033637724,0.0538720538708635,0.0673400673461552,0,0,0,0,0.00673400673764582,0,0.0101010101014182,0.0033670033637724,0,0,0,0.0303030303042547,0,0,0,0,0,0,0,0.0033670033637724,-12,NA,NA
"2",0.00666666667053333,0.0133333333310667,0,0,0,0.133333333310667,0.0300000000024,0.583333333346667,0,0,0,0.0333333333326667,0.00666666667053333,0,0.00333333333026667,0.0166666666713333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00666666667053333,0.00333333333026667,0.0833333333366667,0.0266666666721333,0,0,0,0,0.0133333333310667,0,0.0233333333318667,0,0,0,0,0.0133333333310667,0,0,0,0,0,0.00333333333026667,0,0,72,NA,NA
"3",0.0133779264185524,0.00334448160212973,0.00334448160212973,0.00334448160212973,0,0.207357859572846,0.0401337792656905,0.484949832760316,0,0,0,0.0167224080307155,0.0066889632142929,0,0.00334448160212973,0.0133779264185524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100334448164226,0,0.0501672240821132,0.0635451505006655,0,0,0.00334448160212973,0,0.0100334448164226,0,0.0301003344492679,0,0,0,0,0.023411371234975,0,0.00334448160212973,0,0,0.00334448160212973,0.00334448160212973,0,0.00334448160212973,156,NA,NA
"4",0.00333333333016667,0.00333333333016667,0,0,0.00666666667033333,0.133333333306667,0.0266666666713333,0.660000000033,0,0,0,0.00333333333016667,0,0,0.00333333333016667,0.0133333333306667,0,0,0.00333333333016667,0,0,0,0,0,0,0,0,0.00333333333016667,0,0,0,0,0,0,0,0,0,0,0,0,0.00333333333016667,0,0.00666666667033333,0,0.0566666666728333,0.0300000000015,0,0,0,0.00333333333016667,0.020000000001,0,0,0,0,0,0,0.0133333333306667,0,0,0,0,0,0.00666666667033333,0,0,239,NA,NA
"5",0.00666666667026667,0,0,0,0.00666666667026667,0.113333333304533,0.0100000000004,0.5800000000232,0,0,0,0.00666666667026667,0.0133333333305333,0,0.0100000000004,0.0266666666710667,0.0100000000004,0,0,0,0,0.00333333333013333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00333333333013333,0,0,0,0,0.00333333333013333,0,0.00333333333013333,0.00333333333013333,0.0766666666730667,0.0900000000036,0,0,0,0,0.0133333333305333,0,0,0,0,0,0,0.0166666666706667,0,0,0,0.00333333333013333,0,0,0,0,320,NA,NA
"6",0.0281690140876314,0.0211267605630827,0,0,0.0070422535245487,0.0704225352137969,0,0.496478873232444,0.00352112675699266,0,0,0.0211267605630827,0,0,0.014084507038534,0.0633802816892482,0,0,0,0,0,0,0.00352112675699266,0.00352112675699266,0.0070422535245487,0,0.0070422535245487,0,0,0,0,0,0,0,0.00352112675699266,0,0,0,0,0,0,0,0,0.0070422535245487,0.105633802815414,0.102112676058421,0,0,0,0,0,0,0,0,0,0,0,0.0281690140876314,0,0,0,0.0070422535245487,0,0,0,0,392.5,NA,NA
"7",0.0408163265285298,0.00340136054064279,0,0,0.00340136054064279,0.119047619075559,0.0204081632642649,0.41836734691743,0,0,0,0.00680272109148966,0.0102040816321324,0,0.0204081632642649,0.054421768701305,0.0136054421727752,0,0,0,0,0.00340136054064279,0.0102040816321324,0.00340136054064279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00680272109148966,0,0,0,0,0.119047619075559,0.102040816321324,0,0,0,0,0.0102040816321324,0.00680272109148966,0,0,0,0,0,0.0136054421727752,0,0,0.00340136054064279,0.00680272109148966,0.00340136054064279,0,0,0,447,NA,NA
"8",0.0233333333286,0.0133333333292,0,0,0.0199999999988,0.116666666693,0,0.4266666666744,0.0399999999976,0,0,0,0.0033333333298,0.0033333333298,0.0066666666696,0.0566666666666,0.0033333333298,0,0,0,0.0033333333298,0.0033333333298,0.0033333333298,0,0,0,0,0,0,0,0,0,0,0,0.0033333333298,0,0,0,0,0.0033333333298,0,0,0,0,0.0733333333256,0.16666666669,0,0,0,0.0033333333298,0.0033333333298,0,0,0,0,0,0,0.0199999999988,0,0,0,0.0033333333298,0,0,0,0,499,NA,NA
"9",0.0271186440715542,0.257627118613663,0,0,0.0135593220306923,0.13898305088324,0.0169491525459925,0.335593220343534,0.00338983050513071,0,0,0.0406779661022465,0.00338983050513071,0.00677966102043091,0.00338983050513071,0.0440677966073772,0,0,0,0,0,0,0,0,0.00338983050513071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0644067796585004,0.0169491525459925,0,0,0,0.00677966102043091,0,0,0,0,0,0,0.00338983050513071,0.0135593220306923,0,0,0,0,0,0,0,0,544,NA,NA
"10",0.0633333333293667,0.00666666666993333,0,0,0.00333333332996667,0.2699999999973,0.0266666666697333,0.1899999999981,0.00333333332996667,0,0,0.0133333333298667,0.0133333333298667,0.00666666666993333,0.0133333333298667,0.0166666666698333,0.00666666666993333,0,0,0,0,0.00333333332996667,0,0,0,0,0,0,0,0,0,0,0,0,0.00333333332996667,0,0,0,0,0.0166666666698333,0,0,0,0.00333333332996667,0.186666666698133,0.1099999999989,0,0,0,0.0233333333297667,0.0099999999999,0.00333333332996667,0,0,0,0,0,0.00333333332996667,0.00333333332996667,0,0,0,0,0,0,0,591,NA,NA
