"","Alnus","Amaranthaceae","Araliaceae.cf..Didymopanax","Asteroideae","cf..Malpighiaceae","cf..Solanaceae","Cunoniaceae.cf..Weinmannia","Dennstaedtiaceae..Hypolepis.type","Dennstaedtiaceae..Pteridium.type","Dicranopteris","Dryopteris.undiff.","Elaeocarpaceae.cf..Sloanea","Garrya","Ilex","Lamiaceae","Lophosoria","Lycopodiella.cernua","Myrica","Myrsine","Pilea","Pinus","Poaceae","Polypodiaceae..Lepisorus.type","Rubiaceae..Mitracarpus.type","Rubiaceae..Tocoyena.type","Sapindaceae..Dodonaea.type","Urera","Urticaceae.undiff.","Cichorioideae","Cyperaceae","Pteridaceae..Pityrogramma.type","Piper","Hymenophyllaceae","Loranthaceae","Melastomataceae","Polypodiaceae..Polypodium.pellucidum.type","Unknown..trilete.6.","Ericaceae","Lycopodiaceae.cf..Huperzia","Araliaceae.cf..Oreopanax","Ophioglossaceae","Pteridaceae..Pteris.type","Cal_yrs_BP","min","max"
"145855",0.000675447483958122,0.000675447483958122,0.00270178993583249,0.00270178993583249,0.000675447483958122,0.00135089496791624,0.00540357987166498,0.022289766970618,0.033096926713948,0.0182370820668693,0.00337723741979061,0.00135089496791624,0.0675447483958122,0.288416075650118,0.000675447483958122,0.22289766970618,0.00202634245187437,0.00337723741979061,0.0256670043904086,0.00202634245187437,0.190138466734211,0.066193853427896,0.0270178993583249,0.000675447483958122,0.00270178993583249,0.00202634245187437,0.00405268490374873,0.00202634245187437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-51,NA,NA
"145856",0,0.00227014755959137,0,0.00908059023836549,0,0.00454029511918275,0.0113507377979569,0.0408626560726447,0.0499432463110102,0.0204313280363224,0.00908059023836549,0,0.0454029511918275,0.227014755959137,0,0.195232690124858,0.00227014755959137,0.00454029511918275,0.0158910329171396,0.00454029511918275,0.25539160045403,0.0771850170261067,0.0158910329171396,0.00227014755959137,0,0,0,0,0.00227014755959137,0.00227014755959137,0.00227014755959137,0,0,0,0,0,0,0,0,0,0,0,-34,NA,NA
"145857",0,0.00320769847634322,0,0.0192461908580593,0,0,0,0.0160384923817161,0.0368885324779471,0.0160384923817161,0,0.00160384923817161,0.0144346431435445,0.020850040096231,0,0.450681635926223,0.00160384923817161,0.00320769847634322,0.0224538893344026,0,0.295910184442662,0.0705693664795509,0.00962309542902967,0,0.00160384923817161,0.00160384923817161,0,0.00320769847634322,0,0.00801924619085806,0,0.00320769847634322,0,0,0,0,0,0,0,0,0,0,-2,NA,NA
"145858",0,0,0.00244100895036615,0.0048820179007323,0,0,0.00244100895036615,0.129373474369406,0.15459723352319,0.0219690805532954,0.00244100895036615,0,0.0065093572009764,0.00406834825061025,0,0.419853539462978,0,0.00081366965012205,0.0016273393002441,0.0016273393002441,0.213181448331977,0.016273393002441,0.0065093572009764,0,0,0,0,0,0,0.0016273393002441,0.00081366965012205,0.00081366965012205,0.0016273393002441,0.0065093572009764,0,0,0,0,0,0,0,0,28,NA,NA
"145859",0,0,0,0.00195694716242661,0,0,0,0.012720156555773,0.445205479452055,0,0.000978473581213307,0,0.0146771037181996,0.00391389432485323,0,0.216242661448141,0.000978473581213307,0.000978473581213307,0,0.000978473581213307,0.237769080234834,0.0225048923679061,0.012720156555773,0,0,0,0,0,0,0,0.000978473581213307,0.00587084148727984,0.00195694716242661,0.0136986301369863,0.000978473581213307,0.00195694716242661,0.00293542074363992,0,0,0,0,0,56.5,NA,NA
"145860",0,0,0,0.0040920716112532,0,0,0.0010230179028133,0.0153452685421995,0.468542199488491,0,0,0,0.00818414322250639,0.0051150895140665,0,0.188235294117647,0,0.0030690537084399,0.0030690537084399,0,0.226598465473146,0.0317135549872123,0.0112531969309463,0.0010230179028133,0,0,0,0,0,0,0,0.00818414322250639,0,0.0194373401534527,0,0.0010230179028133,0.0020460358056266,0.0010230179028133,0.0010230179028133,0,0,0,84,NA,NA
"145861",0,0,0,0.00766650694777192,0,0,0,0.0162913272640153,0.436032582654528,0,0,0,0.0095831336847149,0.00479156684235745,0,0.206995687589842,0.00095831336847149,0.00095831336847149,0,0.00095831336847149,0.226641111643507,0.0383325347388596,0.0143747005270724,0,0,0,0,0.00095831336847149,0,0,0,0.0105414470531864,0.00191662673694298,0.0153330138955438,0.00095831336847149,0.00191662673694298,0.00287494010541447,0,0,0.00191662673694298,0,0,113,NA,NA
"145862",0,0,0,0.0107874865156419,0,0,0,0.0161812297734628,0.431499460625674,0.00107874865156419,0,0,0.0075512405609493,0,0,0.201725997842503,0,0.00323624595469256,0.00215749730312837,0,0.237324703344121,0.04638619201726,0.011866235167206,0.00107874865156419,0,0,0,0,0,0,0,0.0075512405609493,0,0.017259978425027,0.00107874865156419,0,0.00215749730312837,0,0.00107874865156419,0,0,0,176.5,NA,NA
"145863",0,0,0,0.00625838176128744,0,0,0,0.0259275815824765,0.490835940992401,0,0,0,0.00983459991059455,0.00447027268663388,0,0.170764416629414,0,0.000894054537326777,0.00536432722396066,0.000894054537326777,0.190880643719267,0.0509611086276263,0.0107286544479213,0,0,0,0,0,0,0,0,0.00447027268663388,0.00178810907465355,0.0214573088958426,0,0,0.00447027268663388,0,0,0,0,0,280,NA,NA
"145864",0,0,0,0.00393959290873276,0,0,0,0.0131319763624425,0.382140512147078,0.00131319763624425,0.00131319763624425,0,0.0170715692711753,0.00131319763624425,0,0.161523309258043,0,0.00393959290873276,0.00656598818122127,0,0.275114904793171,0.0682862770847013,0.0262639527248851,0.00262639527248851,0,0.00131319763624425,0,0,0,0,0,0.00919238345370978,0.00131319763624425,0.0170715692711753,0.00131319763624425,0,0.00393959290873276,0,0,0,0.00131319763624425,0,349.5,NA,NA
