"","Alnus","Cecropia.type","Celtis","Cupressaceae","Eryngium","Fraxinus.excelsior.type","Hedyosmum.type","Juglans","Montia","Moraceae","Morus.alba.type","Myrica","Myrsinaceae","Plantago.lanceolata.type","Platanus","Podocarpus","Quercus","Salix","Thalictrum","Weinmannia.type","Acacia","Acnistus.ellipticus","Bursera.graveolens.s.l.","Caesalpiniaceae","Cassia.type","Castela.galapageia","Casuarina","Chiococca.alba","Cinchona.pubescens","Cinchona.pubescens.stomata","Cordia","Croton.scouleri","Cryptocarpus.pyriformis","Dodonaea.viscosa","Hippomane.mancinella","Lantana.peduncularis","Lycium","Miconia.robinsoniana","Parkinsonia.aculeata","Pernettya.howellii","Phoradendron.henslowii","Piscidia.carthagenensis","Pisonia.floribunda","Prosopis.juliflora","Psidium.galapageium","Psidium.guajava","Psychotria.rufipes","Rhizophora.mangle","Rubus","Sapindaceae","Scalesia","Scutia.spicata.var..pauciflora","Tournefortia.pubescens.T..rufo.sericea","Trema","Zanthoxylum.fagara","Acalypha..P3.","Acalypha.type..P4.large.","Ageratum.conyzoides","Alternanthera","Amaranthus","Ambrosia","Apium","Bastardia.viscosa","Bidens.type","Borreria.dispersa.type","Borreria.laevis.type","Brickellia.diffusa","Cardiospermum","Ceratophyllum.spine","cf..Grabowskia","cf..Hedera","Chamaesyce","Chenopodiaceae.type","Chrysanthellum.type","Cissampelos","Commelina","Compositae.Subfam..Asteroideae","Crotalaria.type","Cruciferae","Cuphea.carthagenensis","Desmodium.type","Drymaria","Euphorbia","Evolvulus","Fleurya.aestuans","Galium","Gnaphalium.type","Gomphrena","Gramineae","Heliotropium","Hibiscus.diversifolius.type","Hypericum.uliginosum","Hypoxis.decumbens","Hyptis","Jaegeria.gracilis","Justicia.galapagana","Lantana.peduncularis.1","Lindernia","Ludwigia","Mecardonia.dianthera","Mentzelia.aspera","Papilionaceae","Papilionaceae..small.round.pores.","Phyllanthus","Phyllanthus.carolinianus","Physalis","Pilea.baurii","Plantago","Pollen..indet..","Pollen..tetracolpate.short.colpi.","Pollen..tricolpate.psilate.small.","Pollen..tricolpate.short.colpi.","Pollen..tricolporate.fine.reticulum.","Pollen..tricolporate.short.colpi.","Pollen..tricolporate.small.scabrate.","Pollen..tricolporate.small.smooth.","Polygonum.Sect..Persicaria","Portulacaceae","Ranunculus.Subgen..Batrachium","Rumex.type","Salvia","Sida","Sisyrinchium.galapagense","Solanaceae","Solanum.americanum.type","Solanum.type","Urtica.type","Utricularia","Verbena.littoralis.type","Vigna.luteola","Cyperaceae","Cal_yrs_BP","min","max"
"...55","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.154639e-03","0.000000e+00","0.000000e+00","5.154639e-03","5.154639e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.123711e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.061856e-02","0.000000e+00","0.000000e+00","0.000000e+00","7.216495e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.546392e-02","0.000000e+00","1.546392e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.061856e-02","0.000000e+00","0.000000e+00","0.000000e+00","3.608247e-02","6.701031e-02","0.000000e+00","5.154639e-02","1.030928e-02","1.546392e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.154639e-03","1.030928e-02","0.000000e+00","0.000000e+00","8.056872e-02","0.000000e+00","0.000000e+00","5.154639e-02","0.000000e+00","5.154639e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.154639e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.061856e-01","1.030928e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.237113e-01","0.000000e+00","0.000000e+00","5.154639e-03","5.154639e-02","0.000000e+00","0.000000e+00","0.000000e+00","5.154639e-03","0.000000e+00","2.577320e-02","0.000000e+00","4.639175e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.154639e-03","1.546392e-02","5.154639e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.154639e-03","0.000000e+00","0.000000e+00","3.608247e-02","0.000000e+00","0.000000e+00","8.691650e-01","3.324000e+03",NA,NA
"...56","1.554404e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.036269e-02","0.000000e+00","0.000000e+00","0.000000e+00","5.181347e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.181347e-03","0.000000e+00","0.000000e+00","5.181347e-03","0.000000e+00","5.699482e-02","0.000000e+00","0.000000e+00","0.000000e+00","2.590674e-02","0.000000e+00","0.000000e+00","5.181347e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.181347e-03","0.000000e+00","1.036269e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.554404e-02","0.000000e+00","0.000000e+00","0.000000e+00","1.036269e-02","1.709845e-01","1.036269e-02","8.290155e-02","5.181347e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.181347e-03","5.181347e-03","0.000000e+00","1.146789e-01","0.000000e+00","0.000000e+00","2.072539e-02","0.000000e+00","0.000000e+00","0.000000e+00","5.181347e-03","0.000000e+00","0.000000e+00","0.000000e+00","1.036269e-02","0.000000e+00","5.181347e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.746114e-01","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","7.772021e-02","0.000000e+00","0.000000e+00","0.000000e+00","5.181347e-03","0.000000e+00","0.000000e+00","0.000000e+00","1.554404e-02","0.000000e+00","4.145078e-02","0.000000e+00","5.181347e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.181347e-03","0.000000e+00","1.036269e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.181347e-03","5.181347e-03","0.000000e+00","1.554404e-02","0.000000e+00","0.000000e+00","8.162879e-01","3.356000e+03",NA,NA
"...57","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","9.090909e-03","9.090909e-03","4.545455e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.363636e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.545455e-03","0.000000e+00","0.000000e+00","4.545455e-03","5.909091e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.545455e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","9.090909e-03","0.000000e+00","3.181818e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.636364e-02","0.000000e+00","0.000000e+00","0.000000e+00","1.136364e-01","2.000000e-01","0.000000e+00","5.909091e-02","1.363636e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","9.090909e-03","0.000000e+00","1.020408e-01","0.000000e+00","0.000000e+00","2.727273e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.363636e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","9.090909e-03","0.000000e+00","0.000000e+00","0.000000e+00","8.181818e-02","0.000000e+00","0.000000e+00","0.000000e+00","4.545455e-03","0.000000e+00","6.818182e-02","0.000000e+00","0.000000e+00","0.000000e+00","1.363636e-02","0.000000e+00","0.000000e+00","4.545455e-03","4.545455e-03","0.000000e+00","2.727273e-02","0.000000e+00","1.045455e-01","0.000000e+00","9.090909e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","9.090909e-03","0.000000e+00","4.545455e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.545455e-03","0.000000e+00","4.545455e-03","2.727273e-02","0.000000e+00","0.000000e+00","7.494505e-01","3.388000e+03",NA,NA
"...58","1.136364e-02","5.681818e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.681818e-03","0.000000e+00","5.681818e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.136364e-02","0.000000e+00","5.681818e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","6.250000e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.681818e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.681818e-03","0.000000e+00","2.840909e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.840909e-02","0.000000e+00","0.000000e+00","0.000000e+00","1.704545e-02","1.647727e-01","0.000000e+00","5.113636e-02","2.272727e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.681818e-03","5.681818e-03","5.681818e-03","2.272727e-02","0.000000e+00","1.813953e-01","0.000000e+00","0.000000e+00","5.681818e-03","1.136364e-02","0.000000e+00","0.000000e+00","5.681818e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.681818e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.590909e-01","0.000000e+00","0.000000e+00","0.000000e+00","5.681818e-03","0.000000e+00","7.386364e-02","0.000000e+00","0.000000e+00","1.136364e-02","2.272727e-02","1.136364e-02","0.000000e+00","0.000000e+00","1.136364e-02","0.000000e+00","5.681818e-02","0.000000e+00","1.193182e-01","0.000000e+00","0.000000e+00","5.681818e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.704545e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.681818e-03","0.000000e+00","0.000000e+00","7.682458e-01","3.420000e+03",NA,NA
"...59","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.669725e-02","3.669725e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.587156e-03","4.587156e-03","0.000000e+00","9.174312e-03","1.834862e-02","0.000000e+00","0.000000e+00","4.587156e-03","0.000000e+00","4.587156e-03","0.000000e+00","0.000000e+00","0.000000e+00","6.880734e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.293578e-02","0.000000e+00","4.587156e-02","0.000000e+00","1.376147e-02","4.587156e-03","0.000000e+00","0.000000e+00","1.834862e-02","0.000000e+00","0.000000e+00","0.000000e+00","1.376147e-02","1.697248e-01","4.587156e-03","1.376147e-02","9.174312e-03","4.587156e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.587156e-03","4.587156e-03","0.000000e+00","5.627706e-02","4.587156e-03","0.000000e+00","0.000000e+00","0.000000e+00","4.587156e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","9.174312e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.587156e-03","0.000000e+00","0.000000e+00","0.000000e+00","1.192661e-01","0.000000e+00","0.000000e+00","4.587156e-03","4.587156e-03","0.000000e+00","9.174312e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","9.174312e-03","0.000000e+00","3.669725e-02","0.000000e+00","2.431193e-01","0.000000e+00","1.376147e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.587156e-03","0.000000e+00","1.376147e-02","0.000000e+00","0.000000e+00","0.000000e+00","1.858108e-01","3.453000e+03",NA,NA
"...60","0.000000e+00","6.097561e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","6.097561e-03","3.658537e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","6.097561e-03","3.048780e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","6.097561e-03","0.000000e+00","0.000000e+00","0.000000e+00","8.536585e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","6.097561e-03","0.000000e+00","2.439024e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.048780e-02","0.000000e+00","0.000000e+00","0.000000e+00","6.097561e-03","2.012195e-01","6.097561e-03","1.219512e-02","1.829268e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","6.097561e-03","1.219512e-02","0.000000e+00","9.177945e-01","0.000000e+00","0.000000e+00","4.878049e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","6.097561e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.951220e-01","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.219512e-02","0.000000e+00","0.000000e+00","6.097561e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.219512e-02","0.000000e+00","1.219512e-02","0.000000e+00","6.707317e-02","0.000000e+00","6.097561e-03","1.219512e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.829268e-02","0.000000e+00","0.000000e+00","9.756098e-02","0.000000e+00","6.097561e-03","6.594595e-01","3.485000e+03",NA,NA
"...61","0.000000e+00","0.000000e+00","5.181347e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.145078e-02","5.181347e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.181347e-03","0.000000e+00","0.000000e+00","2.072539e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.181347e-03","0.000000e+00","0.000000e+00","0.000000e+00","3.108808e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.554404e-02","0.000000e+00","2.590674e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.108808e-02","0.000000e+00","0.000000e+00","0.000000e+00","2.072539e-02","2.124352e-01","1.036269e-02","2.590674e-02","1.036269e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.036269e-02","0.000000e+00","6.931638e-01","0.000000e+00","0.000000e+00","4.145078e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.554404e-02","0.000000e+00","0.000000e+00","0.000000e+00","1.347150e-01","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","6.217617e-02","0.000000e+00","0.000000e+00","0.000000e+00","2.590674e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.181347e-03","0.000000e+00","1.191710e-01","0.000000e+00","5.181347e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.072539e-02","0.000000e+00","5.181347e-03","8.808290e-02","0.000000e+00","0.000000e+00","5.213270e-01","3.534000e+03",NA,NA
"...62","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.935484e-02","1.290323e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","6.451613e-03","6.451613e-03","0.000000e+00","0.000000e+00","6.451613e-03","0.000000e+00","1.935484e-02","0.000000e+00","0.000000e+00","0.000000e+00","7.096774e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.290323e-02","0.000000e+00","2.580645e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.580645e-02","0.000000e+00","0.000000e+00","0.000000e+00","4.516129e-02","1.096774e-01","6.451613e-03","3.870968e-02","1.290323e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.225806e-02","0.000000e+00","6.451613e-03","6.451613e-03","6.451613e-03","3.621399e-01","0.000000e+00","0.000000e+00","1.935484e-02","1.290323e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.677419e-01","0.000000e+00","0.000000e+00","0.000000e+00","1.290323e-02","0.000000e+00","1.032258e-01","0.000000e+00","0.000000e+00","0.000000e+00","2.580645e-02","6.451613e-03","0.000000e+00","3.225806e-02","6.451613e-03","0.000000e+00","1.290323e-02","0.000000e+00","6.451613e-02","0.000000e+00","6.451613e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","6.451613e-03","0.000000e+00","0.000000e+00","0.000000e+00","1.290323e-02","3.870968e-02","0.000000e+00","0.000000e+00","5.269461e-01","3.613000e+03",NA,NA
"...63","4.504505e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","9.009009e-03","1.351351e-02","4.504505e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.504505e-03","0.000000e+00","0.000000e+00","1.801802e-02","0.000000e+00","0.000000e+00","4.504505e-03","0.000000e+00","9.009009e-03","0.000000e+00","0.000000e+00","0.000000e+00","5.405405e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.504505e-02","0.000000e+00","0.000000e+00","4.504505e-03","0.000000e+00","0.000000e+00","2.702703e-02","4.504505e-03","0.000000e+00","0.000000e+00","1.801802e-02","8.108108e-02","0.000000e+00","1.801802e-02","9.009009e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.405405e-02","4.504505e-03","0.000000e+00","0.000000e+00","0.000000e+00","2.600000e-01","0.000000e+00","0.000000e+00","4.504505e-03","0.000000e+00","0.000000e+00","4.504505e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.504505e-03","0.000000e+00","4.504505e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.252252e-01","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.396396e-01","0.000000e+00","0.000000e+00","0.000000e+00","1.801802e-02","0.000000e+00","0.000000e+00","4.504505e-03","9.009009e-03","0.000000e+00","2.702703e-02","0.000000e+00","1.306306e-01","0.000000e+00","1.801802e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","9.009009e-03","0.000000e+00","9.009009e-03","4.504505e-03","0.000000e+00","0.000000e+00","5.408163e-01","3.692000e+03",NA,NA
"...64","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.524862e-03","8.287293e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.762431e-03","0.000000e+00","0.000000e+00","1.657459e-02","0.000000e+00","2.762431e-03","2.762431e-03","0.000000e+00","2.762431e-03","0.000000e+00","0.000000e+00","0.000000e+00","1.381215e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.762431e-03","0.000000e+00","0.000000e+00","0.000000e+00","2.762431e-03","0.000000e+00","8.287293e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.762431e-03","0.000000e+00","8.287293e-03","0.000000e+00","8.287293e-03","9.116022e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.762431e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.591160e-02","0.000000e+00","0.000000e+00","0.000000e+00","2.762431e-03","0.000000e+00","0.000000e+00","0.000000e+00","2.762431e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.762431e-03","0.000000e+00","0.000000e+00","0.000000e+00","4.972376e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.524862e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.762431e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","8.287293e-02","0.000000e+00","0.000000e+00","5.524862e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.762431e-03","0.000000e+00","5.524862e-03","0.000000e+00","0.000000e+00","0.000000e+00","2.872063e-02","3.770000e+03",NA,NA
"...65","4.950495e-03","0.000000e+00","9.900990e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","9.900990e-03","9.900990e-03","4.950495e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","9.900990e-03","4.950495e-03","0.000000e+00","4.950495e-03","4.950495e-03","0.000000e+00","9.900990e-03","0.000000e+00","0.000000e+00","0.000000e+00","6.930693e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","9.900990e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","9.900990e-03","0.000000e+00","9.900990e-03","4.950495e-03","0.000000e+00","9.900990e-03","0.000000e+00","0.000000e+00","2.970297e-02","0.000000e+00","0.000000e+00","0.000000e+00","4.950495e-03","1.386139e-01","0.000000e+00","2.970297e-02","2.475248e-02","0.000000e+00","4.950495e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.950495e-03","9.900990e-03","0.000000e+00","6.599327e-01","0.000000e+00","0.000000e+00","1.485149e-02","4.950495e-03","0.000000e+00","0.000000e+00","4.950495e-03","0.000000e+00","0.000000e+00","0.000000e+00","4.950495e-03","0.000000e+00","9.900990e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.950495e-03","0.000000e+00","1.386139e-01","0.000000e+00","0.000000e+00","0.000000e+00","9.900990e-03","0.000000e+00","5.940594e-02","0.000000e+00","0.000000e+00","0.000000e+00","2.970297e-02","0.000000e+00","0.000000e+00","5.940594e-02","0.000000e+00","0.000000e+00","9.900990e-03","0.000000e+00","7.425743e-02","0.000000e+00","4.950495e-03","0.000000e+00","9.900990e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","9.900990e-03","0.000000e+00","4.950495e-03","1.089109e-01","0.000000e+00","0.000000e+00","8.064516e-01","3.849000e+03",NA,NA
