"","Abies","Alnus cf. A. glutinosa","Alnus cf. A. suaveolens","Amaranthaceae","Apiaceae","Arbutus unedo","Artemisia","Asphodelus","Aster-type","Asteroideae","Betula","Brassicaceae","Campanulaceae","Carpinus","Caryophyllaceae","Castanea","Cichorioideae","Cirsium-type","Cistaceae","Corylus","Cyperaceae","Dipsacus","Ephedra","Epilobium","Erica","Fabaceae","Fagus","Filipendula","Fraxinus","Galium-type","Hedera","Helianthemum","Juglans","Lamiaceae","Melampyrum","Myriophyllum","Olea","Paronychia-type","Pedicularis","Phillyrea","Pinus","Pistacia","Plantago","Plantago major/P. media","Poaceae","Poaceae (Cerealia-type)","Polygonum","Populus","Potentilla","Primula","Quercus (deciduous)","Quercus ilex/Q. coccifera","Quercus suber","Rosaceae","Rubiaceae","Rumex","Salix","Sanguisorba","Scrophulariaceae","Tamarix","Thymelaea","Tilia","Typha latifolia","Typha/Sparganium","Ulmus","Urtica","Viburnum","Vitis","cf. Juniperus","cf. Sedum","Cal_yrs_BP","min","max"
"S493010","","39","31","5","1","1","1","","","","","","","","","","5","","1","1","","","","","48","","2","","","","","","","","","","","","","","40","","","","5","","","","","","3","17","","","","","","","","","","","","","","","","","1","","4377","--","--"
"S493023","","76","72","5","1","","","1","","","1","","","","4","","","1","5","","1","","","","67","","1","","","","","","1","","","","3","","","","22","","2","","4","","1","","","","7","52","","","","","2","","","3","","2","","1","1","","3","1","","","5180","--","--"
"S493035","","33","35","1","","1","","1","1","","1","","","1","1","","16","7","10","3","3","","","","80","","","","","","","","","","1","","6","","","","42","","","","9","1","","","","","10","46","","","","","3","","","2","","2","","","1","","","1","1","","5870","--","--"
"S493000","","26","21","106","5","","3","","3","2","2","","","","","","","","3","2","10","","","","36","","1","","1","","","","1","","4","1","9","","","","5","","","","24","1","","","","","5","61","","","","1","1","","","1","1","","","","","","","1","1","","921","--","--"
"S493009","1","72","42","4","1","","","","","1","","","","","","","1","1","1","","1","","","","44","","3","","1","","2","","","","","","5","","","","43","","","","4","","","","","","5","16","","","","","2","","","3","","1","","","","","","1","","1","4335","--","--"
"S493018","","77","74","1","2","4","","2","","","","","","","2","","","1","2","2","3","","","","52","","","","","","","","","","2","","1","","","","23","","","","2","","","","","","13","37","","","","","3","","","1","","1","","","","","","","1","","5058","--","--"
"S493029","","47","54","2","1","","1","1","","","1","","","","","","3","2","4","2","1","","","","75","","1","","2","","","","2","2","1","","4","","","","31","","","","4","1","","","","","10","56","","","","","2","","","","","","","2","","","","3","","","5439","--","--"
"S493039","","58","59","","2","","","3","","","","","","","","","","","7","3","3","1","","","85","","","","","","","","","1","2","","5","","","","21","1","","1","2","","","","","","3","48","","","","","2","","","3","","1","1","","","","","7","","","6086","--","--"
"S493001","1","56","29","132","2","","6","3","2","3","","","1","","1","","","1","11","2","9","1","","","36","","2","","","","","1","1","1","4","","6","","","","3","","","","17","","","","","","5","59","","2","","","1","","","2","","","","","1","","1","2","2","","843","--","--"
"S493011","1","128","99","","2","","","","","","","","","","","","3","1","2","","","","","","45","","","","2","","","","","","","","2","","","","17","1","","","3","","","","","","8","23","","","","","","","","","","1","","1","","","","4","","","4419","--","--"
"S493020","2","46","26","2","","5","1","2","","","","","","","","","4","","7","2","","","","","64","","1","","","","","","","","1","","3","","","","66","","","","4","1","1","","","","12","53","3","","","","","1","","","","","","","","","","","","","5119","--","--"
"S493030","","45","33","1","3","1","","","","","","","","","2","","16","6","3","5","5","","","","65","","1","","","","","","","1","1","","11","","","2","57","","1","","5","","","","","","21","45","","","1","","","","","1","","","","1","","","1","3","","","5601","--","--"
"S493040","","64","49","2","2","","","1","","1","","","","","","","4","","1","1","1","","","","82","","","1","","","","","","1","1","","1","","1","","28","","1","","12","","","","","","8","31","","","","","","","","1","","1","","","1","","1","3","1","","6140","--","--"
