"","Abies","Acer","Aconitum-type","Alisma-type","Allium","Alnus","Amaranthaceae","Apiaceae undiff.","Arbutus unedo","Arceuthobium oxycedri","Armeria","Artemisia","Asphodelus","Asteroideae","Berberis","Betula","Brassicaceae undiff.","Buxus","Campanulaceae undiff.","Cannabis sativa-type","Carduus-type","Caryophyllaceae","Castanea","Centaurea cyanus-type","Centaurea undiff.","Cerinthe-type","Cichorioideae","Cistus undiff.","Citrus","Corylus","Cyperaceae","Dipsacus-type","Echium-type","Ephedra undiff.","Epilobium-type","Erica undiff.","Euphorbiaceae undiff.","Fabaceae","Fagopyrum-type","Fagus","Filipendula-type","Fraxinus excelsior","Fraxinus ornus","Galeopsis","Genista-type","Gentianaceae undiff.","Geranium-type","Geum/Potentilla","Hedera helix","Helianthemum undiff.","Hippophaë rhamnoides","Hordeum-type","Humulus-type","Hypericum-type","Ilex aquifolium","Juglans regia","Juncus/Luzula","Juniperus-type","Larix decidua","Liliaceae undiff.","Linaria-type","Linum","Mentha-type","Mercurialis undiff.","Myriophyllum undiff.","Myrtus-type","Nuphar cf. N. lutea","Nymphaea alba-type","Olea","Ostrya/Carpinus","Papaver rhoeas-type","Parietaria-type","Persicaria","Phillyrea-type","Picea abies","Pinus","Pinus cembra-type","Pistacia","Plantago coronopus-type","Plantago lanceolata-type","Plantago major-type","Plantago undiff.","Poaceae","Poaceae (Cerealia-type)","Polygonum aviculare-type","Potamogeton-type","Primulaceae","Quercus ilex/Q. coccifera-type","Quercus pubescens-type","Quercus undiff.","Ranunculus-type","Rhamnus-type","Rhinanthus/Veronica","Rhus","Rosaceae (trees) undiff.","Rubiaceae cf. Galium","Rumex acetosa-type","Salix","Sambucus nigra-type","Sanguisorba minor-type","Saxifraga undiff.","Scrophularia/Verbascum","Secale-type","Sedum-type","Spiraea-type","Thalictrum-type","Theligonum cynocrambe","Tilia","Triticum-type","Typha latifolia undiff.","Typha/Sparganium","Ulmus","Urtica dioica-type","Utricularia","Valeriana undiff.","Vitex agnus-castus","Vitis vinifera","Cal_yrs_BP","min","max"
"S472088","","","","","","139","1","2","1","","","2","","3","","3","1","","","","","","","","","","","","","28","","1","","","","268","","","","1","","3","","1","","4","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","409","","","","","","1","14","","","","","12","9","4","1","","","","","","","","","","1","","","","","","","2","","","","8","","","1","","","8971","--","--"
"S472098","","1","","","","49","16","14","","","","123","","5","","","1","","","","1","","","","1","","3","","","","1","","","5","","","","1","","","","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","798","","","","","","1","18","","","","","","7","1","1","","","","","","3","","","","","1","","","","","","","","","","","","","","","","11504","--","--"
"S472040","1","","","","","145","6","2","1","","","9","","4","","","7","2","","","","15","10","","","","4","","","1","3","","1","","","47","","1","","19","","","1","","","","1","1","","","","1","","","","1","","5","","","","","1","","","1","","","7","","","","","1","","122","","","8","1","2","17","38","","","","","73","12","3","1","","","","1","","3","","","","","1","","","","","","","","","","","1","","","","","-69","--","--"
"S472042","12","1","","","","165","3","3","","","","10","","4","","13","3","","1","","1","14","","","","","22","","","5","4","","","1","","64","","","","19","","","3","1","","","2","","1","1","","3","","","","","","12","2","","","","","","","","","","","","","","","","","205","","1","34","","1","25","58","","","","","111","47","18","1","","","","","2","2","","","","","","","","","4","","1","2","","","","1","","","","1","1261","--","--"
"S472044","5","","","","1","167","","1","","","","1","","2","","4","2","","1","","","14","","","","","5","1","","8","","","","","","60","","","","11","","","3","","","","","","","","","2","","","","","","18","","","1","","1","","","","","","1","1","","","","1","","98","","","5","3","2","11","41","","","","","134","18","9","","","","","","1","4","","1","","","1","","","","1","","","1","","","","1","","","","","1646","--","--"
"S472046","3","1","","","","183","5","3","","","","6","","6","","10","5","","1","","","5","","","","","7","","","6","1","","","1","","67","","","","5","","","6","2","","","","","1","","","","","","","","","17","","","","","","","","","","","1","","","","","","","148","","","1","7","","7","60","","","","1","93","33","19","1","","","","1","","3","","","","","1","","","","","","1","4","","","","1","","","","","1882","--","--"
"S472048","3","3","","","","173","3","2","2","","","11","","1","","9","4","","1","","3","11","","","","","7","","","8","","","","","","93","","","","5","1","","4","","","","1","","","","","2","","","","","","14","","","","","","","","","","","","","","","1","","","315","","","","","","2","77","","","","","113","36","21","","","","","","1","4","2","","","","","","","","5","","","","","","","","","","","","2289","--","--"
"S472057","5","3","","","","105","","3","","","","2","","6","","10","3","","","","","12","","","","","10","","","3","1","","","","","58","","","","2","","","4","","","","","1","","","","2","","","","","","13","","","","","","","","","","","","2","","","","1","","251","","","","3","","1","41","","","","","51","14","23","","","1","","","","2","1","","","","","","","","2","","1","","","","1","","","","","","2832","--","--"
"S472059","1","2","","","","122","6","1","","","","5","","3","","16","1","","","","","5","","","1","","10","","","3","1","","","","","52","","","","5","","","3","","","","1","","","","","","","","","","","16","","","","","","","","","","","2","","","","","2","","239","","1","","","","","27","","","","","91","35","12","1","","","","1","","1","1","","","","","","","","1","","3","","","","","","","","","","3104","--","--"
"S472069","1","","","1","","238","5","3","","","","9","","6","","17","2","","","","","9","","","","","11","1","","14","1","","","","","109","","","","","","","5","2","","","","2","","","","","","","","","","30","","1","","","","","2","","","","","","","","","","","1097","","","1","3","","3","42","","","","","88","10","25","2","","","","1","","","3","","","","","","1","","","","2","","","","5","","","","","","4425","--","--"
