"","Pinus.canariensis","Ilex","Ericaceae","Morella.faya","Picconia.Olea.type","Prunus","Viburnum","Juniperus","Phoenix.canariensis","Salix.canariensis.","Argyranthemum.type","Artemisia","Chamaecytisus.type","Cistus","Convolvulus","Echium.","Euphorbia","Globularia","Hypericum","Jasminum","Kleinia.type","Periploca","Plantago","Rhamnus","Rumex","Sideritis","Sonchus.type","Teline.type.cf.","Aeonium","Campanula.type","Carduus.type","Lotus","Vicia.Medicago.type","Papaver.type","Primula.type","Reseda.type","Semele.cf.","Apiaceae","Asteraceae.undiff.","Brassicaceae","Caryophyllaceae","Chenopodiaceae","Rubiaceae","Urticaceae","Poaceae","Poaceae.cerealia.type","Polycarpaea.type","Davallia","Ophioglossum","Polypodium","Pterydophyta.undiff.","Cal_yrs_BP","min","max"
"1506",0.016983016983017,0,0,0.275724275724276,0,0,0.001998001998002,0.023976023976024,0.021978021978022,0.031968031968032,0.016983016983017,0.016983016983017,0,0,0,0,0,0.00999000999000999,0,0,0,0.001998001998002,0.031968031968032,0.00499500499500499,0.0849150849150849,0,0.167832167832168,0.001998001998002,0,0,0,0.00499500499500499,0,0,0,0,0,0,0.0949050949050949,0.021978021978022,0,0,0,0.00699300699300699,0.158841158841159,0,0,0,0.001998001998002,0,0,1393,NA,NA
"1536",0.0223517978620019,0,0,0.0310981535471331,0,0,0,0.0379008746355685,0.00583090379008746,0,0.0505344995140913,0,0,0,0.0155490767735666,0,0,0,0,0,0.10689990281827,0,0.0155490767735666,0,0.00971817298347911,0.0379008746355685,0.0719144800777454,0.0592808551992225,0,0,0,0,0.0126336248785228,0,0.00291545189504373,0,0,0,0.0534499514091351,0,0.00583090379008746,0.0126336248785228,0,0,0.0534499514091351,0.361516034985423,0.00291545189504373,0.0087463556851312,0.0184645286686103,0,0.00291545189504373,1446,NA,NA
"1566",0.00397219463753724,0,0.00198609731876862,0.00397219463753724,0,0.00397219463753724,0,0.012909632571996,0.00198609731876862,0.00198609731876862,0.0268123138033764,0,0.00397219463753724,0.00198609731876862,0.00397219463753724,0,0,0,0,0.00397219463753724,0.0913604766633565,0.00198609731876862,0.00198609731876862,0.00397219463753724,0.00794438927507448,0.00595829195630586,0.205561072492552,0.00794438927507448,0,0.12214498510427,0,0.0188679245283019,0.00198609731876862,0,0,0,0.00397219463753724,0.00198609731876862,0.0436941410129096,0.00397219463753724,0.00794438927507448,0,0.00397219463753724,0,0.213505461767627,0.169811320754717,0,0,0.00397219463753724,0.00198609731876862,0.00397219463753724,1537,NA,NA
"1596",0.00572519083969466,0,0.00286259541984733,0.00286259541984733,0,0,0,0.0209923664122137,0.00572519083969466,0,0.0400763358778626,0,0.00286259541984733,0,0.0104961832061069,0,0.0238549618320611,0,0,0.00572519083969466,0.0553435114503817,0,0.00286259541984733,0.00286259541984733,0.00286259541984733,0,0.0209923664122137,0.0104961832061069,0,0,0.0314885496183206,0,0,0.00763358778625954,0,0.00286259541984733,0,0,0.193702290076336,0,0.0162213740458015,0,0.00286259541984733,0.00763358778625954,0.137404580152672,0.33969465648855,0,0,0.0181297709923664,0.0104961832061069,0.0152671755725191,1570.5,NA,NA
"1626",0.00363967242948135,0,0.00363967242948135,0,0,0,0,0.00818926296633303,0.0236578707916288,0.0200181983621474,0.0236578707916288,0,0,0,0.0200181983621474,0,0,0,0,0,0.0509554140127389,0,0,0,0,0,0,0,0.00363967242948135,0,0.0236578707916288,0,0,0,0,0,0,0,0.212010919017288,0.00363967242948135,0.0200181983621474,0,0,0,0.282074613284804,0.212010919017288,0,0.00363967242948135,0.0427661510464058,0.0318471337579618,0.010919017288444,1600,NA,NA
"1655",0.00564440263405456,0,0.00846660395108184,0.00564440263405456,0,0,0,0.0442144873000941,0.0357478833490122,0.00282220131702728,0.0178739416745061,0,0,0,0.00846660395108184,0,0.00282220131702728,0,0,0,0.083725305738476,0,0.00282220131702728,0,0,0,0.0122295390404516,0.00282220131702728,0,0,0.00282220131702728,0,0,0,0,0,0,0,0.205079962370649,0,0.00564440263405456,0,0,0.00282220131702728,0.29444967074318,0.19379115710254,0,0.00564440263405456,0.0282220131702728,0.019755409219191,0.00846660395108184,1629,NA,NA
"1685",0,0.00277520814061055,0.00277520814061055,0.00277520814061055,0,0,0,0.0518038852913969,0.0555041628122109,0.00277520814061055,0.0231267345050879,0,0.00832562442183164,0,0.00832562442183164,0.00277520814061055,0,0,0,0,0.0407030527289547,0,0,0,0,0,0,0,0,0,0.028677150786309,0,0.00277520814061055,0,0,0,0,0,0.20259019426457,0.00277520814061055,0.0120259019426457,0.00277520814061055,0.00555041628122109,0,0.258094357076781,0.206290471785384,0,0.00832562442183164,0.0342275670675301,0.0212765957446809,0.0129509713228492,1658,NA,NA
"1715",0.00805729632945389,0,0.0044762757385855,0.0044762757385855,0,0,0,0.0250671441360788,0.0295434198746643,0,0.104744852282901,0,0.0044762757385855,0,0.0170098478066249,0,0.0044762757385855,0,0,0,0.0205908683974933,0,0,0,0.0044762757385855,0,0.00805729632945389,0,0,0,0,0,0,0,0,0,0,0,0.192479856759176,0,0.0205908683974933,0.0044762757385855,0,0,0.23455684870188,0.209489704565801,0,0,0.0555058191584602,0.0107430617726052,0.0367054610564011,1687,NA,NA
"1745",0,0,0.00294117647058824,0.0137254901960784,0,0,0,0.0519607843137255,0.0215686274509804,0.0196078431372549,0.0382352941176471,0,0.0196078431372549,0,0.0245098039215686,0,0,0,0,0,0.0107843137254902,0,0.0107843137254902,0.00294117647058824,0.00294117647058824,0,0.0107843137254902,0,0,0,0.00294117647058824,0,0,0,0,0,0,0,0.292156862745098,0.00294117647058824,0.0166666666666667,0.0137254901960784,0,0,0.3,0.12156862745098,0,0,0.00588235294117647,0,0.0137254901960784,1717,NA,NA
"1775",0.00284900284900285,0,0.00284900284900285,0.0246913580246914,0,0,0.00474833808167142,0.0655270655270655,0.0246913580246914,0.00759734093067426,0.0417853751187085,0.00284900284900285,0.00759734093067426,0,0.00474833808167142,0,0,0.0218423551756885,0,0,0.0294396961063628,0,0.0199430199430199,0,0,0,0.0142450142450142,0,0,0,0.0123456790123457,0,0.00284900284900285,0,0,0,0,0,0.263057929724596,0.0123456790123457,0.0123456790123457,0,0.00474833808167142,0,0.301994301994302,0.0683760683760684,0,0,0.037037037037037,0,0.00949667616334283,1746,NA,NA
