 ,Cal_yrs_BP,max,min,Acacia,Acalypha,Adiantum,Agavoideae,Alisma,Alnus,Alternanthera,Amaranthaceae undiff.,Ambrosia-type,Amyris,Anacardiaceae undiff.,Annona-type,Antigonon,Antirhea,Apiaceae,Apocynaceae undiff.,Arecaceae undiff.,Asteraceae (large),Asteroideae (high spine),Asteroideae (low spine),Avicennia,Bumelia,Bursera,Buxus,Caesalpinia,Campyloneurum phyllitidis,Capparis,Capraria,Caryophyllaceae,Casasia,Casearia,Castanea,Casuarina,Celtis,Ceratopteris,Cichorioideae,Coccoloba,Commelina,Conocarpus,Convolvulaceae undiff.,Corchorus,Cordia,Crossopetalum,Crotalaria,Cupressaceae,Cyperaceae,Dalbergia,Desmodium,Dodonaea-type,Echinodorus,Echites,Erithalis,Ernodea,Erythrina,Euphorbia,Exostema,Exothea,Faboideae undiff.,Ficus,Fungi undiff.,Gochnatia,Guaiacum,Guapira,Guettarda,Hedyotis,Helianthus-type,Heliotropium,Ilex,Indeterminable,Ipomoea,Isoetes,Laguncularia,Lamiaceae,Lantana,Lemna,Leucaena,Liliaceae,Linum,Ludwigia,Lycopodium spike,Lycopodium tablets,Lycopodium tablets,Lycopodium tablets,Malpighiaceae undiff.,Malvaceae undiff.,Manilkara,Mascagnia,Maytenus,Metopium,Moraceae undiff.,Myrica,Myrsine,Myrtaceae,Onagraceae undiff.,Passiflora,Phlebodium aureum,Phyllanthus,Pinus,Plantago,Poaceae (Cerealia),Poaceae undiff.,Polypodium,Pouteria,Pteris,Rachicallis,Ravenea,Rhamnaceae,Rhizophora,Sabal,Sapotaceae undiff.,Schinus,Sesuvium,Solanaceae,Spermacoce,Sporormiella,Stemodia,Strumpfia,Swietenia,Tabebuia,Tecoma,Teramnus,Tetrazygia,Thouinia,Tillandsia,Tournefortia,Trema,Tsuga,Typha angustifolia-type,Ulmus,Unknown (trilete),Unknown (type A),Unknown (type B),Unknown (type C),Unknown (type E),Unknown (type F),Unknown (type G),Unknown (type H),Unknown (type I),Unknown (type J),Unknown (type K),Unknown (type L),Unknown (type M),Unknown (type N),Unknown (type O),Unknown (type P),Unknown (type Q),Unknown (type R),Unknown (type S),Unknown (type T),Unknown undiff.,Urena,Urticaceae,Vitaceae,Zanthoxylum,Zea mays,cf. Alnus,cf. Artemisia,cf. Carya,cf. Pistacia,cf. Quercus,cf. Tripsacum
,166,280,80,12,,,,,,,,10,,7,,,,,,3,,6,,2,,7,,,,,,,,,,,,,,,,45,1,,,,,35,2,,,,,,,,,,,,2,,,,,,,,,,1,5,,,1,,,1,,,,,172,2,12542,124961,,,,,1,,,13,,3,,,,,267,,,3,2,2,,,,,3,,,,,2,,,,,,,,,,,,,10,,3,,3,,,,,,,,,,,,,,,,,,,,13,,,,,,,1,,,,
,179,292,87,19,,,,,,,3,5,,4,,,1,,,,,2,,,,3,,,,,,,,,,,,,,,,16,,,1,1,,83,2,,,,,,,,,5,,,2,2,,,,,,,,,,10,,,3,,,6,1,,,,76,2,12542,124961,,,,,2,4,,12,,1,,,,,201,,,1,1,,,,,,2,,,,,,,,,,,,,,,,,,24,1,,,2,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,194,299,116,14,,,,,,,3,34,,11,,,,,,1,1,13,3,,,,,,,,,,,,,,,,,,,104,,,2,,,43,6,,,,,,,,,3,,,2,,,,,4,,,,,2,9,,5,,,,1,2,,,,193,2,12542,124961,,,,,,,,45,,9,,,,,97,,2,4,,,,,,,2,,3,,,6,,,,,,,,,4,,,,21,,22,,8,,,,,,,,,,,,,,,,,,,,5,,2,,,,,,,,,
,226,330,148,2,,,,,,,,9,,3,,,,1,,5,,20,,2,2,2,,,,,,,,,,,3,,,,,248,,,,,,26,4,,,,,,,,2,1,,,1,,,,,,,,,,3,11,,,5,,,,,,,,121,2,12542,124961,,,,,,,,11,,8,,,,,52,,,2,2,,,,,,4,,3,,,1,,,,,,,,,2,,,,14,,33,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
,257,375,163,,,,,,,,2,3,,,,,,3,,,,15,,,1,,,,,,,,,,,,,,,,,158,,,,,,55,1,,,,,,,,,1,,,,,,,,,,,,,,11,,,91,,,,,,,,67,2,12542,124961,,1,,,,,,8,,3,,,,,37,,,3,,,,,,,5,1,,,,,1,,,,,,,,18,,,,1,,19,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,289,422,175,2,,,1,,,,1,3,,1,,,,,,,,18,,3,6,,,,,,,,,,,,,,,,1,252,,,,,,15,3,,,,,,,,,,,,,,,,,,,,,,2,7,1,,10,2,,,,,,,74,2,12542,124961,,,,,,,,7,,4,,,,,47,,,4,,,,,,,5,7,5,,,2,,,,,,,,,,,,,2,,33,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,320,478,183,,,,,,1,,1,9,,2,,,,,,,1,18,,1,,,,,,,,,,,,,,,,,,158,,,,,,41,1,,,,,,,,,,,,,,,,,,,,,,4,3,,,113,,,,,,,,177,2,12542,124961,,,,,,,,10,,3,,,,,84,,,1,2,,,1,,,3,,4,,,2,4,,,,,,,,24,,,,,,42,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,348,516,201,,,,2,,,,2,1,,2,,,,,,5,2,18,,,4,,,,,,,,,,,,,,,,,282,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,2,,3,15,,,1,,1,,,50,2,12542,124961,,,,,,,,,,3,,,,,55,,,3,1,,,,,,1,4,2,,,1,,1,,,,,1,,,,,,5,,33,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,374,531,221,,,,,1,,,1,6,,1,,,,,,1,,23,,,1,,,,,,,,,,,,,,,,,101,,,,,,56,5,,,,1,,,,,,,,,,,,,,,,1,1,,21,,,126,,,,,,,,69,2,12542,124961,,,,,1,,,7,,4,,,1,,48,,1,2,,,,,,2,3,,4,,1,6,1,,,,,,,,27,1,,,,,17,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,400,547,235,1,,,1,,,,,11,,3,,,,,,3,2,18,1,,1,,,,,1,,,,,,,,,,,,65,1,,,,,123,7,,,,,,,,,,,,,,1,,,,,,1,,6,16,,4,46,,,,,1,,,165,2,12542,124961,,1,,,1,1,,1,,10,,,,1,64,,,5,2,,,,,,3,5,4,,,6,1,3,,,,,1,,,,,,11,,12,,4,,,,,,,,,,,,,,,,,,,,11,,,,,,,3,,,1,
