"","Acalypha","Acnistus","Alchornea","Alnus","Alternanthera","Amaranthus","Ambrosia","Anemia","Bursera","Cactaceae","Cecropia","cf..Rhizophora","Chamaesyce","Conyza","Croton","Cryptocarpus","Cuphea","Cyathea","Cyperaceae","Fabaceae.undiff.","Hedyosmum","Hippomane","Lycianthes","Lycopodium","Miconia","Myrica","Myrsine","Myrtaceae","Phyllanthus","Pilea","Plumbago","Poaceae","Podocarpus","Polygonum","Polypodium","Scalesia.undiff.","Scoparia","Senna.obtusifolia","Senna.undiff.","Stachytarpheta","Tournefortia.rufo.sericea","Unknown..monolete.","Utricularia","Zanthoxylum","Asteraceae.undiff.","Ceiba","Lantana","Acanthaceae","Lamiaceae.undiff.","Platymiscium","Apocynaceae","cf..Cedrela","Dodonaea.viscosa","Sapindaceae.undiff.","Rhynchosia","Darwiniothamnus","Cardiospermum","Euphorbia","Crotalaria","Chiococca","Solanum","Portulaca","Ipomoea","Ilex","Polygalaceae","Cissus","cf..Hippomane","Scalesia.cf..S..affinis","cf..Vitex","Quercus","cf..Melia","Ericaceae","Weinmannia","cf..Gnaphalium","Unknown.undiff.","Scutia","Piper","Melia","Meliaceae.undiff.","Codia","Aegiphila","Pteridium","cf..Gossypium","Ochroma","Cal_yrs_BP","min","max"
"139628",0.0137825421133231,0.00102092904543134,0.000510464522715671,0.00663603879530373,0.0035732516590097,0.00255232261357836,0.00867789688616641,0.0035732516590097,0.00969882593159775,0.000510464522715671,0,0.000510464522715671,0.00816743236345074,0.00867789688616641,0.0035732516590097,0.00255232261357836,0.000510464522715671,0.374170495150587,0.0122511485451761,0.000510464522715671,0.00102092904543134,0.00255232261357836,0.00102092904543134,0.178152118427769,0.00306278713629403,0.00153139356814701,0.00153139356814701,0.0163348647269015,0,0.00510464522715671,0,0.0428790199081164,0,0.00306278713629403,0.00153139356814701,0.0122511485451761,0.00102092904543134,0,0,0.000510464522715671,0.00102092904543134,0.256763654925983,0.00153139356814701,0.00153139356814701,0.00153139356814701,0,0.000510464522715671,0,0.000510464522715671,0,0.00102092904543134,0.00102092904543134,0,0,0,0.00153139356814701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33,NA,NA
"139629",0.0264808362369338,0.00348432055749129,0,0.0167247386759582,0.00696864111498258,0.00418118466898955,0.00975609756097561,0.00418118466898955,0.00905923344947735,0,0,0.00209059233449477,0.00905923344947735,0.0195121951219512,0.0048780487804878,0.00139372822299652,0.000696864111498258,0.323344947735192,0.0125435540069686,0.00139372822299652,0.00418118466898955,0.00836236933797909,0.000696864111498258,0.209756097560976,0.0104529616724739,0.00278745644599303,0.00348432055749129,0.0250871080139373,0.00209059233449477,0.00766550522648084,0,0.0522648083623693,0,0.00348432055749129,0,0.0257839721254355,0,0,0,0.000696864111498258,0.000696864111498258,0.179094076655052,0.00209059233449477,0.000696864111498258,0.00209059233449477,0.000696864111498258,0,0,0,0,0,0,0,0,0,0,0.000696864111498258,0.00139372822299652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32,NA,NA
"139630",0.0181570585565138,0.00363141171130277,0,0.00862460281434408,0.00363141171130277,0.00136177939173854,0.00499319110304131,0.00181570585565138,0.00635497049477985,0,0,0.000453926463912846,0.00363141171130277,0.005901044030867,0.00272355878347708,0,0.00136177939173854,0.352700862460281,0.0136177939173854,0.00181570585565138,0.00226963231956423,0.00363141171130277,0.000453926463912846,0.184294144348616,0.00544711756695415,0,0.00226963231956423,0.0127099409895597,0.000453926463912846,0.00453926463912846,0,0.0476622787108488,0,0.00136177939173854,0.00226963231956423,0.00907852927825692,0.000453926463912846,0,0.00136177939173854,0.000453926463912846,0.00136177939173854,0.277349069450749,0.00226963231956423,0.00136177939173854,0.00408533817521562,0,0,0,0,0,0.000907852927825692,0,0,0,0,0.00272355878347708,0,0,0.000453926463912846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31,NA,NA
"139631",0.0181752090149037,0.00181752090149037,0.000363504180298073,0.00363504180298073,0.00436205016357688,0.00254452926208651,0.00472555434387495,0.00327153762268266,0.00327153762268266,0,0,0.000363504180298073,0.00399854598327881,0.00290803344238459,0.00363504180298073,0.000727008360596147,0.00109051254089422,0.395492548164304,0.0101781170483461,0.000727008360596147,0.00181752090149037,0.00181752090149037,0,0.186114140312614,0.00254452926208651,0.000727008360596147,0.000363504180298073,0.00363504180298073,0.000363504180298073,0.00508905852417303,0,0.0530716103235187,0.000363504180298073,0.00290803344238459,0.00145401672119229,0.00727008360596147,0,0,0.000363504180298073,0,0,0.255543438749546,0.00181752090149037,0.00181752090149037,0.00581606688476917,0,0.000727008360596147,0,0,0,0.000363504180298073,0.000363504180298073,0,0,0,0.00290803344238459,0,0,0,0.000363504180298073,0.00109051254089422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29,NA,NA
"139632",0.0121726300258207,0.00184433788270011,0.000737735153080044,0.0066396163777204,0.00479527849502029,0.00147547030616009,0.00553301364810033,0.00405754334194024,0.00590188122464035,0,0,0.000368867576540022,0.00368867576540022,0.00479527849502029,0.00368867576540022,0,0.000737735153080044,0.362596827738842,0.0125414976023608,0.000368867576540022,0,0.00295094061232018,0,0.212467724087053,0.00516414607156031,0.000737735153080044,0.000737735153080044,0.00737735153080044,0.000368867576540022,0.0066396163777204,0,0.0379933603836223,0.000368867576540022,0.00147547030616009,0.00184433788270011,0.0099594245665806,0.000737735153080044,0,0.000368867576540022,0.000368867576540022,0.000737735153080044,0.265584655108816,0.00147547030616009,0.00258207303578015,0.0033198081888602,0,0.000368867576540022,0,0,0.00110660272962007,0.000737735153080044,0,0,0,0,0.00221320545924013,0.000368867576540022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26,NA,NA
"139633",0.0105162523900574,0.00159337157425112,0.000318674314850223,0.00573613766730402,0.00541746335245379,0.00223072020395156,0.00509878903760357,0.000956022944550669,0.00318674314850223,0,0,0.000956022944550669,0.00223072020395156,0.00509878903760357,0.00223072020395156,0.000956022944550669,0,0.412045889101338,0.0105162523900574,0.000318674314850223,0.000318674314850223,0.00223072020395156,0.000637348629700446,0.196303377947737,0.00478011472275335,0.00159337157425112,0.000956022944550669,0.00191204588910134,0.000318674314850223,0.00446144040790312,0,0.0541746335245379,0.000637348629700446,0.000637348629700446,0.00159337157425112,0.0127469725940089,0.000637348629700446,0,0,0.000318674314850223,0,0.236775015933716,0.00159337157425112,0.0041427660930529,0.000637348629700446,0,0.000318674314850223,0.000318674314850223,0.000318674314850223,0,0,0,0.000318674314850223,0,0,0.00127469725940089,0.000318674314850223,0.000318674314850223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,NA
"139634",0.0230489284270117,0.00283057015770319,0.000404367165386171,0.00242620299231702,0.00808734330772341,0.000808734330772341,0.00363930448847554,0.00323493732308936,0.00323493732308936,0,0,0.000404367165386171,0.00121310149615851,0.00404367165386171,0.00404367165386171,0.000808734330772341,0.000808734330772341,0.400727860897695,0.0113222806308128,0.000808734330772341,0,0.00323493732308936,0.000404367165386171,0.207035988677719,0.00646987464617873,0.00283057015770319,0.000404367165386171,0.00323493732308936,0.000404367165386171,0.00404367165386171,0.000404367165386171,0.0432672866963203,0.00161746866154468,0.00525677315002022,0,0.0105135463000404,0.000808734330772341,0.000404367165386171,0.000404367165386171,0.000404367165386171,0.000808734330772341,0.224019409623939,0.00202183582693085,0.00242620299231702,0.00444803881924788,0.000404367165386171,0.000404367165386171,0,0,0,0,0,0.000808734330772341,0,0,0.00121310149615851,0,0,0,0.000404367165386171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21,NA,NA
"139635",0.0369783412572636,0.00422609614368727,0.00105652403592182,0.00950871632329636,0.00845219228737454,0.00422609614368727,0.00845219228737454,0.00792393026941363,0.00739566825145272,0.000528262017960909,0,0,0.00105652403592182,0.00898045430533545,0.00369783412572636,0.000528262017960909,0.000528262017960909,0.256207078711041,0.00792393026941363,0.00158478605388273,0.00264131008980454,0.00898045430533545,0.00264131008980454,0.245641838351823,0.00686740623349181,0.00158478605388273,0.00211304807184363,0.00316957210776545,0.000528262017960909,0.0063391442155309,0,0.0581088219756999,0.00158478605388273,0.00316957210776545,0.00105652403592182,0.00898045430533545,0.00264131008980454,0.000528262017960909,0.00105652403592182,0.00105652403592182,0,0.259904912836767,0.00105652403592182,0.00686740623349181,0.00264131008980454,0,0.000528262017960909,0,0,0,0,0,0,0,0,0,0,0,0.000528262017960909,0,0,0.000528262017960909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19,NA,NA
"139636",0.0353089533417402,0.00315258511979823,0.000630517023959647,0.0132408575031526,0.0239596469104666,0.00189155107187894,0.00504413619167718,0.00567465321563682,0.00504413619167718,0,0,0.000630517023959647,0.00189155107187894,0.0100882723833544,0.00819672131147541,0,0.000630517023959647,0.0788146279949559,0.0271122320302648,0.000630517023959647,0.000630517023959647,0.00693568726355612,0.000630517023959647,0.19609079445145,0.00756620428751576,0.000630517023959647,0.00315258511979823,0.00441361916771753,0,0.00882723833543506,0.000630517023959647,0.085750315258512,0.00126103404791929,0.00567465321563682,0.00315258511979823,0.0100882723833544,0.000630517023959647,0,0.00126103404791929,0,0.000630517023959647,0.418663303909206,0.00315258511979823,0.0100882723833544,0.00441361916771753,0,0,0,0,0,0,0,0.00126103404791929,0,0,0.00126103404791929,0,0.000630517023959647,0,0.000630517023959647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,NA,NA
"139637",0.025296442687747,0.00276679841897233,0.000790513833992095,0.00316205533596838,0.0134387351778656,0.00197628458498024,0.00316205533596838,0.00316205533596838,0.00395256916996047,0,0,0.000790513833992095,0.000790513833992095,0.00474308300395257,0.00118577075098814,0.000395256916996047,0.000395256916996047,0.397233201581028,0.0260869565217391,0.000395256916996047,0.00118577075098814,0.00276679841897233,0.000395256916996047,0.074703557312253,0.00474308300395257,0.000790513833992095,0.000395256916996047,0.00118577075098814,0.00158102766798419,0.00553359683794466,0,0.0426877470355731,0.00118577075098814,0.00276679841897233,0.00316205533596838,0.008300395256917,0.00118577075098814,0,0.000395256916996047,0.000790513833992095,0.00276679841897233,0.343478260869565,0.00316205533596838,0.000790513833992095,0.00395256916996047,0,0.000790513833992095,0,0,0,0.000395256916996047,0,0,0,0,0,0,0.000395256916996047,0,0.000790513833992095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,NA,NA
